"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Agricultural water withdrawal (10^9 m3/year)","Cabo Verde",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.022,"",,,,"",,2000,0.02,"L",,2004,0.025,"L","[31]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cambodia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2006,2.053,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cameroon",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.14,"",,1992,0.14,"",,,,"",,2000,0.737,"L","[32]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Canada",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,3.991,"E","[33]",1996,4.104,"E","[34]",,,"",,2007,2.322,"E",,2010,4.749,"L","[35,36]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Central African Republic",,,"",,,,"",,,,"",,,,"",,,,"",,1987,4.0E-4,"L","[37]",,,"",,,,"",,2000,4.0E-4,"L","[38,39]",2005,4.0E-4,"L","[40,41]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Chad",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.148,"",,,,"",,,,"",,2002,0.6722,"L","[42]",2005,0.6722,"L","[43,44]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Chile",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2006,29.42,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","China",,,"",,,,"",,,,"",,,,"",,1980,391.2,"",,1985,415.2,"I",,1990,415.0,"",,1993,407.7,"",,,,"",,2005,358.0,"",,2010,368.9,"",,2013,392.2,"",
"Agricultural water withdrawal (10^9 m3/year)","Colombia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,3.308,"",,2000,4.92,"L",,,,"",,2008,6.391,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Comoros",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1999,0.0047,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Congo",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0044,"",,,,"",,,,"",,2002,0.004,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cook Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Costa Rica",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2013,1.33,"",
"Agricultural water withdrawal (10^9 m3/year)","Côte d'Ivoire",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.475,"",,,,"",,1994,0.8,"",,2000,0.6,"L",,2005,0.5953,"L","[45,46]",2008,0.5953,"L","[47]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Croatia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.0059,"",,2007,0.0032,"E","[48]",2010,0.0086,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cuba",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,2.666,"",,,,"",,2007,2.476,"",,2010,3.569,"",,2013,4.519,"",
"Agricultural water withdrawal (10^9 m3/year)","Cyprus",,,"",,,,"",,,,"",,1975,0.13,"",,1980,0.14,"",,1985,0.155,"",,1990,0.166,"",,1993,0.156,"",,2002,0.1606,"E","[49]",2007,0.143,"E","[50]",2012,0.171,"E","[51]",2013,0.1676,"E","[52]"
"Agricultural water withdrawal (10^9 m3/year)","Czechia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"","[53]",,,"","[54]",1997,0.02,"E","[55]",2002,0.0187,"E",,2007,0.0298,"E",,2012,0.0432,"E","[56]",2013,0.044,"E","[57]"
"Agricultural water withdrawal (10^9 m3/year)","Democratic People's Republic of Korea",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,6.61,"L",,,,"",,2005,6.61,"L",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Democratic Republic of the Congo",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.083,"",,2000,0.0719,"L","[58]",2005,0.0719,"L","[59,60]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Denmark",,,"",,,,"",,1970,0.18,"E",,1975,0.46,"E",,1980,0.46,"E",,1985,0.7,"E",,1990,0.465,"E",,1997,0.369,"E",,2002,0.1652,"E","[61]",2007,0.1175,"E","[62]",2012,0.164,"E","[63]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Djibouti",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.007,"",,,,"",,,,"",,2000,0.003,"","[64]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Dominica",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2010,0.001,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Dominican Republic",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,4.2,"I",,2005,4.487,"I",,2010,5.715,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Ecuador",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,8.076,"L","[65]",2005,8.076,"L","[66,67]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Egypt",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,50.71,"I",,2000,59.0,"",,,,"",,2010,67.0,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","El Salvador",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.336,"",,,,"",,2000,0.76,"L",,2005,1.431,"",,,,"",,,,"",
