"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Industrial water withdrawal (10^9 m3/year)","United Kingdom",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,7.19,"L",,2007,1.193,"E",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","United Republic of Tanzania",,,"",,,,"",,1970,0.024,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.025,"I",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","United States of America",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,303.9,"","[244]",,,"",,2000,298.8,"","[245]",2005,305.1,"","[246]",2010,248.4,"","[247]",,,"",
"Industrial water withdrawal (10^9 m3/year)","Uruguay",,,"",,1965,0.0195,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.08,"",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Uzbekistan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,1.103,"",,2001,2.35,"",,2005,1.5,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Vanuatu",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Venezuela (Bolivarian Republic of)",,,"",,,,"",,1970,0.451,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.6831,"L",,2005,0.7933,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Viet Nam",,,"",,,,"",,,,"",,,,"",,1980,1.5,"",,1985,2.87,"",,,,"",,,,"",,2000,3.263,"L",,2005,3.074,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Yemen",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.031,"",,,,"",,2000,0.068,"",,2005,0.065,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Zambia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.107,"",,1994,0.118,"",,2000,0.13,"L",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Zimbabwe",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.085,"",,,,"",,,,"",,2002,0.298,"",,2007,0.215,"","[248]",,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Municipal water withdrawal (10^9 m3/year)","Afghanistan",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.2611,"",,,,"",,,,"",,2000,0.1542,"L",,2005,0.2034,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Albania",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.1,"",,,,"",,2000,0.5504,"L",,2005,0.5613,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Algeria",,,"",,,,"",,,,"",,,,"",,1980,0.66,"",,,,"",,1990,1.12,"",,,,"",,2000,1.721,"I",,,,"",,2012,3.02,"I","[249]",,,"",
"Municipal water withdrawal (10^9 m3/year)","Andorra",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Angola",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.067,"",,,,"",,,,"",,2000,0.246,"L",,2005,0.3195,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Antigua and Barbuda",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.003,"",,,,"",,,,"",,2005,0.0053,"L",,2012,0.0072,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Argentina",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,4.56,"",,,,"",,,,"",,2011,5.85,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Armenia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.865,"",,2002,0.5168,"I",,2006,0.843,"I",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Australia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,4.443,"","[250]",2005,4.191,"","[251]",2012,3.744,"","[252]",2013,4.259,"","[253]"
"Municipal water withdrawal (10^9 m3/year)","Austria",,,"",,,,"",,,,"",,,,"",,1980,0.5582,"E",,1985,0.7088,"E",,1990,0.6851,"E",,1997,0.6871,"E",,1999,0.6687,"E",,,,"",,2010,0.72,"E",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Azerbaijan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,0.222,"",,2002,0.503,"",,2005,0.521,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.025,"",,,,"",,,,"",,2013,0.031,"I",
"Municipal water withdrawal (10^9 m3/year)","Bahrain",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.094,"",,,,"",,,,"",,2003,0.1779,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Bangladesh",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.675,"",,1990,1.7,"",,,,"",,,,"",,,,"",,2008,3.6,"","[254]",,,"",
"Municipal water withdrawal (10^9 m3/year)","Barbados",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,0.02,"I",,,,"",,2005,0.02,"I",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Belarus",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.752,"I","[255]",2000,0.8505,"I","[256]",2005,0.803,"I","[257]",2010,0.5895,"I","[258]",2013,0.547,"I","[259]"
"Municipal water withdrawal (10^9 m3/year)","Belgium",,,"",,,,"",,,,"",,,,"",,1980,0.9933,"",,,,"",,,,"",,1997,0.874,"E",,2002,0.7358,"E",,2007,0.7304,"E",,2009,0.7093,"E",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Belize",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.002,"",,,,"",,1995,0.011,"",,2000,0.0114,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Benin",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.031,"",,1990,0.0321,"I",,1994,0.033,"",,2001,0.041,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Bhutan",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0072,"",,,,"",,,,"",,,,"",,,,"",,2008,0.017,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Bolivia (Plurinational State of)",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.124,"",,,,"",,,,"",,,,"",,,,"",,2009,0.136,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Bosnia and Herzegovina",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.3218,"E",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Botswana",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.036,"",,1995,0.0521,"I",,2000,0.079,"","[260]",2005,0.0878,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Brazil",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,11.5,"",,,,"",,2006,16.23,"",,2010,17.21,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Brunei Darussalam",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,0.1389,"E",,2009,0.1515,"E",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Bulgaria",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1988,0.417,"",,,,"",,2002,1.07,"E",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Burkina Faso",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.06,"",,1992,0.073,"",,1995,0.0885,"I",,2000,0.2789,"L",,2005,0.3756,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Burundi",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.036,"",,,,"",,,,"",,2000,0.049,"I",,2005,0.0431,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Cabo Verde",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,0.0016,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Cambodia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.026,"",,,,"",,,,"",,,,"",,2006,0.098,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Cameroon",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.18,"",,1992,0.184,"",,,,"",,2000,0.1611,"L",,2005,0.2468,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Canada",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,5.102,"E","[261]",1996,5.201,"E","[262]",1998,5.413,"E",,2007,5.878,"E",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Central African Republic",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.015,"",,,,"",,,,"",,2000,0.0548,"L",,2005,0.0601,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Chad",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.029,"",,,,"",,,,"",,2000,0.0885,"L",,2005,0.1037,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Chile",,,"",,,,"",,,,"",,1975,1.008,"",,,,"",,,,"",,1992,1.095,"",,,,"",,2000,1.043,"L",,2006,1.267,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","China",,,"",,,,"",,,,"",,,,"",,1980,6.769,"",,1985,29.69,"I",,1990,35.0,"",,1993,25.16,"",,2000,34.72,"L",,2005,67.53,"",,2010,76.6,"",,2013,75.01,"",
"Municipal water withdrawal (10^9 m3/year)","Colombia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,2.467,"",,,,"",,2008,3.134,"","[263]",,,"",
"Municipal water withdrawal (10^9 m3/year)","Comoros",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1999,0.0048,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Congo",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0248,"",,,,"",,,,"",,2002,0.032,"",,2005,0.0637,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Cook Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Costa Rica",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,0.757,"",,,,"",,,,"",,,,"",,2013,0.76,"",
"Municipal water withdrawal (10^9 m3/year)","Côte d'Ivoire",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.156,"",,,,"",,1994,0.162,"",,2000,0.5392,"L",,2005,0.6359,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Croatia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2012,0.513,"E",,2013,0.5079,"E",
"Municipal water withdrawal (10^9 m3/year)","Cuba",,,"",,,,"",,,,"",,1975,0.729,"",,,,"",,,,"",,,,"",,1995,1.78,"",,,,"",,2007,1.7,"I",,,,"",,2013,1.7,"",
"Municipal water withdrawal (10^9 m3/year)","Cyprus",,,"",,,,"",,,,"",,1975,0.025,"",,1980,0.037,"",,1985,0.045,"",,1990,0.055,"",,1993,0.05,"",,2002,0.0461,"E",,2007,0.0656,"E",,2012,0.0788,"E",,2013,0.0841,"E",
"Municipal water withdrawal (10^9 m3/year)","Czechia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,0.9585,"E",,,,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Democratic People's Republic of Korea",,,"",,,,"",,,,"",,,,"",,,,"",,1987,1.56,"",,,,"",,,,"",,2000,0.8576,"L",,2005,0.9028,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Democratic Republic of the Congo",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.216,"",,,,"",,2000,0.3893,"L",,2005,0.4649,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Denmark",,,"",,,,"",,1970,0.46,"E",,1975,0.7,"E",,1980,0.7,"E",,1985,0.6746,"E",,1990,0.571,"E",,,,"",,2002,0.4408,"E",,2007,0.411,"E",,2012,0.36,"E",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Djibouti",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.001,"",,,,"",,,,"",,2000,0.016,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Dominica",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2010,0.019,"I",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Dominican Republic",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.6,"I",,2005,0.724,"",,2010,0.855,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Ecuador",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.9073,"L",,2005,1.293,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Egypt",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,3.729,"I",,2000,5.3,"",,,,"",,2010,9.0,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","El Salvador",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.246,"",,,,"",,2000,0.379,"L",,2005,0.474,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Equatorial Guinea",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0081,"",,,,"",,,,"",,2000,0.0138,"L",,2005,0.0158,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Eritrea",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.0617,"L",,2004,0.031,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Estonia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.088,"",,2000,0.0852,"E",,,,"",,,,"",,2014,0.06,"",
"Municipal water withdrawal (10^9 m3/year)","Ethiopia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.333,"I",,2005,0.81,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Faroe Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Fiji",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.006,"",,,,"",,,,"",,2000,0.0229,"I",,2005,0.0253,"I",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Finland",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.424,"E",,1995,0.412,"E","[264]",2002,0.404,"E",,2006,0.4094,"E",,2011,0.4,"E","[265]",2013,0.415,"E",
"Municipal water withdrawal (10^9 m3/year)","France",,,"",,,,"",,,,"",,,,"",,,,"",,1985,5.904,"E",,1992,5.982,"E",,1997,5.89,"E",,2002,5.966,"E",,2007,5.683,"E",,2012,5.481,"E",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Gabon",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0432,"",,,,"",,,,"",,2000,0.0686,"L",,2005,0.0847,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Gambia",,,"",,,,"",,,,"",,,,"",,1982,0.0014,"",,,,"",,,,"",,,,"",,2000,0.0339,"L",,2005,0.0412,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Georgia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.336,"L",,2005,0.358,"","[266]",,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Germany",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,5.8,"","[267]",2001,5.409,"E",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Ghana",,,"",,,,"",,1970,0.105,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.235,"I",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Greece",,,"",,,,"",,,,"",,1975,0.585,"E",,,,"",,1985,0.656,"E",,,,"",,1997,0.8614,"E",,,,"",,2007,0.8462,"E",,2011,1.293,"E",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Grenada",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2014,0.012,"I",
"Municipal water withdrawal (10^9 m3/year)","Guatemala",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.104,"",,,,"",,2000,0.4298,"L",,2006,0.835,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Guinea",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.074,"",,,,"",,,,"",,2000,0.2083,"L",,2005,0.2248,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Guinea-Bissau",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,0.01,"",,1996,0.023,"",,2000,0.023,"",,2005,0.0341,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Guyana",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.015,"",,,,"",,2000,0.03,"L",,2005,0.0613,"L",,2010,0.0613,"I",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Haiti",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,0.0499,"",,1995,0.111,"",,,,"",,,,"",,2009,0.19,"L",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Holy See",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Honduras",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.061,"",,,,"",,,,"",,2003,0.315,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Hungary",,,"",,,,"",,1970,0.648,"E",,1975,0.7631,"E",,,,"",,1985,0.5715,"",,1992,0.9841,"E",,1996,0.8288,"E",,2002,0.8311,"E",,2007,0.793,"E",,2012,0.716,"E",,2013,0.5945,"E",
"Municipal water withdrawal (10^9 m3/year)","Iceland",,,"",,,,"",,,,"",,,,"",,1980,0.094,"E",,1985,0.098,"E",,1992,0.087,"E",,,,"",,2002,0.081,"E",,2004,0.081,"E",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","India",,,"",,,,"",,,,"",,1975,11.4,"",,1980,14.05,"I",,1986,18.36,"I",,1990,25.0,"",,,,"",,2000,42.0,"",,,,"",,2010,56.0,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Indonesia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,4.729,"",,,,"",,2000,13.13,"",,2005,13.99,"I",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Iran (Islamic Republic of)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,6.0,"",,2001,4.925,"I",,2004,6.2,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Iraq",,,"",,,,"",,,,"",,1975,0.58,"",,1980,0.715,"I",,1985,0.85,"",,1990,1.28,"",,1995,2.79,"I",,2000,4.3,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Ireland",,,"",,,,"",,,,"",,,,"",,1980,0.413,"E",,,,"",,,,"",,1994,0.47,"E",,2002,0.58,"E",,2007,0.679,"E",,2012,0.628,"E","[268]",,,"",
"Municipal water withdrawal (10^9 m3/year)","Israel",,,"",,,,"",,1970,0.24,"",,1975,0.3075,"I",,1980,0.375,"",,,,"",,1990,0.482,"",,,,"",,2002,0.688,"",,2004,0.712,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Italy",,,"",,,,"",,1970,7.0,"",,1975,7.434,"I",,1980,7.868,"",,1985,7.184,"I",,1990,6.5,"",,,,"",,1999,9.111,"E",,2005,8.942,"E",,2012,9.451,"E",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Jamaica",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,0.167,"",,,,"",,2005,0.288,"I",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Japan",,,"",,,,"",,,,"",,,,"",,1980,13.7,"",,,,"",,1992,17.0,"",,1995,16.34,"E",,2002,16.28,"E","[269]",2007,15.7,"E","[270]",2009,15.41,"E","[271]",,,"",
"Municipal water withdrawal (10^9 m3/year)","Jordan",,,"",,,,"",,,,"",,1975,0.131,"",,1980,0.133,"I",,1985,0.135,"",,1992,0.214,"",,,,"",,,,"",,2005,0.2913,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Kazakhstan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.583,"",,2002,0.831,"",,2007,0.853,"",,2010,0.878,"","[272]",,,"",
"Municipal water withdrawal (10^9 m3/year)","Kenya",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.403,"",,,,"",,,,"",,2003,0.47,"",,2010,1.186,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Kiribati",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Kuwait",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,0.201,"",,2002,0.4005,"",,2005,0.4483,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Kyrgyzstan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,0.301,"",,2000,0.32,"L",,2006,0.224,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Lao People's Democratic Republic",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0792,"",,,,"",,,,"",,,,"",,2003,0.13,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Latvia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,0.125,"E",,2012,0.1631,"E",,2013,0.1593,"E",
"Municipal water withdrawal (10^9 m3/year)","Lebanon",,,"",,,,"",,,,"",,1975,0.083,"",,,,"",,,,"",,,,"",,1994,0.368,"",,2000,0.4341,"L",,2005,0.38,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Lesotho",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.011,"",,,,"",,,,"",,2000,0.02,"L",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Liberia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0351,"",,,,"",,,,"",,2000,0.0711,"L",,2005,0.0802,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Libya",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.393,"",,1990,0.41,"",,1994,0.5,"",,2000,0.61,"",,,,"",,2012,0.7,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Liechtenstein",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Lithuania",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.205,"",,2001,0.172,"E",,,,"",,2011,0.1499,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Luxembourg",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1989,0.0561,"E",,1995,0.042,"E",,1999,0.0461,"E",,,,"",,2012,0.0406,"E","[273]",2013,0.0408,"E",
"Municipal water withdrawal (10^9 m3/year)","Madagascar",,,"",,,,"",,,,"",,,,"",,,,"",,1984,0.163,"",,,,"",,,,"",,2000,0.2388,"L",,2006,0.395,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Malawi",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.054,"",,1990,0.0768,"I",,1994,0.095,"",,2000,0.1196,"L",,2005,0.1431,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Malaysia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.818,"",,1995,1.342,"",,2000,3.053,"L",,2005,3.902,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Maldives",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0033,"",,,,"",,,,"",,2000,0.0062,"L",,,,"",,2008,0.0056,"I","[274,275]",,,"",
"Municipal water withdrawal (10^9 m3/year)","Mali",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.027,"",,,,"",,,,"",,,,"",,2006,0.107,"","[276]",,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Malta",,,"",,,,"",,1970,0.016,"E",,1975,0.0179,"E",,,,"",,1985,0.0269,"E",,,,"",,1995,0.049,"",,2002,0.0344,"I",,2003,0.0344,"",,2012,0.0148,"E",,2013,0.0153,"E",
"Municipal water withdrawal (10^9 m3/year)","Marshall Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Mauritania",,,"",,,,"",,,,"",,,,"",,1980,0.088,"",,1985,0.1,"",,,,"",,,,"",,2000,0.0759,"L",,2005,0.0954,"L",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Mauritius",,,"",,,,"",,,,"",,1974,0.0584,"",,,,"",,,,"",,,,"",,1995,0.108,"",,,,"",,2003,0.214,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Mexico",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,9.6,"",,2007,11.16,"",,2011,11.44,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Micronesia (Federated States of)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Monaco",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.0067,"E",,1997,0.006,"E",,2002,0.0058,"E",,2007,0.0055,"E",,2009,0.005,"E",,,,"",
"Municipal water withdrawal (10^9 m3/year)","Mongolia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,0.085,"",,,,"",,2006,0.098,"",,2009,0.071,"",,,,"",
