0.87	0.71
#N/A	0.26
#N/A	0.23
#N/A	1.03
#N/A	0.00
#N/A	0.06
#N/A	0.00
4.56	3.56
#N/A	4.89
0.69	0.86
#N/A	0.07
#N/A	0.02
0.02	0.00
#N/A	1.62
#N/A	0.04
#N/A	0.13
0.05	0.06
11.50	12.60
0.01	0.01
#N/A	0.00
#N/A	0.02
#N/A	0.35
#N/A	0.32
#N/A	0.03
#N/A	0.16
5.20	5.93
#N/A	0.00
#N/A	0.02
#N/A	0.17
#N/A	0.03
#N/A	1.02
#N/A	3.72
#N/A	0.00
#N/A	0.03
#N/A	0.00
0.76	0.41
1.78	1.45
0.05	0.03
0.22	0.71
0.03	0.05
#N/A	0.25
#N/A	0.00
#N/A	0.54
0.75	0.67
#N/A	1.43
3.73	3.36
#N/A	0.16
#N/A	0.03
0.09	0.41
#N/A	0.00
#N/A	0.01
0.41	0.31
5.89	5.44
#N/A	0.01
#N/A	0.67
#N/A	0.03
#N/A	0.01
5.80	6.52
#N/A	0.05
#N/A	0.15
#N/A	0.00
0.86	0.94
#N/A	0.00
#N/A	0.10
#N/A	0.08
#N/A	0.02
0.11	0.05
#N/A	#N/A
#N/A	0.06
0.83	1.24
#N/A	0.10
#N/A	0.05
#N/A	24.54
#N/A	4.03
6.00	3.76
2.79	1.04
0.47	0.20
#N/A	0.35
#N/A	7.50
0.16	0.17
0.58	0.74
0.17	0.08
16.34	15.79
#N/A	0.11
0.30	0.39
#N/A	0.35
#N/A	0.06
#N/A	1.63
6.87	5.28
0.20	0.14
#N/A	0.17
#N/A	0.10
0.37	0.38
#N/A	0.02
#N/A	0.02
0.50	0.41
#N/A	0.00
0.21	1.02
#N/A	0.00
#N/A	0.19
0.10	0.10
1.34	1.55
#N/A	NA
#N/A	0.20
0.05	0.04
#N/A	0.11
0.11	0.00
#N/A	8.59
0.01	NA
0.09	0.07
#N/A	0.76
#N/A	0.06
#N/A	0.00
#N/A	0.24
0.07	0.06
#N/A	NA
0.25	0.24
1.27	0.61
0.22	0.02
#N/A	0.00
#N/A	0.96
#N/A	0.17
#N/A	0.07
#N/A	1.01
#N/A	0.00
0.78	0.44
#N/A	2.58
#N/A	0.33
0.96	0.68
#N/A	0.04
#N/A	0.14
#N/A	1.24
4.27	4.29
2.29	1.61
#N/A	1.04
0.02	0.01
#N/A	0.00
#N/A	0.16
#N/A	0.01
0.07	0.05
#N/A	0.00
#N/A	0.34
2.05	1.37
#N/A	0.03
14.30	17.13
#N/A	0.00
#N/A	0.00
#N/A	0.00
#N/A	0.00
#N/A	0.00
#N/A	1.10
#N/A	0.07
#N/A	0.00
#N/A	0.02
0.25	0.06
0.48	0.11
#N/A	0.03
#N/A	0.01
3.09	2.83
4.51	4.23
#N/A	0.03
0.41	0.39
#N/A	0.03
1.05	1.03
1.06	0.68
1.17	0.46
0.35	0.34
#N/A	0.21
#N/A	1.71
#N/A	0.06
#N/A	NA
#N/A	0.00
0.19	0.13
#N/A	0.10
0.31	0.27
#N/A	4.35
0.50	0.43
#N/A	0.08
#N/A	NA
#N/A	2.23
#N/A	5.49
#N/A	50.48
0.09	0.07
#N/A	0.06
2.58	1.99
#N/A	0.90
#N/A	2.95
#N/A	0.23
#N/A	0.00
#N/A	0.16
#N/A	0.21
0.27	0.26
0.87	0.89
0.04	0.03
#N/A	0.20
#N/A	0.02
#N/A	0.62
#N/A	0.20
#N/A	0.03
25.16	32.54
0.52	0.76
0.15	0.28
0.55	0.26
1.72	1.14
#N/A	0.00
0.25	0.07
#N/A	0.00
#N/A	3.61
4.44	5.22
0.67	0.86
0.03	0.08
#N/A	0.02
#N/A	0.00
#N/A	1.86
#N/A	0.04
#N/A	0.15
0.08	0.06
#N/A	12.95
0.01	0.01
#N/A	0.00
#N/A	0.03
1.07	0.36
3.32	0.35
0.05	0.03
0.16	0.18
5.41	6.43
0.00	0.00
0.05	0.02
0.50	0.19
0.09	0.04
1.04	1.12
2.47	4.07
0.00	0.00
0.03	0.03
#N/A	0.00
#N/A	0.50
#N/A	1.54
0.05	0.04
0.50	0.82
0.04	0.06
0.44	0.25
#N/A	0.00
0.60	0.66
0.85	0.65
0.91	1.52
5.30	4.11
0.38	0.19
0.01	0.05
0.09	0.44
#N/A	0.00
0.02	0.01
0.40	0.33
5.97	5.49
0.02	0.01
0.34	0.66
0.07	0.03
0.03	0.01
5.41	6.36
0.32	0.07
0.24	0.17
#N/A	0.00
#N/A	0.99
#N/A	0.00
0.43	0.12
0.21	0.08
0.03	0.02
#N/A	0.06
#N/A	#N/A
#N/A	0.07
0.83	1.30
#N/A	0.11
0.08	0.05
42.00	28.61
13.13	3.93
4.93	4.23
4.30	1.12
0.58	0.23
0.69	0.43
9.11	7.62
0.54	0.20
0.83	0.70
#N/A	0.09
16.28	15.46
#N/A	0.14
0.32	0.39
#N/A	0.43
#N/A	0.07
0.86	1.80
8.61	5.41
0.40	0.18
#N/A	0.18
#N/A	0.10
0.43	0.47
0.02	0.02
0.07	0.03
0.61	0.44
#N/A	0.00
0.17	1.13
#N/A	0.00
0.24	0.22
0.12	0.11
3.05	1.70
0.01	NA
#N/A	0.22
0.03	0.05
0.08	0.10
#N/A	0.00
9.60	10.33
0.01	NA
#N/A	0.07
3.00	0.85
0.17	0.07
#N/A	0.00
0.16	0.22
0.07	0.07
#N/A	NA
0.20	0.28
1.30	0.63
0.21	0.02
#N/A	0.00
1.02	0.99
0.18	0.20
0.26	0.08
3.24	1.25
#N/A	0.00
0.81	0.47
6.39	2.97
0.21	0.39
#N/A	0.73
0.15	0.04
0.10	0.15
#N/A	1.36
5.41	4.78
#N/A	1.78
0.87	1.10
0.02	0.01
0.01	0.00
0.71	0.19
0.06	0.01
0.07	0.07
#N/A	0.00
0.59	0.35
1.86	1.41
0.04	0.04
13.40	15.15
#N/A	0.00
#N/A	0.00
#N/A	0.00
#N/A	0.00
#N/A	0.00
2.28	1.32
0.10	0.08
0.01	0.00
0.10	0.02
0.19	0.06
0.42	0.12
0.88	0.03
0.01	0.01
3.90	2.86
5.45	4.47
0.03	0.03
0.44	0.40
0.02	0.03
1.04	1.04
1.07	0.68
1.38	0.56
0.60	0.38
0.53	0.28
#N/A	1.63
0.09	0.07
#N/A	NA
#N/A	0.00
0.20	0.15
0.10	0.13
0.37	0.31
6.40	5.14
0.51	0.60
0.15	0.09
#N/A	NA
7.31	2.46
3.31	4.79
64.00	57.51
0.28	0.08
0.41	0.07
3.45	2.10
4.41	1.09
1.05	3.63
0.33	0.26
#N/A	0.00
0.27	0.21
0.39	0.21
0.29	0.28
0.74	0.89
0.05	0.03
#N/A	0.21
#N/A	0.02
#N/A	0.71
#N/A	0.22
0.10	0.04
34.72	40.08
0.84	1.01
0.20	0.35
0.56	0.33
#N/A	1.47
#N/A	0.00
0.32	0.12
0.01	0.00
#N/A	3.49
4.19	6.40
#N/A	1.00
#N/A	0.10
0.18	0.03
0.02	0.00
#N/A	2.20
#N/A	0.06
#N/A	0.17
0.09	0.08
16.23	15.14
#N/A	0.01
#N/A	0.00
0.14	0.03
#N/A	0.45
#N/A	0.42
0.04	0.03
0.25	0.23
5.88	7.73
#N/A	0.00
0.06	0.02
0.81	0.22
0.10	0.06
1.27	1.35
#N/A	4.86
#N/A	0.00
0.06	0.04
#N/A	0.00
#N/A	0.59
1.70	1.75
0.07	0.05
0.52	1.17
#N/A	0.08
0.41	0.29
#N/A	0.00
0.72	0.77
0.80	0.82
1.29	1.91
#N/A	4.50
0.47	0.21
0.02	0.06
#N/A	0.56
#N/A	0.00
0.03	0.01
0.41	0.39
5.68	6.38
#N/A	0.01
0.36	0.76
0.08	0.04
0.04	0.01
#N/A	7.06
#N/A	0.09
#N/A	0.22
#N/A	0.00
0.85	1.19
#N/A	0.00
0.84	0.15
0.22	0.09
0.06	0.02
#N/A	0.06
#N/A	#N/A
0.32	0.09
0.79	1.62
#N/A	0.13
0.08	0.06
#N/A	36.76
13.99	5.17
6.20	5.30
#N/A	1.45
0.68	0.31
0.71	0.49
8.94	8.82
0.64	0.23
0.85	0.96
0.29	0.10
15.70	15.80
0.29	0.18
0.22	0.47
0.47	0.54
0.10	0.09
0.90	2.19
6.92	6.46
0.45	0.28
0.13	0.23
0.13	0.12
0.38	0.53
#N/A	0.02
0.08	0.03
#N/A	0.55
#N/A	0.00
#N/A	1.42
#N/A	0.00
0.40	0.27
0.14	0.14
3.90	2.13
#N/A	NA
0.11	0.29
0.03	0.06
0.10	0.13
0.21	0.00
11.16	12.30
0.01	NA
0.10	0.10
#N/A	1.02
0.25	0.09
#N/A	0.00
0.15	0.21
#N/A	0.09
#N/A	NA
0.15	0.35
1.25	0.74
0.23	0.02
#N/A	0.00
1.15	1.25
#N/A	0.22
0.29	0.11
4.10	1.82
#N/A	0.00
0.95	0.57
8.00	3.77
0.26	0.46
#N/A	0.90
0.22	0.04
#N/A	0.16
#N/A	1.62
5.85	5.64
#N/A	2.08
0.98	1.29
0.03	0.02
0.10	0.00
0.90	0.20
0.03	0.01
0.17	0.12
#N/A	0.00
0.43	0.33
#N/A	1.83
0.06	0.04
#N/A	20.59
#N/A	0.00
0.01	0.00
#N/A	0.00
#N/A	0.00
#N/A	0.00
2.13	1.69
#N/A	0.10
0.01	0.00
0.11	0.03
0.17	0.07
0.36	0.15
1.08	0.05
0.02	0.02
#N/A	3.63
5.90	5.63
0.05	0.03
0.65	0.52
0.04	0.04
1.00	1.21
0.98	0.77
1.48	0.72
0.76	0.51
#N/A	0.34
2.74	1.94
0.14	0.09
#N/A	NA
#N/A	0.00
0.21	0.20
0.13	0.17
#N/A	0.36
6.20	6.62
0.62	0.85
#N/A	0.11
#N/A	NA
5.99	2.84
3.32	6.10
65.44	64.49
0.38	0.11
#N/A	0.06
4.10	2.27
5.12	1.30
1.21	4.58
0.81	0.33
#N/A	0.00
0.27	0.29
0.46	0.25
#N/A	0.39
0.73	1.02
#N/A	0.03
#N/A	0.26
#N/A	0.03
#N/A	0.98
#N/A	0.31
0.20	0.04
67.53	51.31
#N/A	1.25
#N/A	0.50
#N/A	0.38
3.02	1.77
#N/A	0.00
#N/A	0.17
0.01	0.00
5.85	4.37
3.74	7.06
0.72	1.09
#N/A	0.11
#N/A	0.03
#N/A	0.00
3.60	2.70
0.02	0.07
0.14	0.22
#N/A	0.09
17.21	19.78
#N/A	0.01
#N/A	0.00
0.15	0.04
#N/A	0.52
#N/A	0.51
#N/A	0.05
#N/A	0.27
#N/A	8.67
#N/A	0.00
#N/A	0.03
#N/A	0.27
#N/A	0.07
#N/A	1.63
3.13	6.17
#N/A	0.00
#N/A	0.06
#N/A	0.00
#N/A	0.70
#N/A	1.95
0.08	0.05
#N/A	1.71
#N/A	0.10
0.36	0.31
0.02	0.00
0.86	0.88
0.59	0.98
#N/A	2.24
9.00	5.96
#N/A	0.23
#N/A	0.07
#N/A	0.62
#N/A	0.00
#N/A	0.01
0.40	0.42
5.48	6.88
#N/A	0.01
#N/A	0.87
#N/A	0.05
#N/A	0.01
#N/A	7.44
#N/A	0.10
#N/A	0.30
#N/A	0.00
1.29	1.29
#N/A	0.00
#N/A	0.18
#N/A	0.11
0.06	0.02
0.19	0.07
#N/A	#N/A
#N/A	0.10
0.72	1.71
0.51	0.15
#N/A	0.07
56.00	46.42
#N/A	6.68
#N/A	6.24
#N/A	2.01
0.63	0.34
#N/A	0.58
9.45	9.36
#N/A	0.28
0.88	1.26
#N/A	0.11
15.41	16.58
#N/A	0.24
#N/A	0.60
1.19	0.67
#N/A	0.11
#N/A	2.57
#N/A	6.87
#N/A	0.33
0.16	0.25
#N/A	0.16
#N/A	0.65
#N/A	0.03
#N/A	0.04
0.70	0.67
#N/A	0.01
0.15	1.55
#N/A	0.00
#N/A	0.33
#N/A	0.18
#N/A	2.61
0.01	NA
#N/A	0.36
0.01	0.06
#N/A	0.17
#N/A	0.00
11.44	13.31
0.01	NA
0.07	0.13
1.06	1.20
#N/A	0.11
#N/A	0.00
#N/A	0.21
#N/A	0.11
#N/A	NA
#N/A	0.44
1.22	0.80
#N/A	0.02
#N/A	0.00
0.81	1.34
0.29	0.26
0.06	0.15
5.00	2.29
#N/A	0.00
0.82	0.65
9.65	4.62
0.58	0.57
#N/A	1.03
#N/A	0.06
0.36	0.21
1.25	2.03
6.24	7.05
#N/A	2.38
0.91	1.39
#N/A	0.02
#N/A	0.00
0.94	0.23
#N/A	0.02
#N/A	0.19
#N/A	0.00
#N/A	0.35
1.05	2.11
#N/A	0.06
#N/A	24.67
0.02	0.00
#N/A	0.00
#N/A	0.00
#N/A	0.00
#N/A	0.00
#N/A	1.92
#N/A	0.13
#N/A	0.00
#N/A	0.03
0.16	0.08
0.31	0.17
#N/A	0.06
#N/A	0.02
#N/A	4.15
5.31	6.23
#N/A	0.03
#N/A	0.69
#N/A	0.04
1.02	1.29
1.20	0.85
#N/A	0.99
#N/A	0.68
#N/A	0.42
#N/A	2.30
#N/A	0.11
#N/A	NA
#N/A	0.00
0.24	0.22
#N/A	0.21
0.50	0.41
#N/A	7.86
#N/A	0.98
0.33	0.15
#N/A	NA
5.87	2.88
3.27	6.95
62.09	69.26
#N/A	0.15
#N/A	0.08
#N/A	3.02
#N/A	1.81
#N/A	5.85
#N/A	0.46
#N/A	0.00
#N/A	0.36
#N/A	0.33
#N/A	0.51
0.71	1.11
0.04	0.04
#N/A	0.30
0.10	0.02
0.95	1.31
0.19	0.41
#N/A	0.05
76.60	68.39
#N/A	1.24
#N/A	0.52
#N/A	0.38
#N/A	1.79
#N/A	0.00
#N/A	0.17
#N/A	0.00
#N/A	4.47
4.26	6.98
#N/A	1.08
0.03	0.11
#N/A	0.03
#N/A	0.00
#N/A	2.78
#N/A	0.07
#N/A	0.22
#N/A	0.09
#N/A	20.43
#N/A	0.01
#N/A	0.00
#N/A	0.04
#N/A	0.51
#N/A	0.52
#N/A	0.05
#N/A	0.27
#N/A	8.81
#N/A	0.00
#N/A	0.03
#N/A	0.28
#N/A	0.07
#N/A	1.69
#N/A	6.34
#N/A	0.00
#N/A	0.06
#N/A	0.00
0.76	0.72
1.70	1.95
0.08	0.05
#N/A	1.73
#N/A	0.10
#N/A	0.31
#N/A	0.00
#N/A	0.89
0.55	0.97
#N/A	2.27
#N/A	6.16
#N/A	0.23
#N/A	0.07
0.06	0.61
#N/A	0.00
#N/A	0.01
0.42	0.42
#N/A	6.84
#N/A	0.01
#N/A	0.86
#N/A	0.05
#N/A	0.01
#N/A	7.38
#N/A	0.10
#N/A	0.30
#N/A	0.00
#N/A	1.28
0.01	0.00
#N/A	0.18
#N/A	0.11
#N/A	0.02
#N/A	0.08
#N/A	#N/A
#N/A	0.10
0.59	1.69
0.51	0.14
#N/A	0.07
#N/A	48.26
#N/A	6.94
#N/A	6.27
#N/A	2.05
#N/A	0.33
#N/A	0.59
#N/A	9.29
#N/A	0.28
#N/A	1.28
#N/A	0.11
#N/A	16.75
#N/A	0.25
#N/A	0.61
#N/A	0.68
#N/A	0.12
#N/A	2.57
#N/A	6.99
#N/A	0.33
0.16	0.25
#N/A	0.17
#N/A	0.66
#N/A	0.03
#N/A	0.04
#N/A	0.66
#N/A	0.01
#N/A	1.51
#N/A	0.00
#N/A	0.34
#N/A	0.19
#N/A	2.67
#N/A	NA
#N/A	0.37
0.02	0.06
#N/A	0.17
#N/A	0.00
#N/A	13.42
#N/A	NA
#N/A	0.13
#N/A	1.21
0.37	0.11
#N/A	0.00
#N/A	0.21
#N/A	0.11
#N/A	NA
#N/A	0.45
#N/A	0.79
0.23	0.02
#N/A	0.00
#N/A	1.35
#N/A	0.26
#N/A	0.15
#N/A	2.32
#N/A	0.00
0.84	0.65
#N/A	4.71
#N/A	0.58
#N/A	1.02
#N/A	0.06
#N/A	0.21
#N/A	2.09
#N/A	7.23
#N/A	2.37
#N/A	1.38
#N/A	0.02
#N/A	0.00
#N/A	0.23
#N/A	0.02
#N/A	0.19
#N/A	0.00
#N/A	0.37
0.98	2.07
#N/A	0.06
#N/A	24.68
#N/A	0.00
#N/A	0.00
0.01	0.00
#N/A	0.00
#N/A	0.00
#N/A	1.94
#N/A	0.13
#N/A	0.00
#N/A	0.03
0.16	0.08
#N/A	0.17
#N/A	0.06
#N/A	0.02
4.19	4.29
#N/A	6.19
#N/A	0.03
#N/A	0.70
#N/A	0.05
#N/A	1.29
0.92	0.86
#N/A	1.01
#N/A	0.69
#N/A	0.43
#N/A	2.35
#N/A	0.11
#N/A	NA
#N/A	0.00
#N/A	0.22
#N/A	0.20
#N/A	0.41
#N/A	7.97
#N/A	0.98
#N/A	0.16
#N/A	NA
#N/A	2.86
#N/A	6.87
#N/A	69.74
#N/A	0.16
#N/A	0.08
#N/A	3.12
#N/A	1.86
#N/A	5.97
#N/A	0.47
#N/A	0.00
#N/A	0.37
