2.93	1.03
#N/A	7.76
#N/A	0.53
#N/A	1.93
#N/A	0.01
#N/A	0.38
#N/A	0.00
28.58	11.66
22.19	9.79
3.64	2.48
#N/A	0.06
#N/A	0.16
0.08	0.00
#N/A	65.32
#N/A	0.06
#N/A	0.25
0.14	0.03
54.87	43.59
#N/A	0.03
#N/A	0.01
0.09	0.05
#N/A	10.42
#N/A	44.72
#N/A	0.11
#N/A	0.73
42.21	33.78
#N/A	0.00
#N/A	0.03
#N/A	2.35
#N/A	0.15
#N/A	2.59
#N/A	7.72
#N/A	0.00
#N/A	0.05
#N/A	0.00
#N/A	0.83
5.21	1.97
0.21	0.23
12.51	4.76
#N/A	0.08
0.93	0.61
0.02	0.00
#N/A	1.07
1.98	2.24
#N/A	5.41
58.87	32.47
#N/A	0.22
#N/A	0.03
1.36	2.65
#N/A	0.00
#N/A	0.01
2.59	2.27
30.34	28.91
#N/A	0.00
#N/A	1.42
#N/A	0.06
#N/A	0.05
45.20	35.06
#N/A	2.01
#N/A	0.35
#N/A	0.00
8.70	4.42
#N/A	0.00
#N/A	0.40
#N/A	1.23
#N/A	1.60
1.29	0.38
#N/A	#N/A
#N/A	0.22
6.01	5.03
#N/A	1.57
#N/A	0.14
#N/A	532.23
#N/A	27.67
83.00	28.94
54.40	23.17
1.18	0.80
1.81	0.92
#N/A	23.56
1.23	0.38
33.67	7.93
0.93	0.07
89.23	69.21
#N/A	0.16
10.09	2.32
#N/A	0.50
#N/A	13.42
#N/A	7.08
25.44	22.45
0.54	0.01
0.42	0.48
#N/A	8.62
1.29	0.58
#N/A	0.02
#N/A	0.02
4.60	0.86
#N/A	0.01
4.35	4.08
#N/A	0.00
#N/A	12.23
0.94	0.13
5.49	8.16
#N/A	NA
#N/A	2.43
0.06	0.05
#N/A	0.78
0.62	0.00
#N/A	27.43
0.01	NA
0.43	0.13
11.26	1.94
#N/A	0.24
#N/A	0.00
#N/A	2.53
0.27	0.05
#N/A	NA
#N/A	5.11
6.51	4.05
1.56	0.19
#N/A	0.00
#N/A	0.93
