"FID";"surface_water_abstraction_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"surface_water_abstraction_km3";"Lebanon";"MENA";"LBN";0.0419736;0.0550207;0.0378373;0.065903;0.072012;0.0848077;0.0977112;0.0980074;0.133254;0.198706;0.209411;0.21287;0.214017;0.208421;0.198114;0.108126;0.193072;0.16096;0.204554;0.194026;0.277251;0.13479;0.284507;0.297958;0.213344;0.241237;0.215642;0.171394;0.132397;0.215273;0.312834;0.136034;0.131586;0.191581;0.328785;0.283326;0.200491;0.192236;0.180828;0.179932;0.167419;0.0826031;0.174806;0.192995;0.254001;0.441456;0.444205;0.208944;0.220287;0.190274;0.112818;0.239297;0.177113;0.258129;0.337556;0.304799;0.110445;0.163737;0.19295024137931;0.0861297310790236;0.45785576044417;0.392722015441878;0.283726557773745;0.00030173885739182;0.00245951131248649;0.00165494314410886;0.00233524469531515;0.209631897371914;0.209631897371914;0.05454932;0.0147607061774496;0.12249726;0.0462549577179355;0.2085666;0.00628922032528675;0.1721476;0.039340174514102;0.24157;0.0679981649568575;0.1951886;0.0431600158051408;0.220164;0.0950357267215861;0.2073626;0.043309911877075;0.17436482;0.0615582185505071;0.3010332;0.129889084443998;0.2249826;0.0849246023911799;0.192993666666667;0.100425762318906
"108";"surface_water_abstraction_km3";"Liberia";"AFR";"LBR";0.00959965;0.00957176;0.00959841;0.0098235;0.0101377;0.01048;0.0113213;0.0116382;0.012203;0.012719;0.013183;0.0138768;0.0144;0.0149887;0.0155492;0.0163023;0.0177544;0.0188456;0.0194712;0.0209009;0.0218397;0.0233167;0.0241869;0.0245247;0.0255163;0.0259598;0.0264302;0.0267044;0.0262245;0.0270679;0.0275673;0.0253325;0.0209187;0.0195971;0.0171653;0.0154374;0.0144531;0.0149991;0.0157065;0.0196021;0.0222583;0.0241625;0.027248;0.0280359;0.0288558;0.0272941;0.0288918;0.0306117;0.0325604;0.0359541;0.0382095;0.0394435;0.0419239;0.0418537;0.0422533;0.0421839;0.0419631;0.0420462;0.0229424917241379;0.00985583712149875;0.869167567569997;0.87892583592236;0.774954627949183;0;0;0;0.000507279895413573;0.755452260515545;0.755452260515545;0.009746204;0.000241348109646626;0.0116723;0.000854863509573312;0.01439954;0.00092493979695978;0.01865488;0.00173873914000922;0.02387686;0.00138450217334607;0.02647736;0.000428460981887498;0.02211618;0.00425295070415823;0.01603964;0.00204723161806377;0.0261121;0.00279158913255515;0.03106242;0.00336479763982918;0.04073678;0.00180390648648981;0.0420644;0.000111519460185208
"109";"surface_water_abstraction_km3";"Libya";"MENA";"LBY";0.0579998;0.0598865;0.0586886;0.0616882;0.0643893;0.0656344;0.0702742;0.0719125;0.0771108;0.0785394;0.080541;0.0849659;0.0887419;0.0807129;0.0893699;0.0940849;0.101219;0.118577;0.122303;0.124309;0.134679;0.142609;0.152196;0.165553;0.165004;0.170788;0.174484;0.184642;0.192494;0.207299;0.219093;0.220325;0.259609;0.271586;0.2796;0.273356;0.279923;0.26501;0.280301;0.288337;0.27354;0.281821;0.306563;0.284081;0.259072;0.273526;0.305761;0.337072;0.362442;0.406344;0.441162;0.399402;0.409284;0.407748;0.4145;0.412764;0.40846;0.405532;0.213222589655172;0.120988273173739;0.977904623771374;0.986034636562183;0.932244404113733;0;0;0;0.00700632692485151;0.956297453193429;0.956297453193429;0.06053048;0.00257110777817656;0.07269426;0.00524359012299779;0.08486632;0.00422112426161562;0.11209858;0.0135835598972434;0.1520082;0.0136109682499079;0.1859414;0.0146771048848198;0.2500426;0.0285932136931126;0.2773854;0.00872158628346931;0.2810154;0.0173213825169932;0.337029;0.0511388073677907;0.4144192;0.0159026362971678;0.408918666666667;0.00363775168659619
"11";"surface_water_abstraction_km3";"Australia";"Other";"AUS";3.10419;3.33889;3.06691;3.35458;3.37737;3.29248;3.47679;4.00698;3.86118;4.65319;3.95313;4.47633;4.6153;4.87015;5.42978;4.14564;4.93591;5.44077;5.75804;5.69573;4.85509;5.84604;5.27237;5.82302;6.16958;5.32969;6.74141;6.30797;6.17902;6.9987;6.3958;7.21693;7.85687;8.14373;7.35497;7.54944;8.78277;8.06874;8.83831;8.48842;7.57034;8.20924;8.50835;9.32449;8.43368;7.77893;9.43476;9.19191;9.53204;9.09712;10.7633;9.40833;8.8457;11.037;11.2827;10.0716;9.24154;9.72736;6.73328620689655;2.31172336109698;0.971026239969721;0.974776215817158;0.871748336358137;0;0;0;0.132928299240209;0.942891958709734;0.942891958709734;3.248388;0.149859131253321;3.858124;0.529071390863275;4.668938;0.541230724247987;5.195218;0.670155069271284;5.59322;0.523616620582273;6.311358;0.640035279238575;7.39366;0.671867452999473;8.345536;0.539629616060868;8.40922;0.630843854729521;9.006952;0.708716243478305;10.267406;1.07567039732438;9.68016666666667;0.41703753899779
"110";"surface_water_abstraction_km3";"Saint Lucia";"LCR";"LCA";3.64409e-09;3.64946e-09;3.66004e-09;4.41231e-09;4.74313e-09;4.29794e-09;4.12459e-09;4.11362e-09;5.32693e-09;7.48973e-09;6.62585e-09;7.2487e-09;8.61991e-09;9.35891e-09;1.01471e-08;9.42799e-09;8.78264e-09;8.10501e-09;5.36997e-09;6.28326e-09;6.32297e-09;6.43107e-09;6.55022e-09;8.21333e-09;8.2901e-09;8.28158e-09;8.31803e-09;8.5846e-09;9.00266e-09;9.35931e-09;9.70211e-09;9.97172e-09;1.02669e-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.04699620689655e-09;3.90625238902824e-09;-0.641420597792061;-0.622764875687802;-0.329656462676756;5.7965610258888e-08;1.78957608604634e-07;0.000555399976632421;-1.4837263957673e-10;0.411420383271918;0.411420383271918;4.021806e-09;5.20813605361841e-10;5.070562e-09;1.44270961515823e-09;8.400094e-09;1.45716566272679e-09;7.593774e-09;1.71039937755192e-09;7.161538e-09;9.98800291084259e-10;8.709236e-09;4.6372399402015e-10;5.988146e-09;5.47005281587664e-09;0;0;0;0;0;0;0;0;0;0
"111";"surface_water_abstraction_km3";"Liechtenstein";"Other";"LIE";1.697e-07;1.523e-07;1.681e-07;1.542e-07;1.695e-07;2.195e-07;1.54e-07;2.336e-07;2.286e-07;2.086e-07;2.574e-07;1.689e-07;2.391e-07;1.502e-07;1.034e-07;1.494e-07;2.034e-07;2.21e-07;8.11002e-08;1.647e-07;1.693e-07;2e-07;2.312e-07;1.905e-07;2.252e-07;2.364e-07;1.665e-07;1.159e-07;1.154e-07;1.884e-07;2.129e-07;9.86002e-08;9.64002e-08;7.43001e-08;6.49001e-08;1.062e-07;1.194e-07;1.601e-07;6.04001e-08;5.57001e-08;5.80001e-08;1.945e-07;2.37e-07;2.135e-07;1.649e-07;1.015e-07;5.55001e-08;5.44001e-08;9.9e-08;5.09001e-08;6.74001e-08;5.72001e-08;5.64001e-08;5.36001e-08;7.71001e-08;1.345e-07;5.93001e-08;5.75001e-08;1.42700036206897e-07;6.43353101623643e-08;-0.620174404501983;-0.615491094773755;-0.430127041742287;2.08069505915437e-07;5.27973554065837e-07;1.84795623875597e-06;-2.3627287058968e-09;0.384616291999385;0.384616291999385;1.6276e-07;8.72914657913361e-09;2.0886e-07;3.21116489766564e-08;1.838e-07;6.3816494732945e-08;1.6392004e-07;5.45145734460795e-08;2.0324e-07;2.54397916658136e-08;1.6452e-07;5.12776462018295e-08;1.0942012e-07;5.96031092645929e-08;1.0036004e-07;4.346491422979e-08;1.7358002e-07;6.97986477018144e-08;7.226006e-08;2.56228452948341e-08;6.23401e-08;9.76667804322432e-09;8.37667333333333e-08;4.39455146744617e-08
"112";"surface_water_abstraction_km3";"Sri Lanka";"SOA";"LKA";1.19239;1.30131;1.42468;1.47189;1.81601;2.00615;1.65976;1.19595;1.7538;1.56463;1.59062;1.04631;2.29219;1.73475;1.67924;1.67262;1.74857;1.45438;1.23168;1.8038;1.56112;1.49317;1.54038;1.73159;1.30584;1.28714;2.13439;1.8422;2.06839;1.89744;2.41358;2.25109;2.10297;2.28759;2.09302;1.98228;2.48031;2.56301;2.22436;2.14973;2.53534;2.3491;2.41026;2.30954;2.22507;2.67398;2.2821;2.61508;2.42686;2.69631;2.71331;2.71802;2.57276;2.76349;2.45168;2.61517;2.00152;2.58876;1.99997724137931;0.480020198232902;0.824482080496233;0.82632501768741;0.629764065335753;1.77635683940025e-15;0;2.88924439928451e-12;0.0234364243747884;0.679770701059399;0.679770701059399;1.441256;0.236205913939512;1.636058;0.29588429439563;1.668622;0.443474701161182;1.58221;0.236729558568422;1.52642;0.152688243980996;1.845912;0.334518713482519;2.22965;0.134501432520252;2.279938;0.239228979160134;2.365862;0.116156677035804;2.538866;0.178414617338378;2.643852;0.129056874167942;2.40181666666667;0.346918489033567
"113";"surface_water_abstraction_km3";"Lesotho";"AFR";"LSO";0.00718421;0.00721609;0.00722618;0.00731796;0.00768262;0.0080012;0.00834685;0.0084853;0.00855463;0.00882327;0.00895796;0.0093004;0.00955963;0.0101453;0.0104486;0.0118232;0.0128115;0.0129233;0.0129912;0.0131811;0.0151499;0.0159426;0.0153227;0.0182085;0.0175896;0.0178303;0.0180338;0.0138383;0.017392;0.0186662;0.0195002;0.0197106;0.0199547;0.0208871;0.0180563;0.0209402;0.0220685;0.0222616;0.0238169;0.0244204;0.0235251;0.0232237;0.0238672;0.023462;0.0232507;0.0259017;0.0278486;0.026084;0.0286227;0.0285447;0.0291675;0.0294045;0.0302085;0.0302351;0.0303667;0.0286931;0.0279695;0.0297383;0.0182876637931034;0.00765353128403537;0.987544182665413;0.988741579254976;0.934664246823957;0;0;0;0.000447578294626099;0.975243512716296;0.975243512716296;0.007325412;0.000205784706598911;0.00844225;0.000301365670656098;0.009682378;0.00060974351863714;0.01274606;0.000533085455626018;0.01644266;0.00137924445730262;0.01715212;0.00190844644855443;0.01962178;0.00102289646934575;0.02270152;0.00140491219191806;0.02346574;0.000259582979025976;0.02740034;0.00132129989517899;0.02987646;0.0005487665696815;0.0288003;0.000889259377234785
"114";"surface_water_abstraction_km3";"Lithuania";"ECA";"LTU";2.25932;2.25764;2.26488;2.29037;2.37542;2.36268;2.42396;2.45514;2.51601;2.52012;2.56312;2.63495;2.68839;2.76377;2.84573;3.07655;3.31849;3.34576;3.22387;3.39583;3.63609;3.81384;3.99613;4.14837;4.0393;3.86995;3.83321;3.85279;3.86108;3.90818;4.04846;4.15113;4.4525;4.42794;4.09991;3.8884;3.8094;4.08145;4.09904;4.41129;4.56452;4.5217;4.57602;4.68348;4.91529;4.95428;5.69089;5.94725;6.19912;6.75931;7.10214;6.61119;6.61013;6.5759;6.5368;6.60336;6.38465;5.8703;4.12270327586207;1.40424605769135;0.950563251257833;0.96973145898059;0.877797943133696;0;0;0;0.0790450819772978;0.90357049464186;0.90357049464186;2.289526;0.0497871376963971;2.455582;0.0660447281771982;2.699192;0.110003420946805;3.2721;0.125949271534217;3.926746;0.202378614804035;3.865042;0.0276769790620293;4.235988;0.190136707055739;4.057916;0.233245628533527;4.652202;0.158679087532037;5.91017;0.66477725197994;6.687232;0.233933940183976;6.28610333333333;0.376334724724325
"115";"surface_water_abstraction_km3";"Luxembourg";"Other";"LUX";0.0564722;0.0563291;0.0566347;0.0571968;0.0583019;0.0598092;0.0624143;0.0635335;0.0646659;0.0655108;0.0672141;0.0699007;0.072782;0.0745848;0.0798104;0.0869013;0.0915574;0.0935074;0.0961189;0.0998952;0.106551;0.111474;0.114235;0.107941;0.104352;0.102694;0.101854;0.10347;0.114754;0.122566;0.125731;0.126773;0.136355;0.139076;0.143849;0.142973;0.147059;0.154682;0.153744;0.148878;0.150101;0.151629;0.148303;0.1472;0.151179;0.162092;0.170715;0.174033;0.178307;0.186583;0.19274;0.186796;0.186913;0.186913;0.187463;0.186913;0.186913;0.186913;0.121790648275862;0.0447501511601887;0.989093488039873;0.988553540751975;0.930222727979656;0;1.07787808596589e-47;0;0.00262109323571931;0.978305928082879;0.978305928082879;0.05698694;0.000805441613650547;0.06318674;0.00222001417180161;0.0728584;0.0047938165823277;0.09359604;0.0048741074324434;0.1089106;0.00394363173990676;0.1090676;0.00919964503663049;0.1343568;0.007878514466573;0.1494672;0.00484268455507893;0.1496824;0.00188873920910221;0.174346;0.00906747395915753;0.188165;0.00257063212070494;0.186913;0
