"FID";"industryGrossDemand_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"industryGrossDemand_km3";"Lebanon";"MENA";"LBN";0.0358568;0.0358568;0.0359551;0.0358654;0.0363216;0.0367453;0.0378007;0.0385715;0.038288;0.0386082;0.039059;0.0404586;0.0410032;0.0381828;0.0394061;0.041834;0.0454373;0.0474705;0.0483367;0.0492709;0.0510288;0.0531837;0.0559229;0.0573915;0.0568408;0.0566975;0.05651;0.0567491;0.0561369;0.0556117;0.0596637;0.0559675;0.0566001;0.0636685;0.0667137;0.07201;0.0780717;0.0821361;0.0859211;0.0890885;0.0912277;0.0912172;0.0911917;0.0917394;0.0933065;0.0939911;0.0960523;0.096332;0.0971768;0.10044;0.106641;0.111028;0.114357;0.114357;0.114671;0.114357;0.114357;0.114357;0.0674662413793103;0.0272333559084922;0.969886906399113;0.989461103692655;0.938396731439822;0;1.07945551269196e-48;0;0.00156413011781351;0.940680611204437;0.940680611204437;0.03597114;0.00020025465787342;0.03800274;0.000773533860280208;0.03962194;0.00112277462475779;0.04646988;0.00295336990436349;0.05487354;0.00269021262040754;0.05634104;0.000473216164136432;0.0605227;0.00461245751850356;0.08144548;0.00669579269780659;0.0917365;0.000906954433805801;0.09679844;0.00234838053624195;0.1122108;0.00345277499990949;0.114357;0
"108";"industryGrossDemand_km3";"Liberia";"AFR";"LBR";0.000285476;0.000285476;0.000286258;0.000291338;0.000291718;0.000299962;0.000310389;0.000306305;0.00031176;0.0003145;0.000326021;0.000331157;0.000335405;0.000363023;0.000377628;0.000408629;0.000437545;0.000461346;0.000482523;0.00051468;0.000538734;0.000559958;0.000580485;0.000551544;0.000544393;0.000540917;0.000545521;0.000556787;0.000464903;0.000473121;0.000475583;0.00046509;0.000472904;0.00046832;0.000471915;0.000465009;0.000433033;0.000460287;0.000468721;0.000461607;0.000467057;0.000461388;0.000435469;0.000419437;0.000427658;0.000446566;0.000461516;0.000458225;0.000461418;0.000487204;0.000500202;0.000499148;0.000497467;0.000497467;0.00049883;0.000497467;0.000497467;0.000497467;0.000440196965517241;8.37555529380811e-05;0.643170774207768;0.546794495976443;0.404251114578863;5.19442107105306e-08;8.96097881551762e-06;7.84776826279199e-06;3.18999889261435e-06;0.413668644795025;0.413668644795025;0.0002880532;3.19089849415489e-06;0.0003085832;5.65413076431735e-06;0.0003466468;2.2470815944242e-05;0.0004609446;4.07361785308833e-05;0.0005550228;1.63026035558742e-05;0.0005162498;4.36036860506081e-05;0.0004707624;4.10166311390881e-06;0.0004577314;1.41888785603373e-05;0.0004422018;2.09820165308295e-05;0.0004629858;1.48611453865441e-05;0.0004986228;1.17093838437384e-06;0.000497467;0
"109";"industryGrossDemand_km3";"Libya";"MENA";"LBY";0.0495152;0.0495152;0.0496509;0.0501076;0.0509211;0.0517266;0.052824;0.0538697;0.0548455;0.0555248;0.0564193;0.0577171;0.0588212;0.0526767;0.0552408;0.0593097;0.0618797;0.064284;0.06546;0.0682113;0.0717256;0.0750244;0.0778346;0.0780311;0.0774014;0.0774502;0.0779478;0.0788251;0.0824773;0.0859919;0.0884072;0.0894975;0.106093;0.109313;0.110417;0.106779;0.104249;0.100235;0.102178;0.104703;0.100863;0.103702;0.110966;0.100595;0.0898758;0.0947185;0.104013;0.113051;0.121366;0.129722;0.139533;0.123346;0.123348;0.123348;0.123686;0.123348;0.123348;0.123348;0.0861254965517241;0.0267832688088807;0.96373448199176;0.964967664255556;0.866772660088012;0;3.16175910591862e-34;0;0.00152852166476974;0.928784151779924;0.928784151779924;0.049942;0.000598981606562337;0.05375812;0.00152607808351997;0.05617502;0.00237439265223762;0.06382894;0.003402042851435;0.07600342;0.00267755852260973;0.08053846;0.00362917276841431;0.10074554;0.0108890641888089;0.1036288;0.00250424703254291;0.10120036;0.00758867345113755;0.1125741;0.0138174735226813;0.1266522;0.00720207929698083;0.123348;0
"11";"industryGrossDemand_km3";"Australia";"Other";"AUS";0.13025;0.13025;0.130607;0.132602;0.135451;0.138389;0.141894;0.157496;0.15897;0.163952;0.166852;0.171948;0.177723;0.180849;0.187739;0.199334;0.218957;0.224364;0.22897;0.232195;0.236474;0.245309;0.252476;0.264414;0.270877;0.262363;0.268676;0.262408;0.26215;0.264186;0.281441;0.301102;0.303958;0.307015;0.305579;0.301322;0.30353;0.314584;0.32172;0.328895;0.31996;0.316598;0.321954;0.312297;0.315555;0.33042;0.357478;0.370193;0.376905;0.390537;0.411508;0.378387;0.377849;0.377849;0.378884;0.377849;0.377849;0.377849;0.267882620689655;0.0836847524433377;0.984546718426877;0.987307158013514;0.923829123707251;0;1.91571042462162e-46;0;0.00487902771540185;0.969332240765132;0.969332240765132;0.131832;0.00224700545170678;0.1521402;0.0112797328957737;0.1770222;0.0080493135545834;0.220764;0.012975711406316;0.25391;0.0139486626419883;0.2639566;0.00276255711253181;0.299819;0.0105058116059636;0.3140102;0.0117489631968102;0.3172728;0.00378482016745844;0.3651066;0.0227658445329841;0.3848954;0.0148831295868846;0.377849;0
"110";"industryGrossDemand_km3";"Saint Lucia";"LCR";"LCA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"industryGrossDemand_km3";"Liechtenstein";"Other";"LIE";0.00119251;0.00119251;0.00119577;0.00123364;0.00125726;0.00128839;0.0013232;0.00135755;0.00139198;0.00141792;0.00145075;0.00149282;0.00154825;0.00162141;0.00172786;0.00188894;0.00199116;0.00207033;0.00212093;0.0022418;0.00237311;0.00250941;0.00258889;0.002477;0.002478;0.00249198;0.00245011;0.00246941;0.00274801;0.0029445;0.00300704;0.00300428;0.003207;0.00324409;0.0033574;0.00331304;0.00338101;0.00355903;0.0035456;0.00341901;0.00344757;0.00344251;0.00334048;0.00334095;0.00341769;0.0036319;0.00377757;0.00382738;0.00389599;0.00406321;0.00417924;0.00407034;0.00406106;0.00406106;0.00407219;0.00406106;0.00406106;0.00406106;0.00273077965517241;0.00100252772024845;0.986464953333568;0.984783964503662;0.917759287152012;0;2.96993288994646e-44;0;5.85637220462021e-05;0.973113104155398;0.973113104155398;0.001214338;2.96334231907149e-05;0.001355808;5.19081329851113e-05;0.001568218;0.000109769380384513;0.002062632;0.000133075397688679;0.002485282;7.74934750156425e-05;0.002620802;0.000217722687540826;0.003163962;0.000154769086771228;0.003443538;0.000106414467390482;0.00339784;5.33599709520162e-05;0.00383921;0.000158364171295151;0.004088778;5.08307733563045e-05;0.00406106;0
"112";"industryGrossDemand_km3";"Sri Lanka";"SOA";"LKA";0.102365;0.102365;0.102646;0.102736;0.102138;0.0966637;0.0977997;0.104758;0.105001;0.106162;0.104391;0.10649;0.110866;0.101968;0.103988;0.10727;0.113639;0.115247;0.112729;0.116702;0.103026;0.109361;0.114911;0.11781;0.1204;0.122908;0.128361;0.127584;0.129958;0.13117;0.132378;0.131864;0.137261;0.141669;0.144588;0.14746;0.152822;0.157766;0.160761;0.165215;0.167652;0.167417;0.169973;0.16747;0.171295;0.176317;0.180779;0.190081;0.198003;0.205797;0.219062;0.221245;0.231744;0.231744;0.232379;0.231744;0.231744;0.231744;0.145161851724138;0.0438412363778519;0.942622617444525;0.981768440552863;0.91897325446306;0;4.50989412507038e-42;0;0.00244721017564364;0.888537398917962;0.888537398917962;0.10245;0.000240835005761202;0.10207688;0.00447280320682679;0.1055406;0.00338219097627559;0.1131174;0.00360553606277901;0.1131016;0.00696813111960445;0.1279962;0.00316679778325046;0.137552;0.00560498184653616;0.1568048;0.00690099396464016;0.1687614;0.00177433066253165;0.1901954;0.0121002087089438;0.2272348;0.00651538423272181;0.231744;0
"113";"industryGrossDemand_km3";"Lesotho";"AFR";"LSO";0.00437719;0.00437719;0.00438918;0.00440955;0.00462124;0.00478342;0.00490913;0.00496552;0.0050082;0.00505475;0.00507732;0.00515346;0.00520163;0.00539099;0.00545281;0.0061611;0.00658026;0.00653683;0.00648477;0.00696777;0.0076246;0.00777461;0.0086247;0.00860371;0.00835463;0.00843105;0.0080586;0.00742338;0.00761208;0.00783073;0.00814332;0.0082513;0.00861886;0.00885431;0.00923433;0.00918301;0.00923476;0.00943109;0.0093253;0.00946937;0.00927428;0.00914708;0.00895771;0.00873014;0.0085935;0.0097527;0.0100101;0.0100298;0.0100368;0.0100499;0.0100389;0.010044;0.0100807;0.0100807;0.0101083;0.0100807;0.0100807;0.0100807;0.00777866827586207;0.00200127102106245;0.955600917512093;0.972783410005586;0.888624071686869;0;2.98562065249127e-37;0;0.000113248663447045;0.913173113549955;0.913173113549955;0.00443487;0.000105019546037869;0.004944204;0.000104704295661639;0.005255242;0.000159961475268266;0.006546146;0.000287682457633412;0.00819645;0.000468839282323911;0.007871168;0.000393024975376884;0.008620424;0.000445944626080414;0.009328706;0.000122814515143773;0.008940542;0.000282418523507223;0.00997586;0.00012557656230364;0.01007052;2.88865366563733e-05;0.0100807;0
"114";"industryGrossDemand_km3";"Lithuania";"ECA";"LTU";1.81468;1.81468;1.81966;1.83626;1.89852;1.88296;1.92779;1.95111;1.99074;1.98775;2.01627;2.0698;2.10769;2.16134;2.2205;2.39777;2.57966;2.59603;2.66155;2.72225;2.80596;2.93906;3.07342;3.18912;3.10002;2.96372;2.92735;2.93724;2.9374;2.96486;3.06521;3.13756;3.36244;3.34211;3.10785;2.95318;2.89805;3.12667;3.2055;3.39365;3.51783;3.49089;3.53637;3.62406;3.80874;4.15203;4.41634;4.62273;4.85485;5.28773;5.61053;5.21037;5.19489;5.19489;5.20912;5.19489;5.19489;5.19489;3.22764517241379;1.12317698841394;0.945610596955425;0.971675666513455;0.889838038997917;0;8.99102290872839e-37;0;0.0628942797379181;0.894179401074393;0.894179401074393;1.83676;0.0356441103129254;1.94807;0.0448750025069637;2.11512;0.0792490734961615;2.591452;0.122162364171622;3.021516;0.150176050953539;2.946114;0.0170891275377065;3.203034;0.138829661924244;3.11541;0.199514683544846;3.595578;0.129188988191719;4.666736;0.433179344013539;5.28396;0.182709748234734;5.19489;0
"115";"industryGrossDemand_km3";"Luxembourg";"Other";"LUX";0.0763611;0.0763611;0.0765703;0.0771861;0.0785858;0.0803834;0.0833342;0.0845643;0.0860052;0.0870068;0.0892199;0.0928437;0.0966565;0.0987923;0.105582;0.115014;0.121102;0.123097;0.126442;0.131235;0.140032;0.146512;0.15012;0.141977;0.13738;0.135873;0.134692;0.136196;0.151416;0.161593;0.166707;0.168456;0.180397;0.183089;0.188658;0.187624;0.192749;0.201859;0.200438;0.194061;0.195734;0.197842;0.1935;0.193252;0.198631;0.21255;0.221974;0.226065;0.23162;0.242339;0.249315;0.24127;0.241231;0.241231;0.241892;0.241231;0.241231;0.241231;0.159626046551724;0.0570423387049532;0.988867898716165;0.985522460165082;0.917759287152012;0;7.44676253513486e-45;0;0.00334030575840533;0.977859721111322;0.977859721111322;0.07701288;0.000942018297062216;0.08425878;0.0025772251321916;0.09661888;0.00620603695944521;0.123378;0.00604847455975471;0.1432042;0.00510538952480612;0.143954;0.0120217462749802;0.1774614;0.00951847977883023;0.1953462;0.00583893292477315;0.1957918;0.00244799146240341;0.2269096;0.011085191261318;0.2429878;0.00354816032614086;0.241231;0
