"FID";"irrigation_water_consumption_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"irrigation_water_consumption_km3";"Lebanon";"MENA";"LBN";0.146916;0.166518;0.167388;0.126929;0.148343;0.128144;0.118904;0.129029;0.176443;0.168271;0.188857;0.188027;0.21844;0.196542;0.298108;0.268174;0.216385;0.189908;0.209577;0.181253;0.260206;0.21389;0.224442;0.250418;0.250219;0.247645;0.257774;0.291035;0.220347;0.232735;0.249962;0.360885;0.359978;0.20325;0.247086;0.367419;0.234129;0.296067;0.192766;0.209108;0.206479;0.254943;0.238583;0.241414;0.28775;0.25494;0.316723;0.275896;0.329624;0.285585;0.251623;0.247676;0.237977;0.268853;0.251239;0.328742;0.247665;0.317057;0.235246310344828;0.0594432496196212;0.666975392400902;0.683287704943247;0.50151240169389;1.08704696355488e-08;9.08762999644968e-09;2.6835568656125e-08;0.00234781014488294;0.444856174068339;0.444856174068339;0.1512188;0.0166754853512574;0.1441582;0.0262052349102236;0.2179948;0.0464371243478749;0.2130594;0.0339427468732276;0.239835;0.0196525600113573;0.2499072;0.0270517554920194;0.2842322;0.0719817363377684;0.2598978;0.0717971672261518;0.2458338;0.0294145132664132;0.2925536;0.0304105013983657;0.2514736;0.0111658058285105;0.297821333333333;0.0438278237690777
"108";"irrigation_water_consumption_km3";"Liberia";"AFR";"LBR";0.000107039;1.6826e-05;0;8.2634e-05;3.1473e-05;0;0.00018186;1.04914e-06;0.000146803;0.00018841;7.3282e-05;9.78183e-05;0.000124804;0.00023949;1.98288e-05;0.000338224;0.000263899;0.00019398;0.000127922;0.000151633;0.000130522;0.000343023;0.000287775;0.000148332;0.000384972;0.000856286;0.0003669;0.000482498;0.000207739;0.000407293;0.000507721;0.0003887;0.00073654;4.68689e-05;0.000366005;0.000359597;0.000367541;0.00071302;0.000110115;0.000365665;0.000747622;0;0.00068645;0.000788065;0.000431925;0.000426319;0.000507921;0.000350235;0.000202344;0.00122495;0.000674802;0.000295684;0.000609052;0.000886423;0.00129654;0.00134874;0.000656284;0.000780641;0.000377208364482759;0.000326900100118115;0.713401596661206;0.748300367491289;0.56917976852844;3.29108518215548e-10;1.45911332535904e-11;2.862892145572e-10;1.38101930966808e-05;0.508941838118756;0.508941838118756;4.75944e-05;4.53686425992667e-05;0.000103624428;9.54378054181147e-05;0.00011104462;8.15610400399725e-05;0.0002151316;8.60450099616474e-05;0.0002589248;0.000114576158482906;0.0004641432;0.000241114170694507;0.00040916698;0.000250213779417525;0.0003831876;0.000214747777038087;0.0005308124;0.000327470948049289;0.0005423538;0.000397839025923425;0.0007525002;0.000370543539038532;0.000928555;0.000369164924567598
"109";"irrigation_water_consumption_km3";"Libya";"MENA";"LBY";0.659394;0.660385;0.647762;0.641548;0.5882;0.659584;0.626335;0.69574;0.725952;0.853124;0.905607;0.917606;1.07978;0.900541;0.901537;1.01052;0.968329;1.0752;0.945101;1.13468;1.0716;1.12019;1.11212;1.2348;1.14114;1.50219;1.49102;1.68484;1.36867;2.03037;1.90153;1.95454;2.38125;2.00543;2.31326;2.53078;2.29464;2.19653;2.35039;2.43891;2.44741;2.63976;2.47007;2.62737;2.61634;2.40727;2.61905;2.49997;2.48988;2.6266;2.68031;2.79807;2.95072;3.0032;3.31996;3.39564;3.43706;3.04097;1.77225474137931;0.874403430987987;0.973651709337441;0.982466393921683;0.895946763460375;0;0;0;0.0504157351195048;0.947997651095717;0.947997651095717;0.6394578;0.0297325179929316;0.712147;0.0872651856641582;0.9410142;0.0778686235379822;1.026766;0.0780052425513824;1.13597;0.0607359564014595;1.615418;0.257965401885602;2.111202;0.219912711933622;2.36225;0.128893373181091;2.56019;0.0933251072863031;2.528554;0.0933073900074372;2.950452;0.242649726704977;3.29122333333333;0.217713004281631
"11";"irrigation_water_consumption_km3";"Australia";"Other";"AUS";3.42579;3.82141;3.43373;4.07413;3.67964;3.36052;3.79668;5.15024;4.37317;6.10437;3.94535;5.02653;4.96458;4.86103;6.42995;3.12109;3.72319;4.93927;5.7589;6.21344;3.80434;6.2521;5.98691;5.47492;7.64684;4.27678;6.50607;6.00019;6.53843;7.71049;5.57503;6.16302;7.47302;8.28856;6.48887;7.42091;11.9011;8.13861;8.85202;9.63868;6.90967;7.29412;8.29702;11.466;12.3145;7.96703;9.9516;9.27286;11.6012;8.65704;9.7662;9.70494;5.43413;9.9897;11.9942;10.7014;11.0649;11.0919;6.96238465517241;2.63523993694919;0.857791069913866;0.869390015072749;0.696309739866909;0;0;1.15463194561016e-14;0.133860457411792;0.735805519623974;0.735805519623974;3.68694;0.274028371523826;4.556996;1.09427281517453;5.045488;0.889939451940411;4.751178;1.31368171585434;5.833022;1.3904164235293;6.206392;1.2478269777978;6.7977;1.08072166192318;9.190264;1.72487009978433;9.256262;2.47550005809331;9.489946;1.39020230070303;9.377834;2.39949884208766;10.9527333333333;0.218079305146851
"110";"irrigation_water_consumption_km3";"Saint Lucia";"LCR";"LCA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"irrigation_water_consumption_km3";"Liechtenstein";"Other";"LIE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"112";"irrigation_water_consumption_km3";"Sri Lanka";"SOA";"LKA";0.74401;0.76176;0.867783;0.764631;1.07404;0.943326;1.28708;0.671059;1.1058;0.881501;1.18098;0.583142;1.34344;1.11588;1.02114;1.04243;1.53252;1.06282;1.04459;1.24707;1.13079;1.18711;1.41392;1.37555;1.05146;1.30627;1.79723;1.94588;2.05071;2.17815;2.09964;2.28712;1.89487;2.08313;2.22092;1.91504;2.02064;2.34702;2.03011;1.97865;2.47837;2.04741;2.14851;2.25721;2.06998;2.43722;1.97994;2.29352;1.93156;2.31247;2.10168;2.5333;2.16913;2.46834;2.44075;2.66596;2.05382;2.26995;1.67669537931034;0.597597974333001;0.903634644153173;0.880525392968101;0.701149425287356;0;0;7.54951656745106e-15;0.0319780965886367;0.816555570113831;0.816555570113831;0.8424448;0.138322806610841;0.9777532;0.232696208932806;1.0489164;0.285651181171722;1.185886;0.21188914302059;1.231766;0.156966941519544;1.855648;0.33742680216604;2.117136;0.150441327201005;2.058292;0.16766017705466;2.200296;0.175785758467516;2.190942;0.222342652273467;2.34264;0.193613493460554;2.32991;0.310443627894019
"113";"irrigation_water_consumption_km3";"Lesotho";"AFR";"LSO";0.000372245;0.000482421;0.000504031;0.000354841;0.000483906;0.000231059;0.000565316;0.000718753;0.000447593;0.000322235;0.000606908;0.000518158;0.000654611;0.000359671;0.000492874;0.000477527;0.00023962;0.00036507;0.000256865;0.000322796;0.000438691;0.00060827;0.000567565;0.00032028;0.000513611;0.000732525;0.0007919;0.000397866;0.000552494;0.00125469;0.000624417;0.000527183;0.000764342;0.000422579;0.00152197;0.000695227;0.00127803;0.00129087;0.000895522;0.00181528;0.00101579;0.0017085;0.000680982;0.00100136;0.00147888;0.00208475;0.00141682;0.00168562;0.0010542;0.00207241;0.00189038;0.00161633;0.00127611;0.00171025;0.00319416;0.00265075;0.00194583;0.00366174;0.000981632310344828;0.000746513775574878;0.790668822461914;0.826017410563229;0.627344222625529;1.55431223447522e-13;0;3.49609230454462e-12;3.49528876311171e-05;0.625157186813305;0.625157186813305;0.0004394888;7.01226349276751e-05;0.0004569912;0.000193356161547027;0.0005264444;0.000113918909107751;0.0003323756;9.55707506159704e-05;0.0004896834;0.000114015999040924;0.000745895;0.000323919627605368;0.0007720982;0.000437699879559842;0.0011949858;0.000430201243374772;0.0011771024;0.000411246781748867;0.00166276;0.000440806936027554;0.001937446;0.000737164177595466;0.00275277333333333;0.000862492523117351
"114";"irrigation_water_consumption_km3";"Lithuania";"ECA";"LTU";0;7.31597e-05;0;5.06941e-06;0;0.000236973;0.000329022;0;3.73866e-06;5.6252e-05;8.44887e-05;0.00026473;2.48934e-05;0.00060753;0;9.52273e-05;1.1483e-06;0.000526722;0.000360362;0;0;2.30652e-05;0;0;0.000368338;0.000856851;0;0;0.000182964;0;0;0;2.74197e-06;0.000411382;0.00418451;3.71627e-05;0.00154818;0.000767605;0.000791891;0.000482838;0;0.000847756;1.6047e-05;0;0.00165557;0.000103863;1.36729e-05;4.66545e-05;0.000121271;6.41641e-06;1.87284e-05;0;0;1.50827e-05;0;6.61212e-06;2.14064e-05;0.00010197;0.000263825789137931;0.000634247638133473;0.0879672367548576;0.0688609622256457;0.0536684135274169;0.511419158503697;0.607515134111856;0.565884733737863;3.30392689378328e-06;0.00773823474228539;0.00773823474228539;1.5645822e-05;3.22260837349176e-05;0.000125197132;0.000149347191964285;0.00019632842;0.000252095444768826;0.00019669192;0.000236076172357434;7.828064e-05;0.00016245429565034;0.000207963;0.000371290457274356;0.000919726794;0.00183370388356571;0.00072553534;0.000551288503616009;0.0005038746;0.000740001977027629;5.8375562e-05;5.21066404066432e-05;6.76222e-06;9.34883293796611e-06;4.33295066666667e-05;5.13200572287496e-05
"115";"irrigation_water_consumption_km3";"Luxembourg";"Other";"LUX";0;3.15533e-05;0;5.22812e-06;2.2439e-05;1.86616e-05;6.7647e-05;0;0;0;0;0;1.77138e-06;3.85116e-05;0;3.78833e-05;0;5.42304e-05;0.000139847;0;0;1.2436e-05;0;0;1.72329e-05;3.72648e-05;1.24985e-05;0;1.94353e-06;0;0;5.07633e-06;2.59375e-05;8.47541e-05;3.54587e-06;3.39828e-06;5.25704e-05;0.000127292;9.07558e-05;1.76224e-05;0.000110802;0.000126978;0;1.93579e-05;0;0.000499895;0;1.81357e-05;0.0001963;0;0;0;0;0;0;0;0;0;3.24408570689655e-05;7.56009506292755e-05;0.158433961535185;-0.0503794685098739;-0.0144653110090984;0.234892072808157;0.707240284814833;0.880950350473739;7.0929379156541e-07;0.0251013201677326;0.0251013201677326;1.1844084e-05;1.43617640945421e-05;1.726172e-05;2.93024616575468e-05;8.056596e-06;1.70421347410493e-05;4.639214e-05;5.73849083887741e-05;5.93378e-06;8.30027428715461e-06;1.0341366e-05;1.5921179890488e-05;2.386276e-05;3.55218141403905e-05;5.8327776e-05;5.12712528542738e-05;5.142758e-05;6.23523136241311e-05;0.00014286614;0.000216046253639696;0;0;0;0
