"FID";"domesticGrossDemand_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"domesticGrossDemand_km3";"Lebanon";"MENA";"LBN";0.0871198;0.0871198;0.0873584;0.0896194;0.0932369;0.0971347;0.102922;0.106932;0.109276;0.112318;0.116065;0.122531;0.127908;0.122109;0.129461;0.142054;0.15672;0.161038;0.165845;0.170964;0.177461;0.186609;0.197079;0.203599;0.203644;0.205422;0.207658;0.206625;0.207712;0.207861;0.226898;0.214198;0.219307;0.256491;0.279286;0.314682;0.358232;0.387872;0.414549;0.437926;0.45509;0.4611;0.466244;0.476474;0.494035;0.507039;0.526726;0.532032;0.542342;0.565954;0.606615;0.639194;0.664795;0.664795;0.666616;0.664795;0.664795;0.664795;0.306280672413793;0.199238025737729;0.956369183646509;0.998692299460406;0.986955423881728;0;5.1235950295178e-74;0;0.0112836192685101;0.914642015428686;0.914642015428686;0.08889086;0.00264766760149381;0.10571654;0.0058988092915435;0.1236148;0.005316275876965;0.1593242;0.011022528666327;0.1936784;0.0114266798239909;0.2070556;0.00103639775183083;0.239236;0.0277399993421053;0.3826522;0.0482600750745375;0.4705886;0.0152765120953705;0.5348186;0.0216273910308201;0.648403;0.0259814901516445;0.664795;0
"108";"domesticGrossDemand_km3";"Liberia";"AFR";"LBR";0.00991141;0.00991141;0.00993856;0.0101229;0.0104893;0.0108742;0.0116659;0.0121044;0.0125889;0.0131266;0.0136752;0.0143921;0.0149295;0.0154749;0.0161544;0.0167759;0.0182982;0.0195549;0.0202629;0.0216087;0.0226727;0.0241113;0.0250784;0.0255364;0.0264016;0.026639;0.0273903;0.0277365;0.0274888;0.0281012;0.0287064;0.0263776;0.0213569;0.0203632;0.0175553;0.0156536;0.0146278;0.015037;0.0163275;0.0203099;0.0228126;0.025571;0.0284686;0.0292531;0.0303468;0.0285622;0.0301888;0.0322841;0.0345569;0.037593;0.0402407;0.0418607;0.0442765;0.0442765;0.0443979;0.0442765;0.0442765;0.0442765;0.0239112168965517;0.0104846018868618;0.867120937635147;0.876963597936332;0.774511144448391;0;1.81305029183008e-19;0;0.000538371718600998;0.751898720485254;0.751898720485254;0.010074716;0.000248031120285338;0.012072;0.000863142308660629;0.01492522;0.000956532386801409;0.01930012;0.00185046818994545;0.02476008;0.00142974289891575;0.02747116;0.000540068396594358;0.02287188;0.00456032781135304;0.01639116;0.00228296727593717;0.02729042;0.00306549166888446;0.032637;0.00356966975713441;0.04301046;0.00187911035013913;0.0442765;0
"109";"domesticGrossDemand_km3";"Libya";"MENA";"LBY";0.05465;0.05465;0.0547997;0.0573511;0.0603595;0.0636189;0.0674409;0.071444;0.0756659;0.0797721;0.0845346;0.0901243;0.0957852;0.0895535;0.098002;0.109725;0.119525;0.129509;0.137589;0.149449;0.163931;0.179198;0.194814;0.204985;0.213689;0.224383;0.236012;0.248283;0.268156;0.287169;0.302158;0.312477;0.378037;0.397509;0.409926;0.404602;0.402956;0.395812;0.411798;0.43027;0.423062;0.44377;0.484568;0.448541;0.409289;0.440254;0.49345;0.547173;0.599371;0.653655;0.717482;0.647052;0.659915;0.659915;0.661723;0.659915;0.659915;0.659915;0.311701356896552;0.213017220548997;0.976084988268355;0.993645912440702;0.957820208416584;0;8.02072957821155e-55;0;0.012312690636439;0.95274190432283;0.95274190432283;0.05636206;0.00251301583421196;0.07158836;0.00640965072745777;0.09159992;0.00535694019259129;0.1291594;0.0154383112029781;0.1913234;0.0199775659753635;0.2528006;0.0251336478510383;0.3600214;0.0495706418386932;0.4090876;0.0131339162019559;0.441846;0.028663962522652;0.5467806;0.0842319875836965;0.6692174;0.0276134563809024;0.659915;0
"11";"domesticGrossDemand_km3";"Australia";"Other";"AUS";1.14879;1.14879;1.15193;1.1972;1.25165;1.30886;1.37266;1.55839;1.60764;1.69364;1.75846;1.8471;1.94209;2.00669;2.11104;2.271;2.52671;2.62455;2.71655;2.79769;2.89392;3.04878;3.18439;3.38499;3.51725;3.45513;3.58888;3.55958;3.61302;3.70119;4.00651;4.35513;4.46012;4.56454;4.59668;4.58545;4.66986;4.8934;5.05844;5.23009;5.14514;5.14979;5.29756;5.20343;5.32438;5.64639;6.18337;6.4821;6.67503;6.99224;7.44324;6.91732;6.97853;6.97853;6.99765;6.97853;6.97853;6.97853;3.97860465517241;1.97794813434672;0.991698686442056;0.994876738543069;0.968745914216013;0;1.96341989308428e-57;0;0.116156965455719;0.983466284690897;0.983466284690897;1.179672;0.0451804096926976;1.508238;0.161943557513104;1.933076;0.136979997189371;2.5873;0.203760837257801;3.205866;0.250745358740695;3.58356;0.0891660195926677;4.396596;0.23778173254058;4.887448;0.267032095580288;5.22406;0.083120918847183;6.395826;0.511834838136288;7.063054;0.214677717590811;6.97853;0
"110";"domesticGrossDemand_km3";"Saint Lucia";"LCR";"LCA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"domesticGrossDemand_km3";"Liechtenstein";"Other";"LIE";0.000971451;0.000971451;0.000974112;0.00100939;0.00103496;0.00106773;0.00110437;0.00129582;0.00133691;0.00136964;0.00140937;0.00145709;0.00151811;0.00159666;0.0017083;0.00187326;0.00197907;0.00221586;0.00227154;0.00239874;0.00253589;0.00267836;0.00276101;0.00263922;0.00263993;0.00265554;0.0026137;0.00280422;0.00312514;0.00335479;0.00343601;0.00344456;0.0036953;0.00376191;0.00392362;0.00390157;0.00400905;0.00435228;0.00435015;0.00419949;0.00423722;0.00423578;0.00412166;0.00413862;0.00425738;0.00455276;0.00476634;0.00488976;0.0050016;0.00523835;0.00540886;0.00528354;0.00528599;0.00528599;0.00530047;0.00528599;0.00528599;0.00528599;0.00317772179310345;0.00149034831495862;0.991965256149497;0.991491966761561;0.945680535306108;0;2.76506790067996e-51;0;8.75457086345312e-05;0.983995069407735;0.983995069407735;0.0009922728;2.87754450304422e-05;0.001234894;0.000138974857186471;0.001537906;0.000118248423372153;0.002147694;0.000216076724290239;0.002650882;8.11823956901988e-05;0.002910678;0.000319317262013816;0.00365228;0.0002106033975272;0.004162508;0.000202625638851553;0.004198132;6.29388871843154e-05;0.004889762;0.000256332142970795;0.00531297;5.40210787563521e-05;0.00528599;0
"112";"domesticGrossDemand_km3";"Sri Lanka";"SOA";"LKA";0.0601032;0.0601032;0.0602679;0.0613662;0.0623672;0.0603378;0.0624256;0.0685436;0.0702865;0.0727146;0.0731611;0.0762949;0.0811479;0.0761845;0.0792511;0.0833129;0.0899273;0.0930426;0.092727;0.0977494;0.0878505;0.0948661;0.101332;0.105472;0.109355;0.113195;0.119867;0.12079;0.12475;0.127665;0.130621;0.13183;0.13897;0.1452;0.14996;0.154599;0.161795;0.168279;0.172705;0.178476;0.182022;0.182716;0.186639;0.185125;0.190796;0.19801;0.204798;0.216548;0.227572;0.238666;0.256377;0.261176;0.275895;0.275895;0.276651;0.275895;0.275895;0.275895;0.143197639655172;0.070626815193438;0.970448325472122;0.997769179883631;0.978457652704394;0;1.58168444642549e-67;0;0.00405875333292315;0.941769952411642;0.941769952411642;0.06084154;0.00100277880312659;0.06686162;0.00526912553105352;0.0772079;0.0030804128392149;0.09135184;0.00529934851873322;0.09977512;0.00855785395686325;0.1212534;0.00548656270355129;0.1393162;0.00836180496065294;0.1671708;0.00930876475156613;0.1854596;0.00351157162820296;0.2171188;0.0165138228523864;0.2691988;0.00966924698205603;0.275895;0
"113";"domesticGrossDemand_km3";"Lesotho";"AFR";"LSO";0.0041951;0.0041951;0.0042066;0.00431755;0.00456374;0.00480921;0.00504046;0.00521203;0.00539789;0.00560632;0.00578882;0.0060507;0.00628339;0.00690661;0.00714027;0.0081617;0.00891741;0.0092524;0.00935542;0.0101011;0.0110758;0.0117566;0.0133814;0.0138198;0.0137718;0.0143016;0.0142232;0.0132307;0.0139655;0.0149349;0.0157028;0.0162448;0.0166785;0.0173734;0.0182563;0.0185057;0.0189744;0.02028;0.0203272;0.0209255;0.0206889;0.0207876;0.0207805;0.0204177;0.0202928;0.0232704;0.0246951;0.0251577;0.0255989;0.0261812;0.0262251;0.0265049;0.027661;0.027661;0.0277368;0.027661;0.027661;0.027661;0.0153426606896552;0.0079970414685546;0.993040588215049;0.995430610289134;0.96510401228287;0;8.03309117616868e-59;0;0.000470269668091908;0.986129609842487;0.986129609842487;0.004295618;0.00015851053630595;0.005213182;0.000308910231895934;0.006433958;0.000571847228436057;0.009157606;0.000704950368522494;0.01276108;0.00126257560248882;0.01413118;0.000616804383090782;0.01685116;0.000995410424397896;0.01980256;0.00101635195331145;0.0205935;0.00022531705439225;0.02498066;0.00110242844801828;0.02715776;0.000731072700215238;0.027661;0
"114";"domesticGrossDemand_km3";"Lithuania";"ECA";"LTU";0.465813;0.465813;0.467089;0.477518;0.500665;0.503308;0.522515;0.532731;0.550186;0.555659;0.570014;0.591345;0.608046;0.631211;0.655814;0.714737;0.775885;0.785247;0.81215;0.836917;0.868696;0.914836;0.962197;1.00385;0.982761;0.947229;0.94365;0.954758;0.96388;0.982594;1.02632;1.06054;1.13849;1.13379;1.05208;0.994588;0.969365;1.01554;1.03427;1.08621;1.11753;1.10019;1.10745;1.12831;1.18085;1.28275;1.35849;1.4126;1.47154;1.58659;1.66696;1.53212;1.51329;1.51329;1.51744;1.51329;1.51329;1.51329;0.984268568965517;0.347614833497173;0.97128411670472;0.977275925279224;0.901977712108393;0;2.02785169922847e-39;0;0.0199937937494231;0.943392835362866;0.943392835362866;0.4753796;0.0149641064484319;0.5328798;0.0212152014296353;0.611286;0.0335084596557347;0.7849872;0.0459688208811146;0.946468;0.0545580988992468;0.9584222;0.0155804001617417;1.082244;0.0508159102053678;1.0199946;0.0442067908335359;1.126866;0.0319847945123929;1.422394;0.115169164840247;1.54862;0.0666055849760364;1.51329;0
"115";"domesticGrossDemand_km3";"Luxembourg";"Other";"LUX";0.0081144;0.0081144;0.00813663;0.00827132;0.00850834;0.00878541;0.00921805;0.0093518;0.00956897;0.00968801;0.0099951;0.0104576;0.0109287;0.0112619;0.0121108;0.0133443;0.0141592;0.0144904;0.0148941;0.0154476;0.0165053;0.0173508;0.0178338;0.0169211;0.016423;0.0162713;0.0161487;0.0164747;0.0184355;0.0197374;0.0204584;0.0208902;0.0225446;0.023123;0.0240792;0.0242079;0.0251181;0.0271085;0.0272029;0.0265649;0.0270188;0.0276051;0.0272106;0.0273968;0.0284696;0.0307666;0.0324617;0.0336812;0.034924;0.0369111;0.0383707;0.037363;0.0377483;0.0377483;0.0378517;0.0377483;0.0377483;0.0377483;0.021327909137931;0.0101109796785368;0.984098732798147;0.992353545033217;0.951750371861346;0;1.4069165027763e-52;0;0.000589226852563899;0.968450315894914;0.968450315894914;0.008229018;0.000169278138931168;0.009322448;0.000351631542982139;0.01095082;0.000806145202181344;0.01446712;0.000790527416981853;0.0170068;0.000592016507371205;0.01741352;0.00159927175051647;0.02221908;0.00152060819805761;0.02604046;0.00132060948353402;0.02754018;0.000563261495222246;0.03374892;0.00234179147598585;0.0378164;0.000361711680762455;0.0377483;0
