"FID";"industryNettoDemand_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"198";"industryNettoDemand_km3";"United States";"Other";"USA";20.0084;20.0084;20.0632;20.1915;20.5834;20.8733;21.2692;21.7576;22.3487;22.6939;23.2912;23.8375;25.02;25.5853;26.3069;27.1906;27.7601;28.415;29.334;30.2565;31.3282;32.2904;32.9869;34.0357;34.28;35.077;36.1832;36.9029;37.4289;38.0689;38.8712;39.6511;40.1783;40.4038;40.9264;41.4283;42.0632;42.5411;43.1121;43.8135;44.4526;45.1831;45.9297;46.2192;46.5915;47.0924;47.8753;48.7085;49.4225;50.0166;50.1424;49.6535;50.1373;50.1373;50.2746;50.1373;50.1373;50.1373;36.3899;10.5918671433372;0.992414123010032;0.997523014663158;0.984527489259632;0;2.95510934682212e-66;0;0.622466640007377;0.984885791549769;0.984885791549769;20.17098;0.242380056935384;21.78854;0.74863067196048;24.80818;1.23878900826573;28.59124;1.22560494573088;32.98424;1.22560715688185;36.73218;1.15567991978748;40.00616;0.78243102124085;42.59164;0.921816623846629;45.67522;0.856916726992771;48.62306;1.17158259333262;50.06902;0.23959807386538;50.1373;0
"199";"industryNettoDemand_km3";"Uzbekistan";"ECA";"UZB";2.05196;2.05196;2.05758;2.03822;2.0468;2.07058;2.14169;2.18733;2.19036;2.18993;2.2086;2.26838;2.32437;2.36993;2.42841;2.59416;2.76802;2.82529;2.86092;2.95757;3.02258;3.16197;3.29282;3.35405;3.32604;3.28918;3.28703;3.3221;3.33846;3.33494;3.39573;3.45898;5.13918;5.14954;4.98806;4.95969;4.88994;4.89285;4.92537;4.97571;4.98921;5.16277;5.02544;4.54757;4.33246;4.37871;4.59132;4.80845;5.05647;5.45116;5.80363;6.04019;6.33114;6.33114;6.34848;6.33114;6.33114;6.33114;3.86772137931034;1.44271955036611;0.959410754394757;0.959921277235853;0.865558692776964;0;1.28028204031839e-32;0;0.0819666375465248;0.920468995648314;0.920468995648314;2.049304;0.0072754023943697;2.155978;0.0519970515510255;2.319938;0.0856437316445284;2.801192;0.134689325003877;3.231492;0.138020327741967;3.314342;0.0247245509564885;4.426298;0.914416589536738;4.928712;0.038629549829114;4.81149;0.353511013477657;4.857222;0.416688861466202;6.170916;0.242312157825397;6.33114;0
"2";"industryNettoDemand_km3";"Afghanistan";"SOA";"AFG";0.0579897;0.0579897;0.0581486;0.0574666;0.0570799;0.0593169;0.0607889;0.0632648;0.0657264;0.066772;0.0653918;0.0665073;0.0689996;0.0696072;0.0694354;0.0723431;0.0765994;0.0785143;0.0794418;0.0822868;0.0837393;0.0868855;0.0888964;0.0895212;0.0914531;0.0910874;0.0921122;0.0922253;0.0931074;0.0928291;0.0920005;0.0955184;0.115187;0.113773;0.109632;0.107385;0.105936;0.105961;0.105596;0.105266;0.106919;0.107749;0.105806;0.0936581;0.0960437;0.0988231;0.104173;0.108727;0.113935;0.122079;0.127011;0.130519;0.139893;0.139893;0.140276;0.139893;0.139893;0.139893;0.0939132051724138;0.024883287903643;0.957393053563697;0.961275185948456;0.861916790843821;0;4.97997006524292e-33;0;0.00141074544587651;0.916601459012019;0.916601459012019;0.0577349;0.000447773285268336;0.0631738;0.00316364175516129;0.06798826;0.00191525693785455;0.07783708;0.00369287927327715;0.0880991;0.00293206636606336;0.09227228;0.000780904486477061;0.10522218;0.0107335553411719;0.1060288;0.000809578100000239;0.10203516;0.00664815429596817;0.10954742;0.00895628095707141;0.1355184;0.0062904463911554;0.139893;0
"20";"industryNettoDemand_km3";"Bahrain";"MENA";"BHR";3.14149e-06;3.14149e-06;3.15009e-06;3.22981e-06;3.15132e-06;3.22981e-06;3.31117e-06;3.36778e-06;3.4348e-06;3.48632e-06;3.68336e-06;3.71818e-06;3.79742e-06;3.56419e-06;3.83242e-06;4.34711e-06;3.45949e-06;3.44633e-06;3.75958e-06;3.884e-06;3.97205e-06;4.37194e-06;4.87394e-06;4.99806e-06;4.66207e-06;4.35354e-06;7.29386e-06;6.88334e-06;6.44123e-06;6.36496e-06;6.36481e-06;6.44456e-06;6.77144e-06;6.97241e-06;7.01198e-06;6.90283e-06;6.8966e-06;6.97859e-06;7.16904e-06;7.55747e-06;7.2611e-06;7.44592e-06;7.75529e-06;7.62452e-06;7.61497e-06;7.8285e-06;8.11879e-06;8.62524e-06;8.88792e-06;9.01031e-06;9.16016e-06;8.4605e-06;8.79789e-06;8.79789e-06;8.822e-06;8.79789e-06;8.79789e-06;8.79789e-06;5.931475e-06;2.13096092580957e-06;0.968443850387704;0.97784484646464;0.890716293039826;0;1.00454740980841e-39;0;1.22208257713247e-07;0.937883491353758;0.937883491353758;3.16284e-06;3.77223368841327e-08;3.365976e-06;1.00954882150394e-07;3.719114e-06;1.05179306329715e-07;3.779302e-06;3.69765676300546e-07;4.575612e-06;4.12524625168001e-07;6.267386e-06;1.13309279588214e-06;6.71304e-06;2.97234807769884e-07;7.100906e-06;2.77951963169897e-07;7.54036e-06;1.9088577985277e-07;8.494152e-06;5.05629706079459e-07;8.807688e-06;2.47574662011281e-07;8.79789e-06;0
"200";"industryNettoDemand_km3";"Saint Vincent and the Grenadines";"LCR";"VCT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"201";"industryNettoDemand_km3";"Venezuela, Republica Bolivariana de";"LCR";"VEN";0.249739;0.249739;0.250423;0.250426;0.255277;0.258361;0.243889;0.245258;0.246458;0.246759;0.251038;0.25165;0.255661;0.244474;0.248769;0.262313;0.306655;0.311892;0.322978;0.33597;0.342967;0.359314;0.377625;0.388091;0.3858;0.385554;0.345089;0.345546;0.344675;0.316564;0.339031;0.304777;0.312946;0.320384;0.331084;0.327933;0.323602;0.34922;0.33747;0.359304;0.363911;0.368512;0.386906;0.390907;0.357014;0.343006;0.374095;0.404288;0.43283;0.45928;0.503153;0.507497;0.533737;0.533737;0.535199;0.533737;0.533737;0.533737;0.349654965517241;0.0890741145622645;0.881557981273038;0.872901871798521;0.717454680829153;0;4.25548592068948e-19;2.22044604925031e-15;0.00465000067673563;0.777144474346191;0.777144474346191;0.2511208;0.0023485321373147;0.248145;0.00582198260904308;0.2503184;0.00410463181052821;0.3079616;0.0278877780990168;0.3707594;0.0192168880753362;0.3474856;0.0246107376829708;0.3216444;0.0137218790732173;0.3395058;0.0148099581430874;0.37345;0.0147591433186347;0.4026998;0.0460794279066049;0.5226646;0.0159143480168055;0.533737;0
"202";"industryNettoDemand_km3";"U.S. Virgin Islands (U.S.)";"Other";"VIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"203";"industryNettoDemand_km3";"Vietnam";"EAP";"VNM";1.03336;1.03336;1.03619;1.04779;1.06163;1.09284;1.13251;1.14584;1.08011;1.1037;1.11143;1.13529;1.15274;1.07231;1.06705;1.10514;1.15556;1.17337;1.15493;1.20178;1.24091;1.27488;1.33989;1.35347;1.36028;1.37536;1.37033;1.31689;1.57915;1.73479;1.54478;1.01065;1.01437;1.13653;1.14041;1.24154;1.38149;1.48406;1.56215;1.60075;1.60502;1.62527;1.66338;1.6871;1.72478;1.78909;1.86719;1.9556;2.04085;2.13982;2.30617;2.35192;2.40965;2.40965;2.41626;2.40965;2.40965;2.40965;1.48931568965517;0.457479000128189;0.880054086504499;0.886994830670621;0.798790490669344;0;1.92447221819885e-20;0;0.0238413666984525;0.774495195173264;0.774495195173264;1.042466;0.0122559222419204;1.111;0.0274489225653759;1.107764;0.0377775618588601;1.158156;0.0352220162682377;1.313886;0.0530152546914565;1.475304;0.17622451242662;1.169348;0.219127161301378;1.453998;0.145372401335329;1.66111;0.0478672528979887;1.95851;0.13847756009549;2.37873;0.048229460395074;2.40965;0
"204";"industryNettoDemand_km3";"Vanuatu";"EAP";"VUT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"205";"industryNettoDemand_km3";"West Bank and Gaza";"MENA";"PSE";0.00636795;0.00636795;0.0063854;0.0056475;0.00627701;0.00637897;0.00656599;0.00669778;0.00673488;0.00669758;0.0067242;0.00692681;0.00711213;0.00705631;0.00733459;0.00784831;0.00839905;0.00851231;0.00859887;0.00887163;0.00901865;0.00950033;0.00994013;0.0101141;0.0100853;0.0100662;0.0100068;0.010007;0.0102156;0.0103614;0.010669;0.0107759;0.0110331;0.0110777;0.0112276;0.0112933;0.0109238;0.0114888;0.0115475;0.0117025;0.0117855;0.011836;0.0118023;0.0162044;0.0152954;0.0155718;0.0160069;0.0163477;0.0151223;0.0159913;0.0145344;0.0161434;0.0162599;0.0162599;0.0163044;0.0162599;0.0162599;0.0162599;0.0108069867241379;0.00351663278996507;0.970307809248766;0.988599525420999;0.931112927573536;0;9.6356439884787e-48;0;0.000202063172967484;0.941497244689136;0.941497244689136;0.006209162;0.00031684169701919;0.00661504;0.000146761142847826;0.007030808;0.00022603715008821;0.008446034;0.000376949858310094;0.009731702;0.000468155466773593;0.0101314;0.000154305865086198;0.01095666;0.000228760077373654;0.01139118;0.000299545617560999;0.01338472;0.0021829672849129;0.015808;0.000471807990606348;0.0159004;0.000765947370907428;0.0162599;0
"206";"industryNettoDemand_km3";"Samoa";"EAP";"WSM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"207";"industryNettoDemand_km3";"Yemen, Republic of";"MENA";"YEM";0.0159118;0.0159118;0.0159554;0.0159591;0.0162027;0.0168664;0.016149;0.0167908;0.0170999;0.0168565;0.0169504;0.0173761;0.0174722;0.0161134;0.016263;0.0173249;0.0181564;0.018631;0.0189747;0.0197942;0.0205811;0.0210556;0.0214815;0.0212744;0.0213595;0.021046;0.0210663;0.0213455;0.0212831;0.0218119;0.0216485;0.0212359;0.0229573;0.023124;0.0236151;0.0221556;0.020144;0.0206522;0.0223637;0.0234436;0.0226278;0.0235605;0.0250675;0.02494;0.0250457;0.0256639;0.0273036;0.0286887;0.029614;0.0305419;0.0323454;0.0318708;0.0318717;0.0318717;0.031959;0.0318717;0.0318717;0.0318717;0.0222929620689655;0.00524667800919975;0.946305796023447;0.96632157296816;0.874056463954297;0;1.06766202069216e-34;0;0.000294012999477065;0.895494659587567;0.895494659587567;0.01598816;0.000122072531717827;0.01675252;0.000357125715960081;0.01683502;0.000624503956752877;0.01857624;0.000920232716762451;0.02115042;0.000354194702106059;0.02131056;0.000309423492967163;0.02251616;0.00102025029184019;0.02175182;0.00134106341087959;0.0242483;0.00110504223674935;0.02836242;0.00192523727031242;0.03198372;0.000205713020978256;0.0318717;0
"208";"industryNettoDemand_km3";"South Africa";"AFR";"ZAF";0.283285;0.283285;0.284061;0.285731;0.289081;0.296497;0.303428;0.310012;0.316301;0.32504;0.331292;0.341819;0.350108;0.396896;0.399693;0.438214;0.466859;0.46911;0.460645;0.472521;0.490261;0.519394;0.576887;0.587255;0.569718;0.577762;0.57274;0.528635;0.552185;0.594215;0.607767;0.619219;0.595373;0.604204;0.613546;0.610435;0.614435;0.631253;0.617827;0.620613;0.596854;0.591072;0.586118;0.563011;0.55016;0.621619;0.671589;0.694531;0.704633;0.723399;0.712946;0.714971;0.767583;0.767583;0.769686;0.767583;0.767583;0.767583;0.537001827586207;0.153144651444901;0.958408604308988;0.952105531485824;0.863130758154869;0;1.69252637978939e-30;0;0.00869166858408434;0.918547052813501;0.918547052813501;0.2850886;0.00244508911903021;0.3102556;0.0110803867396405;0.3639616;0.0320582570533708;0.4614698;0.0137027158147573;0.548703;0.0418231683101603;0.5651074;0.0253124092353928;0.6080218;0.00909019712107497;0.6189126;0.00787835584370242;0.577443;0.0199401410476456;0.6831542;0.0391495499488819;0.7465538;0.0297762936696292;0.767583;0
