"FID";"industry_water_withdrawal_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"29";"industry_water_withdrawal_km3";"Brunei";"Other";"BRN";0.00921112;0.00921115;0.0092377;0.00914139;0.00919256;0.00927627;0.00938873;0.0095838;0.00968632;0.00970341;0.00974701;0.00998412;0.0100769;0.0110935;0.0116153;0.013095;0.0139201;0.0137467;0.0144164;0.0151266;0.0159374;0.0171966;0.0178651;0.0178769;0.0181264;0.0186827;0.0192345;0.0185964;0.0177867;0.0183394;0.0187414;0.019193;0.0198355;0.0204287;0.0215063;0.0222112;0.0228265;0.0240171;0.0248105;0.024685;0.0221518;0.0225903;0.0237084;0.0235063;0.0239449;0.0244893;0.0252878;0.0259975;0.0268972;0.0283107;0.0297441;0.0283225;0.030018;0.0300179;0.0301072;0.030018;0.030018;0.030018;0.018956884137931;0.00707165528933198;0.987915457740706;0.990124304109346;0.941213676938493;0;1.7644491391817e-49;0;0.000413705680273151;0.975976951643027;0.975976951643027;0.009198784;3.58899683755783e-05;0.009527706;0.000188222756408464;0.010503366;0.00080749913540511;0.01406096;0.000760527088932406;0.01740048;0.000887690507440515;0.01852794;0.000527458181280754;0.01994098;0.00108370773135565;0.02371006;0.00114923989358184;0.02318034;0.000770663839167248;0.0261965;0.00147823295356314;0.02964194;0.000750098742166656;0.030018;0
"3";"industry_water_withdrawal_km3";"Angola";"AFR";"AGO";0.0289484;0.0293755;0.0294677;0.0291785;0.0294276;0.0301361;0.0302495;0.03105;0.0311982;0.0309748;0.0313036;0.0322498;0.0328746;0.0323844;0.0333109;0.0357382;0.0382312;0.039009;0.0385797;0.0398565;0.0409534;0.0426476;0.0442196;0.0447161;0.0443469;0.0436654;0.042831;0.0428473;0.0427073;0.0431367;0.043894;0.0463493;0.0479334;0.0498937;0.0398293;0.0386958;0.0351354;0.0369759;0.0408917;0.0413662;0.038975;0.0381131;0.0423017;0.0417893;0.0445502;0.0467927;0.050646;0.0575277;0.0647969;0.0696172;0.0767015;0.0725385;0.0754378;0.0743277;0.0734595;0.0735321;0.0737397;0.0739564;0.0447479862068966;0.0143558899144793;0.847861848553701;0.861330708419207;0.730187537810042;0;0;6.66133814775094e-16;0.00072078515488018;0.718869714232897;0.718869714232897;0.02927954;0.000215868624399194;0.03072172;0.000491119371436314;0.03242466;0.000754460030750468;0.03828292;0.00154674653612025;0.04337672;0.00156921401567791;0.04303754;0.00038469123072927;0.04557994;0.00389395262593165;0.038613;0.0026245589124651;0.04114586;0.0026100660112342;0.0578761;0.00949984718271826;0.074493;0.0016344445447919;0.0737427333333333;0.000212166263419361
"30";"industry_water_withdrawal_km3";"Bhutan";"SOA";"BTN";0.00743775;0.0074344;0.00748117;0.00724835;0.00740274;0.00757954;0.00849026;0.00816467;0.00762209;0.00922902;0.00931438;0.00952968;0.00960061;0.0101624;0.0104706;0.0110019;0.0115057;0.0116248;0.0114974;0.0119525;0.0123714;0.0126686;0.0131926;0.0132503;0.0133165;0.0135815;0.0134773;0.0137021;0.013966;0.0144509;0.0147351;0.0146303;0.0154788;0.0141656;0.0138522;0.0141252;0.0147212;0.015166;0.0154552;0.0157473;0.0157745;0.0161184;0.0162069;0.0163074;0.0165856;0.0173863;0.0176224;0.0181444;0.0186585;0.0197941;0.0196871;0.0202206;0.0212372;0.0212239;0.0212887;0.0212243;0.0212162;0.0212275;0.0139091044827586;0.00425094041212479;0.985814502535292;0.99255590759482;0.947973381730188;0;0;0;0.000248159462917959;0.971830233408904;0.971830233408904;0.007400882;8.97194681772022e-05;0.008217116;0.000682251242087546;0.009815534;0.00048179032086583;0.01151646;0.000341730702454432;0.01295988;0.000417382602656124;0.01383556;0.000389347592775401;0.0145724;0.000619588359316086;0.01504298;0.00063776727887216;0.01619856;0.000294944135388381;0.01832114;0.000958752232331169;0.0207315;0.000734923849796699;0.0212226666666667;5.82437407223543e-06
"31";"industry_water_withdrawal_km3";"Botswana";"AFR";"BWA";0.00239643;0.00239631;0.00240288;0.00244247;0.00247955;0.00251235;0.00256228;0.00261583;0.00268951;0.00277192;0.00284909;0.00295837;0.00311485;0.00335546;0.00358693;0.0039866;0.00422187;0.00377002;0.00379013;0.00397059;0.00426157;0.00465851;0.00497496;0.00551016;0.00536133;0.00551896;0.00555465;0.00533183;0.00565651;0.00621395;0.00673047;0.00700535;0.00739146;0.00742798;0.00749873;0.00743494;0.00746708;0.00761605;0.0075736;0.00771844;0.00769065;0.00793231;0.00779808;0.00795287;0.00796313;0.00863647;0.00921414;0.00924207;0.00950701;0.00975144;0.00998673;0.00946791;0.0101894;0.0101755;0.0101743;0.0100979;0.0101554;0.0100855;0.00610001344827586;0.00268858687307125;0.990317446449323;0.995508935986958;0.958862673926195;0;0;0;0.000157670020609676;0.980728644741905;0.980728644741905;0.002423528;3.67380078392936e-05;0.002630378;0.000102847364915199;0.00317294;0.000299580884737328;0.003947842;0.000182759909088399;0.004953306;0.000510500301890214;0.00565518;0.000333707609143094;0.007210798;0.000330013440741434;0.007562022;0.000114764414868024;0.007867408;0.000119088713235134;0.009270226;0.00041629876402651;0.009998768;0.000308359113648357;0.0101129333333333;3.72961570853261e-05
"32";"industry_water_withdrawal_km3";"Central African Republic";"AFR";"CAF";0.00453542;0.00453542;0.00454849;0.00444642;0.00460167;0.00516677;0.00430554;0.00464035;0.00474438;0.00440496;0.00456829;0.00479985;0.00472649;0.00476314;0.00487821;0.00518654;0.00540736;0.00554904;0.00548789;0.00580403;0.00612297;0.00609787;0.00604439;0.00574098;0.00582723;0.00546249;0.00501722;0.0050078;0.00521048;0.00514328;0.00528462;0.00526608;0.00530535;0.00518707;0.00502423;0.00535985;0.00449187;0.00453996;0.00449979;0.00448165;0.00449069;0.00421611;0.00394131;0.00398581;0.0041254;0.00402336;0.00415454;0.00421381;0.00439355;0.0045648;0.00474643;0.00467578;0.00480636;0.00480636;0.00482066;0.00480636;0.00480636;0.00480636;0.004872405;0.000537435331731976;-0.233172996573123;-0.178346702232947;-0.0934754829506679;0.0781528577310567;0.180424953936525;0.301397717287064;-7.42087452705379e-06;0.0543696463308872;0.0543696463308872;0.004533484;5.58169932009956e-05;0.0046524;0.000337164808736025;0.004747196;0.000114703332907113;0.005486972;0.000224152019776758;0.005966688;0.000171801496268222;0.005168254;0.000185430792157074;0.00521347;0.000114870368894681;0.004674624;0.000383690624305573;0.004151864;0.000218825197315117;0.004270012;0.000211832043775251;0.004771118;6.04922277652261e-05;0.00480636;0
"33";"industry_water_withdrawal_km3";"Canada";"Other";"CAN";14.7793;14.7797;14.8237;14.7051;14.7801;15.0002;15.3628;15.7723;16.2514;16.536;16.9355;17.392;17.8995;18.4947;19.195;20.0061;21.1367;21.5281;22.6112;22.7396;22.9325;23.6252;24.3831;25.1148;25.1483;25.7007;25.9932;26.1483;26.3882;27.3796;28.702;29.5085;29.7711;29.8628;29.4982;29.1914;29.1579;29.4903;29.7568;30.0307;29.6718;30.2417;31.0227;30.8039;30.9455;32.4511;33.6958;34.9739;36.11;37.1865;37.6571;36.1709;37.8325;37.8037;37.9475;37.7931;37.8182;37.853;26.3188189655172;7.62323242377057;0.990099694311117;0.993355686117691;0.955232909860859;0;0;0;0.446960051062778;0.980297404674965;0.980297404674965;14.77358;0.042761571533329;15.78454;0.627665132056896;17.98334;0.892228924099639;21.60434;1.12710393620109;24.24078;0.961547423167468;26.322;0.641715478230033;29.46852;0.457450431194462;29.52542;0.373067791426705;30.53712;0.572229282718037;34.88346;1.88039121275335;37.48234;0.740384027380384;37.8214333333333;0.0300806139121747
"34";"industry_water_withdrawal_km3";"Switzerland";"Other";"CHE";0.3749;0.37488;0.375957;0.387682;0.397933;0.408695;0.419609;0.426857;0.435614;0.444464;0.453203;0.464535;0.479115;0.503775;0.534497;0.583051;0.60581;0.631736;0.642564;0.659652;0.723683;0.753948;0.769883;0.745653;0.746737;0.745766;0.735691;0.739836;0.823379;0.878917;0.899727;0.890585;0.956051;0.958314;0.971553;0.956897;0.981257;1.02534;1.01655;0.976784;0.984842;0.97985;0.955621;0.960113;0.982479;1.03085;1.06513;1.07171;1.08671;1.12014;1.16287;1.14544;1.15887;1.15887;1.16231;1.15886;1.15888;1.15888;0.800060431034483;0.26800851293105;0.983714307399035;0.985941922454922;0.923123655808599;0;3.28723381913074e-45;0;0.0156123470731181;0.967693838581563;0.967693838581563;0.3822704;0.0102883706338759;0.4270478;0.0138645340960308;0.487025;0.0325823923615194;0.6245626;0.0303382885278653;0.7479808;0.0166782989000677;0.7847178;0.0638424300109261;0.935246;0.0372135162944863;0.9913656;0.0286853843324436;0.972581;0.0136403217520702;1.074908;0.0325275455575732;1.157672;0.00708911983253211;1.15887333333333;1.154700538374e-05
"35";"industry_water_withdrawal_km3";"Chile";"LCR";"CHL";0.33195;0.334607;0.330579;0.34157;0.3519;0.347528;0.359433;0.358178;0.382128;0.373563;0.363565;0.381817;0.391358;0.461297;0.468172;0.52344;0.507529;0.402313;0.437936;0.477103;0.500464;0.546145;0.591841;0.62401;0.564982;0.530969;0.524746;0.498451;0.503519;0.529987;0.555521;0.570535;0.585376;0.605639;0.656448;0.667544;0.687717;0.73306;0.747489;0.761646;0.765978;0.732831;0.750162;0.73233;0.722668;0.742615;0.792147;0.848685;0.900178;0.920201;0.927016;0.910883;0.986792;0.980401;0.981553;0.984495;0.980003;0.96751;0.612732810344828;0.209750611299986;0.970915747419218;0.97539143006552;0.88021778584392;0;0;0;0.0120596693531021;0.942677388586616;0.942677388586616;0.3381212;0.00879015987909206;0.364166;0.0136566607375302;0.4132418;0.0481166092290386;0.4696642;0.0498090812673753;0.5654884;0.0466953781256775;0.5175344;0.0153961885802948;0.5947038;0.0391738286193729;0.7194912;0.0401656808569206;0.7407938;0.017216226508733;0.8407652;0.0739929751544023;0.957329;0.035578422583077;0.977336;0.0088009785251414
"36";"industry_water_withdrawal_km3";"China";"EAP";"CHN";8.63143;8.62572;8.65901;8.10548;7.90454;8.038;8.4025;8.84467;8.98557;8.80903;8.65604;8.90589;9.25617;10.6808;11.037;11.6602;11.7402;12.1682;11.8952;12.3445;11.7992;12.4133;12.6513;12.6787;12.8081;13.2691;13.7416;14.4662;14.326;13.886;14.4472;14.8487;14.9916;15.2273;15.6851;15.8984;17.0421;18.4578;19.3524;19.9313;20.2443;20.5945;21.1737;21.8423;22.4353;23.4023;24.7986;25.8289;27.168;29.4406;31.9749;32.9106;34.7178;34.7328;34.6934;34.732;34.3217;34.2368;17.2503456896552;8.55178883053912;0.937258131505757;0.993232643268018;0.9491833030853;0;0;0;0.474642699867723;0.878452805073657;0.878452805073657;8.385236;0.354516680467929;8.615954;0.389165380693093;9.70718;1.08013056162207;11.96166;0.288775359059599;12.47012;0.40122451570162;13.93778;0.479125027524132;15.03998;0.458689815670677;18.1364;1.65904765302266;21.25802;0.894758096917822;26.12768;2.30982271549139;33.8059;1.28768052714949;34.4301666666667;0.264819794073881
"37";"industry_water_withdrawal_km3";"Cote d'Ivoire";"AFR";"CIV";0.0606484;0.0606484;0.0608232;0.0623969;0.0625197;0.0651324;0.068469;0.0671537;0.0688044;0.0692452;0.0721851;0.0729576;0.0736599;0.0812857;0.084233;0.0912285;0.0955799;0.101394;0.105889;0.11425;0.121093;0.125039;0.126576;0.117973;0.11245;0.107397;0.105557;0.105172;0.112975;0.115163;0.114477;0.111403;0.113421;0.111231;0.112237;0.11063;0.100743;0.108877;0.111315;0.109462;0.111758;0.110524;0.103638;0.0993264;0.10146;0.106342;0.110635;0.112001;0.113601;0.117799;0.12331;0.121997;0.120884;0.120884;0.121244;0.120884;0.120884;0.120884;0.100857765517241;0.0207089838712367;0.805704075951096;0.726741272142466;0.571778603503436;2.39808173319034e-14;1.05804968319303e-10;2.5914403956051e-10;0.000988063760804696;0.649159058004213;0.649159058004213;0.06140732;0.000963038569840273;0.06776094;0.00166366676591198;0.07686426;0.00550617640772615;0.10166828;0.0089756164477433;0.1206262;0.0056784800519153;0.1092528;0.00454260654250399;0.1125538;0.00138069156584662;0.1082054;0.00427977222524751;0.10534128;0.00552673413436905;0.1120756;0.00418447174682779;0.1216638;0.00102632899208782;0.120884;0
