"FID";"non_irrigation_consumption_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"non_irrigation_consumption_km3";"Lebanon";"MENA";"LBN";0.0874018;0.0982749;0.0951467;0.100171;0.102756;0.104914;0.111462;0.113536;0.114803;0.11661;0.120244;0.125633;0.131152;0.123117;0.127692;0.138517;0.152036;0.156652;0.160559;0.165328;0.17142;0.179802;0.189458;0.194739;0.194225;0.194809;0.195802;0.195629;0.196548;0.196526;0.214658;0.200649;0.201126;0.184565;0.184741;0.214453;0.24198;0.239985;0.246729;0.245856;0.245589;0.189342;0.242279;0.249659;0.269506;0.273882;0.288148;0.292956;0.274958;0.262342;0.246452;0.311629;0.300488;0.335525;0.348926;0.336741;0.248785;0.287223;0.198864403448276;0.0697179299998566;0.961426057533231;0.967086037712634;0.888687235329704;0;0;0;0.00396927321049552;0.924340064103892;0.924340064103892;0.09675008;0.0059173476133315;0.112265;0.00451713183336507;0.1255676;0.00418476502327191;0.1546184;0.0102475077604264;0.1859288;0.0100864360256733;0.1958628;0.000720795879566467;0.1971478;0.0127175776270483;0.2378006;0.0133412444059765;0.239275;0.0298493547585203;0.2784572;0.0122168258234289;0.308604;0.0396500161097067;0.290916333333333;0.0440941608076776
"108";"non_irrigation_consumption_km3";"Liberia";"AFR";"LBR";0.0101858;0.0101858;0.0102166;0.0104003;0.0107666;0.0111592;0.0119667;0.0123941;0.0128834;0.0134231;0.01399;0.0147034;0.0152427;0.0158148;0.0165168;0.0171594;0.0187083;0.0199868;0.0207261;0.0220908;0.0231771;0.0246347;0.0256348;0.0260494;0.0269062;0.0271398;0.0279096;0.0282518;0.0279126;0.0285324;0.0291549;0.0268035;0.0217963;0.0207997;0.0180099;0.0160949;0.0150389;0.0154751;0.0167809;0.0207406;0.0232446;0.0259928;0.0288753;0.0296269;0.0307272;0.0289646;0.0306201;0.0326922;0.0349647;0.0380217;0.0407002;0.0422949;0.0447053;0.0447053;0.0448449;0.0447053;0.0447053;0.0447053;0.0243182827586207;0.0105248988220521;0.867575878774334;0.875855854444202;0.773297177137344;0;2.29482349897687e-19;0;0.000540724463994581;0.752687905431057;0.752687905431057;0.01035102;0.000248897211716001;0.0123653;0.00086627897642734;0.01525354;0.000975979440357224;0.01973428;0.00188966278393792;0.02528044;0.00143186813045057;0.02794924;0.000521949487977525;0.02331286;0.00455662460468273;0.01682608;0.00228469317239755;0.02769336;0.00304233110015988;0.03305266;0.00357444994411728;0.04345012;0.00187035813201643;0.0447053;0
"109";"non_irrigation_consumption_km3";"Libya";"MENA";"LBY";0.0565306;0.05653;0.0566831;0.058506;0.0607269;0.0630794;0.0659487;0.0685174;0.0710027;0.0726076;0.0759533;0.0796009;0.0831831;0.0764046;0.0822596;0.0906553;0.0972059;0.103983;0.108994;0.116356;0.1258;0.13576;0.145167;0.15099;0.155879;0.153775;0.159896;0.167022;0.178927;0.18187;0.191136;0.197003;0.223096;0.22141;0.227862;0.223797;0.222157;0.223132;0.225259;0.219788;0.224106;0.225906;0.23885;0.226915;0.21903;0.220502;0.240223;0.269756;0.298199;0.311694;0.326475;0.309991;0.312069;0.312073;0.31297;0.312071;0.312073;0.312084;0.176886915517241;0.0878898046929657;0.983265659236449;0.982819877994343;0.92708022398009;0;8.66634427156305e-43;0;0.00511752521763199;0.966811356633686;0.966811356633686;0.05779532;0.00183962034588662;0.06823116;0.00382971438660901;0.0794803;0.00329201458760437;0.10343884;0.0100034665388054;0.1427192;0.0120651148647661;0.168298;0.01204485506347;0.2121014;0.0167588592630883;0.2228266;0.00203917686824855;0.2269614;0.00730608046766527;0.2680748;0.0382486030163194;0.3147156;0.00666408806964614;0.312076;6.99999999999114e-06
"11";"non_irrigation_consumption_km3";"Australia";"Other";"AUS";1.32054;1.32084;1.32619;1.37203;1.43851;1.4669;1.53902;1.67547;1.67844;1.71435;1.75865;1.82575;1.8503;1.87121;1.89317;1.91844;2.12842;2.22426;2.29855;2.30557;2.34626;2.41481;2.49771;2.57534;2.64196;2.59755;2.68869;2.65521;2.99331;3.0657;3.23432;3.10856;3.50591;3.53911;3.51372;3.47784;3.49272;3.65837;3.78996;3.83983;3.78637;3.79901;3.8721;3.77191;3.74688;3.95808;3.69433;3.83332;3.88939;3.95122;4.22067;3.97116;3.96992;3.97348;3.98007;3.96274;3.94028;3.95911;2.8766125862069;0.958164137417773;0.97649680420243;0.987080500784398;0.926194797338173;0;0;0;0.0554065818696356;0.953546008617559;0.953546008617559;1.355622;0.0511038645309726;1.614836;0.106369771222843;1.839816;0.0517878333201921;2.175048;0.160259472013357;2.495216;0.118967318747629;2.800092;0.213486104044268;3.380324;0.196183695627338;3.651744;0.165872800452636;3.795254;0.047125701374091;3.865268;0.108194453508486;4.02306;0.11053675655636;3.95404333333333;0.0120567920000858
"110";"non_irrigation_consumption_km3";"Saint Lucia";"LCR";"LCA";5.4628e-09;5.4628e-09;5.4767e-09;6.69243e-09;7.1684e-09;6.39605e-09;6.15246e-09;6.1688e-09;8.08536e-09;1.13774e-08;9.91739e-09;1.09284e-08;1.30622e-08;1.41399e-08;1.53121e-08;1.40615e-08;1.30401e-08;1.20084e-08;7.1197e-09;9.52581e-09;9.51569e-09;9.66732e-09;9.84585e-09;1.24598e-08;1.24863e-08;1.24299e-08;1.24807e-08;1.29024e-08;1.35487e-08;1.40808e-08;1.45943e-08;1.49891e-08;1.54311e-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.06880448275862e-09;5.86992841319007e-09;-0.640067251557205;-0.625116426855269;-0.338474335464718;6.30662448134368e-08;1.55887435272773e-07;0.000394650941529718;-2.22489250361434e-10;0.409686086515987;0.409686086515987;6.052626e-09;8.18807204951202e-10;7.636014e-09;2.24115155348316e-09;1.2671998e-08;2.23075837284543e-09;1.1151102e-08;2.81369268018382e-09;1.0794992e-08;1.53632977503855e-09;1.30885e-08;7.13135916217939e-10;9.0029e-09;8.22381475441902e-09;0;0;0;0;0;0;0;0;0;0
"111";"non_irrigation_consumption_km3";"Liechtenstein";"Other";"LIE";0.00216318;0.00216252;0.00216917;0.00224169;0.00223049;0.00234892;0.00242678;0.00265185;0.00272733;0.00278597;0.00285922;0.00294824;0.0030646;0.00321625;0.00342207;0.00376006;0.00396799;0.00428379;0.0040911;0.00463796;0.00490627;0.00518487;0.00534824;0.00511337;0.00511506;0.00514465;0.00506223;0.00501372;0.00568384;0.00626187;0.00644109;0.00644533;0.0064967;0.00608001;0.00554365;0.00710441;0.0070938;0.00790012;0.00608284;0.00621697;0.00597365;0.00767315;0.00745987;0.0074667;0.00760051;0.00595233;0.00558838;0.00650313;0.00747313;0.00610088;0.00556779;0.00617653;0.00617619;0.00515669;0.0070522;0.00637084;0.00545358;0.00571822;0.00506658603448276;0.00171896749534187;0.848064985166473;0.826140453412901;0.67816091954023;0;0;5.48450174164827e-14;8.6327152788458e-05;0.719214219065412;0.719214219065412;0.00219341;3.92476349605936e-05;0.00258817;0.000190940293416555;0.003102076;0.000223316403629469;0.00414818;0.00033340599027312;0.005133562;0.000159005384091231;0.005433262;0.000535340469486476;0.006201356;0.000403585745511409;0.006879628;0.000743603936427182;0.007234776;0.00071077914310987;0.00632357;0.000721395227493223;0.00602588;0.000718324259161557;0.00584754666666667;0.000472107526876381
"112";"non_irrigation_consumption_km3";"Sri Lanka";"SOA";"LKA";0.147656;0.147769;0.148333;0.149603;0.14956;0.143151;0.145312;0.157611;0.159045;0.162252;0.160434;0.165444;0.173829;0.16093;0.165884;0.172389;0.183851;0.18894;0.186344;0.194786;0.173169;0.185524;0.195788;0.201839;0.207465;0.21306;0.22678;0.226783;0.232571;0.2361;0.240249;0.240628;0.252032;0.261657;0.268512;0.275405;0.287058;0.298849;0.305699;0.315079;0.320331;0.320995;0.326812;0.322892;0.331097;0.342723;0.353118;0.372668;0.390158;0.407293;0.435812;0.4421;0.465193;0.465201;0.465991;0.464866;0.464413;0.465249;0.263177275862069;0.105426661402698;0.96065965816328;0.994032421790889;0.957652752571083;0;0;0;0.00599750512165855;0.922866978822385;0.922866978822385;0.1485842;0.000945958085752217;0.1534742;0.00863693618709783;0.1653042;0.00538238796446336;0.185262;0.00826302054336064;0.192757;0.0136381906974496;0.2270588;0.00877849421598033;0.2526156;0.0125640199100447;0.296418;0.0155678788857057;0.3244254;0.00450247646301455;0.373192;0.0263738666581144;0.4548594;0.0146905601765215;0.464842666666667;0.000418488151962913
"113";"non_irrigation_consumption_km3";"Lesotho";"AFR";"LSO";0.00778768;0.0077885;0.00781219;0.0079301;0.00833883;0.00869686;0.0090151;0.00920078;0.00938078;0.00961617;0.00980685;0.0101096;0.0103624;0.0110842;0.0113504;0.0128744;0.0139205;0.0140623;0.0141125;0.0151436;0.0165942;0.0173383;0.0193223;0.019869;0.0196082;0.0201312;0.0197563;0.018079;0.019074;0.0201447;0.0211017;0.0216566;0.0223235;0.0231593;0.0240155;0.0243024;0.02484;0.0262488;0.0262596;0.0268936;0.0264979;0.0264864;0.0263408;0.025803;0.0255631;0.0291748;0.0307076;0.031027;0.0315415;0.0320471;0.0321235;0.0323566;0.0334365;0.0334365;0.0335416;0.0332993;0.0332644;0.0334311;0.0205032868965517;0.00870762663592804;0.991764046207731;0.99217127839842;0.948865398956123;0;2.71451845184698e-52;0;0.000511397710787777;0.983595923350329;0.983595923350329;0.00793146;0.000235206159251836;0.009181938;0.000350566033751132;0.01054269;0.000653291753736414;0.01402266;0.000805463644741338;0.0185464;0.0014789608902875;0.01943704;0.000874734018430745;0.02245132;0.00116375327367961;0.02570888;0.00108760126517028;0.02613824;0.000428594543829014;0.0308996;0.00109050695321029;0.03297894;0.000680880542386108;0.0333316;8.79186555857172e-05
"114";"non_irrigation_consumption_km3";"Lithuania";"ECA";"LTU";1.68487;1.68486;1.6894;1.68813;1.63886;1.64671;1.66006;1.69617;1.73831;1.7359;1.77692;1.83716;1.8809;1.92505;2.00216;2.13499;2.24097;2.27591;2.30829;2.34742;2.43258;2.55947;2.6503;2.74078;2.67933;2.57799;2.56299;2.59829;2.59639;2.62057;2.69562;2.73474;2.91422;2.89368;2.63087;2.53172;2.51672;2.65087;2.69569;2.8358;2.8133;2.83903;2.81762;2.83006;2.98122;3.26419;3.44916;3.54036;3.70334;3.8405;4.00647;3.79581;3.80258;3.80258;3.81307;3.80257;3.79319;3.7143;2.64346568965517;0.711115275556796;0.957657801725191;0.958457019046877;0.848411536566636;0;3.42926919140663e-32;0;0.0403274702390103;0.917108465205123;0.917108465205123;1.677224;0.0215392787715838;1.69543;0.0421359057099762;1.884438;0.0856090691457394;2.261516;0.0809405002455507;2.612492;0.119931474476052;2.591246;0.0218523380900076;2.773826;0.124655293028415;2.64616;0.130661740574661;2.856246;0.0705990876711591;3.55951;0.223271245573629;3.844102;0.0909761269234958;3.77002;0.0484823153325002
"115";"non_irrigation_consumption_km3";"Luxembourg";"Other";"LUX";0.0566803;0.0565513;0.0568346;0.0573948;0.0584993;0.0599721;0.0624726;0.0635691;0.063003;0.0638491;0.0654925;0.0609217;0.050572;0.0523704;0.0575395;0.0623584;0.0467279;0.0538298;0.0434;0.0473332;0.0522831;0.0461072;0.0392155;0.0536757;0.0517901;0.0502291;0.0492318;0.0509208;0.0622598;0.0475081;0.0732512;0.0744838;0.0576666;0.0602591;0.0647792;0.0641294;0.0682116;0.0758729;0.074707;0.0738545;0.0751652;0.0766781;0.0734859;0.0727808;0.0764829;0.0801969;0.0826356;0.0725598;0.0603607;0.055447;0.060852;0.0552693;0.0553859;0.0553858;0.0555755;0.0553858;0.0553857;0.0553856;0.0604177;0.00999380908181959;0.302047015805098;0.21455926913961;0.154916799829571;0.0212027097209517;0.10580024365735;0.0859274704213913;0.000178754184994923;0.0912323997567647;0.0912323997567647;0.05719206;0.000798471861119725;0.06257318;0.00154760356907058;0.05737922;0.00612018562847566;0.05072986;0.00751851716018525;0.04861432;0.00599555170288773;0.05202992;0.00586088466675467;0.06608798;0.00755661800159304;0.07135508;0.00499962707479268;0.07491858;0.00174832093935867;0.07024;0.0119854666836548;0.0564937;0.00243883623578952;0.0553857;9.99999999994061e-08
