"FID";"total_abstraction_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"total_abstraction_km3";"Lebanon";"MENA";"LBN";0.181024;0.207862;0.166913;0.228458;0.250681;0.243886;0.277111;0.286687;0.315656;0.361242;0.377885;0.390132;0.38001;0.38727;0.387338;0.320719;0.42762;0.388117;0.415516;0.399075;0.49;0.374392;0.498845;0.515913;0.477681;0.48205;0.453046;0.456556;0.390701;0.494672;0.545684;0.448066;0.421179;0.460223;0.601212;0.619639;0.590376;0.588834;0.560958;0.559502;0.580897;0.431648;0.606142;0.584323;0.713027;0.824537;0.857306;0.714184;0.676206;0.651394;0.574498;0.732048;0.742976;0.801003;0.882435;0.865975;0.552842;0.672417;0.498044637931034;0.177939314745195;0.909390338591185;0.927097111569104;0.774954627949183;0;0;0;0.00958236854409541;0.826990787922992;0.826990787922992;0.2069876;0.0340988927430203;0.2969164;0.0441533499329326;0.384527;0.00527639194905002;0.3902094;0.0416889364496146;0.4713662;0.0559700645586549;0.455405;0.0401414704887601;0.4952728;0.0753512853685987;0.5838618;0.0248251360761628;0.5832074;0.10044396281161;0.7447254;0.0913546913234345;0.746592;0.113197643303648;0.697078;0.158016431465212
"108";"total_abstraction_km3";"Liberia";"AFR";"LBR";0.00996335;0.00993445;0.00996187;0.0101943;0.010523;0.0108796;0.0117525;0.0120869;0.0126694;0.0132057;0.0136905;0.0144105;0.014953;0.0155605;0.0161465;0.0169192;0.0184301;0.0196417;0.0202945;0.0217764;0.0227546;0.0242893;0.0251957;0.0255502;0.0265763;0.0270265;0.0275271;0.0279047;0.0274278;0.0282942;0.0288178;0.0264455;0.0217368;0.0204273;0.0178411;0.0160348;0.0150213;0.0156606;0.0164327;0.0205373;0.0233205;0.0253626;0.0286027;0.0294176;0.030286;0.0286022;0.0303002;0.0321332;0.0341952;0.0377352;0.040123;0.0414274;0.0440307;0.0439486;0.0443516;0.0442736;0.0440524;0.0441354;0.0239792012068966;0.0103952694110669;0.870357195899724;0.879110400196869;0.773744706594071;0;0;0;0.000535776787658797;0.757521648454429;0.757521648454429;0.010115394;0.000250896659862183;0.01211882;0.000888161289969339;0.0149522;0.000959388841919689;0.01941238;0.00184391800441343;0.02487322;0.00143981683105873;0.02763606;0.000482732744901359;0.0230537;0.00448699669545232;0.01673734;0.00218690570738658;0.02739788;0.0029427661132003;0.0325932;0.00354979217701544;0.04277626;0.00189003365261045;0.0441538;0.000111742024323889
"109";"total_abstraction_km3";"Libya";"MENA";"LBY";0.302487;0.275475;0.293272;0.299862;0.271526;0.28021;0.300782;0.308328;0.315916;0.32179;0.333934;0.388113;0.429208;0.378535;0.375514;0.379555;0.416527;0.442687;0.440992;0.460476;0.466221;0.513248;0.515273;0.678244;0.509525;0.59688;0.569607;0.651799;0.605455;0.897509;0.703636;0.717766;0.814127;0.906996;1.02038;0.816712;0.884893;0.85153;0.883051;0.870444;0.94918;0.902718;0.973932;1.00093;1.04919;0.962739;0.994;1.05912;1.0647;1.18661;1.17712;1.25146;1.38409;1.27798;1.14501;1.5004;1.17988;1.14874;0.718901448275862;0.342147790415152;0.969579613079172;0.981174444000123;0.899576527525711;0;0;0;0.019644810114122;0.940084626098754;0.940084626098754;0.2885244;0.0141886179841449;0.3054052;0.0161528126714823;0.3810608;0.0340072357256511;0.4280474;0.0312958748447779;0.5365022;0.0817762052965286;0.66425;0.13371392490687;0.832581;0.133187747176683;0.861326;0.0282705131276389;0.97519;0.0549291385514101;1.0534338;0.0861003538157654;1.247132;0.0936194524124127;1.27634;0.194665322027319
"11";"total_abstraction_km3";"Australia";"Other";"AUS";3.69478;3.82984;3.72644;4.00365;3.9736;3.86544;4.09011;5.04518;4.69681;5.60843;4.80098;5.3191;5.44854;5.48;6.25357;4.72532;5.48723;6.06391;6.35501;6.58299;5.50936;6.86943;6.64533;6.84843;7.6599;6.19242;7.42075;7.25601;7.48281;8.12862;7.43821;8.19448;8.939;9.41328;8.25643;8.65117;10.6518;9.41293;10.0494;10.1775;9.04996;9.23435;9.88705;10.9268;10.8674;9.34981;11.184;11.1032;12.1298;11.1274;12.6016;11.6242;10.0781;12.4748;13.3006;12.1729;11.6571;11.8899;7.94667517241379;2.79014475126621;0.974107763515608;0.976006644313882;0.879007864488808;0;0;0;0.160947546217969;0.948885934941378;0.948885934941378;3.845662;0.140140945908039;4.661194;0.708048577238878;5.460438;0.520683178065126;5.842892;0.747382346138842;6.70649;0.773393143524042;7.296122;0.700572006484701;8.44828;0.757214201167675;9.78856;0.774475473433471;9.993112;0.882136242861612;10.978842;1.00723306281118;12.01586;1.23618217832163;11.9066333333333;0.25830682014483
"110";"total_abstraction_km3";"Saint Lucia";"LCR";"LCA";5.46281e-09;5.46281e-09;5.47671e-09;6.69244e-09;7.1684e-09;6.39605e-09;6.15246e-09;6.16881e-09;8.08535e-09;1.13774e-08;9.91738e-09;1.09284e-08;1.30622e-08;1.41399e-08;1.53121e-08;1.40615e-08;1.30401e-08;1.20084e-08;7.1197e-09;9.5258e-09;9.51569e-09;9.66732e-09;9.84586e-09;1.24598e-08;1.24863e-08;1.24299e-08;1.24807e-08;1.29024e-08;1.35487e-08;1.40809e-08;1.45943e-08;1.49891e-08;1.54311e-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.06880672413793e-09;5.86993060978215e-09;-0.640067158051811;-0.625116426855269;-0.338474335464718;6.3066611398484e-08;1.55887435272773e-07;0.000394650941529718;-2.2248930111661e-10;0.409685966816514;0.409685966816514;6.052634e-09;8.18803798250839e-10;7.636014e-09;2.24114941557452e-09;1.2671996e-08;2.23076145992349e-09;1.11511e-08;2.81369412427861e-09;1.0794994e-08;1.53632823054841e-09;1.308852e-08;7.13170703268158e-10;9.0029e-09;8.22381475441902e-09;0;0;0;0;0;0;0;0;0;0
"111";"total_abstraction_km3";"Liechtenstein";"Other";"LIE";0.00216318;0.00216252;0.00216917;0.00224169;0.00223048;0.00234892;0.00242677;0.00265185;0.00272733;0.00278597;0.00285922;0.00294823;0.0030646;0.00321625;0.00342207;0.00376006;0.00396798;0.0042838;0.0040911;0.00463795;0.00490626;0.00518488;0.00534824;0.00511337;0.00511506;0.00514465;0.00506223;0.00501373;0.00568384;0.00626187;0.00644107;0.00644531;0.00649669;0.00608;0.00554365;0.00710441;0.00709381;0.00790011;0.00608285;0.00621697;0.00597365;0.00767315;0.00745989;0.00746671;0.0076005;0.00595234;0.00558838;0.00650312;0.00747312;0.00690007;0.00754661;0.00761286;0.00732619;0.00595606;0.00809121;0.0081693;0.00597275;0.00652383;0.00524461862068966;0.00187406229319826;0.916052676667165;0.9048263557784;0.778584392014519;0;0;0;0.000101661167061428;0.839152506429077;0.839152506429077;0.002193408;3.92452732185674e-05;0.002588168;0.000190942406552342;0.003102074;0.000223318125842933;0.004148178;0.000333404685809903;0.005133562;0.000159009764542936;0.005433264;0.000535338510271772;0.006201344;0.000403578675080832;0.00687963;0.000743598546797935;0.00723478;0.000710780255986335;0.006483406;0.00074776901004254;0.007306586;0.000804884292696782;0.00688862666666667;0.00114281032180906
"112";"total_abstraction_km3";"Sri Lanka";"SOA";"LKA";1.22547;1.33568;1.45756;1.50396;1.85203;2.03895;1.69654;1.23307;1.79441;1.60273;1.63238;1.08331;2.33661;1.77718;1.72477;1.71713;1.80044;1.50288;1.27709;1.85293;1.61011;1.54576;1.60022;1.79057;1.36074;1.34382;2.1924;1.90534;2.12727;1.96423;2.47752;2.3203;2.16719;2.35553;2.16212;2.04571;2.54977;2.63533;2.29657;2.21467;2.61102;2.42101;2.48468;2.38468;2.29165;2.75427;2.35525;2.69318;2.49722;2.77858;2.79101;2.79664;2.64988;2.84468;2.53207;2.69853;2.07979;2.67088;2.05940189655172;0.493736553342839;0.833631426180486;0.839244516903012;0.640653357531761;4.44089209850063e-16;0;1.21413989973007e-12;0.024373616844566;0.694941354715713;0.694941354715713;1.47494;0.237154865752318;1.67314;0.294826263246679;1.71085;0.446131428336987;1.630094;0.238245741682826;1.58148;0.154022367369158;1.906612;0.335567065234358;2.296532;0.133789271505603;2.34841;0.24242008951405;2.438608;0.119020060788087;2.6157;0.182761047956067;2.722856;0.12908807818695;2.48306666666667;0.349521362771052
"113";"total_abstraction_km3";"Lesotho";"AFR";"LSO";0.00723588;0.0072307;0.0072262;0.00734231;0.00768646;0.00804028;0.00834689;0.00848531;0.00868473;0.00892865;0.00903572;0.00933427;0.00955973;0.0102095;0.0104986;0.011854;0.0128118;0.0129234;0.0130232;0.0139606;0.0152847;0.0159426;0.0178608;0.0182653;0.0180224;0.0184608;0.0181463;0.0167417;0.0175899;0.0187061;0.0195097;0.0199034;0.0205517;0.021385;0.0223805;0.0224543;0.0232247;0.024368;0.0239668;0.0244744;0.0240805;0.0244005;0.0240241;0.0236004;0.023446;0.0267692;0.0281496;0.0286017;0.0287172;0.0294975;0.029473;0.0295161;0.0303436;0.0303127;0.0306535;0.0307122;0.030701;0.0314352;0.0188636436206897;0.00796989729328256;0.991918351100249;0.992986557568673;0.951603145795523;0;0;0;0.000468143793718658;0.983902015249434;0.983902015249434;0.00734431;0.000197284624084088;0.008497172;0.000336462090762095;0.009727564;0.00060997036069796;0.0129146;0.000748569903215458;0.01707516;0.00136192567822183;0.01792896;0.000783993786965177;0.02074606;0.00115715990381624;0.02369764;0.000850698585281532;0.0239103;0.000385300862962957;0.02834704;0.00100672612611375;0.03005978;0.000533133301342169;0.0309494666666667;0.000420694679468775
"114";"total_abstraction_km3";"Lithuania";"ECA";"LTU";2.26072;2.25914;2.26625;2.29189;2.3769;2.36427;2.42571;2.45661;2.51763;2.52171;2.56471;2.63671;2.6901;2.76576;2.84753;3.07854;3.32059;3.34806;3.42741;3.49834;3.63831;3.81639;3.99854;4.15115;4.04202;3.87278;3.83596;3.85509;3.86364;3.9106;4.05103;4.15381;4.45547;4.43121;4.10475;3.89072;3.81223;4.08452;4.1788;4.41421;4.56722;4.52493;4.57919;4.68641;4.92236;5.33044;5.6942;5.95076;6.2362;6.78444;7.18258;6.64741;6.61402;6.617;6.63378;6.61399;6.59288;6.39665;4.15610810344828;1.43514099448843;0.95331519089147;0.972746008797564;0.887477313974592;0;0;0;0.0810180346980828;0.908809853184437;0.908809853184437;2.29098;0.0498098900821915;2.457186;0.0660327137107056;2.700962;0.110104347643497;3.334588;0.159192225218445;3.929282;0.202571743513255;3.867614;0.0276093404484787;4.239254;0.190011014101815;4.076096;0.239232982529583;4.656022;0.160338255478847;5.999208;0.551221876488951;6.738958;0.248358201233621;6.53450666666667;0.119853049328473
"115";"total_abstraction_km3";"Luxembourg";"Other";"LUX";0.0566643;0.0565471;0.0568185;0.0573892;0.0584973;0.0599661;0.0624707;0.0635592;0.0647002;0.0655461;0.0672498;0.0699361;0.072818;0.07462;0.0798437;0.086935;0.091592;0.0935462;0.0961535;0.0999286;0.106585;0.111518;0.114271;0.107978;0.10439;0.102839;0.101977;0.103517;0.114855;0.122666;0.125988;0.127082;0.136546;0.139142;0.143872;0.143003;0.147101;0.154726;0.153775;0.148912;0.150162;0.151676;0.148327;0.147442;0.151451;0.162322;0.17072;0.174056;0.178363;0.186604;0.192762;0.186818;0.186935;0.186935;0.187485;0.186935;0.186935;0.186935;0.121868751724138;0.044731383500179;0.989122692268208;0.988553540751975;0.930222727979656;0;1.07787808596589e-47;0;0.00262007134024421;0.978363700359907;0.978363700359907;0.05718328;0.000802524343556007;0.06324846;0.0021715234129523;0.07289352;0.00479294656208475;0.09363106;0.00487401015673952;0.1089484;0.00394459317293939;0.1091708;0.00919563016872688;0.134526;0.00776283054046654;0.1495034;0.00484506442681622;0.1498116;0.00187786056457875;0.174413;0.0090025129824955;0.188187;0.00257063212070494;0.186935;0
