"FID";"total_evaporation_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"total_evaporation_km3";"Lebanon";"MENA";"LBN";2.45434;2.70514;2.71792;2.86843;2.85516;3.41127;3.1196;3.28368;3.04742;3.44916;3.16307;3.42278;3.36228;3.48268;3.27808;3.15292;3.11234;3.02049;3.4904;3.56676;3.3744;3.23205;3.32854;3.31558;3.12886;3.40185;3.36467;2.89279;3.08417;3.26133;3.19057;2.83054;2.81396;3.40411;3.13582;3.12257;3.13047;3.08363;3.14323;3.19353;2.9304;2.60192;2.95015;3.24531;3.60644;3.47772;3.10176;3.16022;3.32148;3.20902;2.6256;3.21937;2.51029;3.9552;3.5221;3.28328;3.03736;3.28697;3.16277896551724;0.28527269355238;0.118055103356497;0.0721338706204436;0.0465819721718088;0.377451895986689;0.589584889037308;0.605494823639761;0.00199432341813055;0.0139370074285158;0.0139370074285158;2.720198;0.166658240180316;3.262226;0.176140925057183;3.341778;0.125328582214912;3.268582;0.243645360144617;3.275886;0.0969423863952193;3.200962;0.211784646563437;3.075;0.251630414795191;3.134686;0.0397080077566226;3.066844;0.377955928952041;3.25404;0.148827994006504;3.166512;0.6071405645071;3.20253666666667;0.143059087209912
"108";"total_evaporation_km3";"Liberia";"AFR";"LBR";86.2621;81.2306;84.1738;83.17;80.9006;80.677;83.8772;81.3322;82.3157;83.5133;81.3902;81.8507;83.2914;83.633;82.7786;83.5275;84.0496;85.231;82.4759;82.9487;82.0214;80.5159;81.7213;83.2119;82.1617;82.2996;82.1963;83.0927;83.8067;82.7787;83.4584;84.6335;83.4432;82.7199;83.3892;82.833;82.8161;82.9647;84.9505;84.4579;82.4926;85.1497;84.2133;84.8497;86.7333;82.4405;82.7397;86.5504;86.7125;86.4993;86.9217;87.9917;85.5062;99.8111;92.3969;94.9593;89.0634;93.5077;84.4248396551724;3.53843182427845;0.62632656696644;0.608969823741118;0.459165154264973;1.45134792184365e-07;7.30078997643514e-07;3.5550184329658e-07;0.131238810790855;0.392284968487958;0.392284968487958;83.14742;2.20667149163622;82.34308;1.37125760052588;82.58878;0.948875388025213;83.64654;1.06589399707475;81.92644;0.968049274572322;82.8348;0.653523243657029;83.52884;0.690371815038824;83.60444;1.02055602393989;84.68772;1.53848031576618;84.98848;2.19337808459919;90.52552;5.7949416452627;92.5101333333333;3.07193158181189
"109";"total_evaporation_km3";"Libya";"MENA";"LBY";43.7465;49.3533;40.7305;65.0248;59.8544;67.7516;37.7429;44.1363;46.5893;45.5573;38.5722;57.0767;33.5204;40.4413;58.594;36.7592;42.5812;47.7768;80.9651;35.4253;61.08;50.0634;53.4823;43.7442;58.7176;50.5404;54.8277;47.3419;48.4813;40.0573;59.2328;46.0954;48.1491;61.4569;53.6148;46.6652;71.6413;73.7478;54.4976;50.6568;50.294;49.41;52.6235;35.3394;47.8386;44.249;35.1152;53.845;53.3922;45.2286;51.4668;37.0161;30.5834;61.9575;43.4742;42.7992;41.1016;59.5856;49.6829793103448;10.4113937921227;-0.0505554517247455;-0.00845919591497739;-0.0114942528735632;0.706263805821539;0.949769201310229;0.898582873350118;-0.0311693315697169;0.00255585369909275;0.00255585369909275;51.7419;10.4058979638953;48.35548;11.3752693186579;45.64092;11.4287926018893;48.70152;18.6957818963797;53.4175;6.92155844084264;48.24972;5.39700258588043;53.7098;6.69758509203131;59.44174;12.4333451093421;47.1011;6.79897096110875;46.366;7.70809308194965;44.8996;12.2804212885796;47.8288;10.2170064656924
"11";"total_evaporation_km3";"Australia";"Other";"AUS";2906.84;2834.19;3182.87;2582.21;2936.91;3167.23;2927.82;2428.93;2889.01;2988.82;3594.93;2833.53;2651.87;3278.26;2628;4086.34;4758.88;3857.66;3640.94;3165.53;3610.7;3184.61;3135.05;3562.87;3017.96;3390.6;3728.73;2800.52;2889.6;3168.34;3177.12;3357.18;2900.84;2872.02;3015.31;3401.23;2507.01;3526.55;3149.28;3588.39;3628.32;3864.82;4516.45;3738.28;2474.23;3161.09;3380.9;2837.02;3289.97;3219.2;3104.28;3023.9;4297.36;4458.19;3381.28;3092.52;3247.96;3012.69;3259.53689655172;500.014362608476;0.23839963983693;0.267895044449229;0.163944343617665;0.0715208100540177;0.0423470442154464;0.0690848933552264;7.05892706635085;0.0568343882743786;0.0568343882743786;2888.604;215.6946143973;2880.362;273.940818188893;2997.318;423.858798622843;3901.87;587.52253267428;3302.238;267.245205700682;3195.558;378.391299477142;3064.494;202.853178875757;3234.492;440.123384882012;3644.42;739.497468994992;3177.636;207.337753990922;3653.002;677.167437285639;3117.72333333333;119.642798501762
"110";"total_evaporation_km3";"Saint Lucia";"LCR";"LCA";0.641832;0.648657;0.666825;0.649937;0.640189;0.669489;0.632433;0.645993;0.667097;0.680153;0.645992;0.648167;0.625467;0.615595;0.652535;0.615453;0.618816;0.569488;0.603069;0.602295;0.618328;0.58525;0.562498;0.629111;0.60366;0.566593;0.531851;0.559356;0.570593;0.562703;0.560881;0.544255;0.537805;0.523476;0.590518;0.585345;0.457954;0.539979;0.568717;0.536935;0.598353;0.555576;0.52442;0.470414;0.535426;0.500783;0.624005;0.614994;0.573062;0.533109;0.556888;0.56603;0.613318;0.52911;0.472635;0.379572;0.353688;0.33306;0.57430574137931;0.0735428854780713;-0.749918767621003;-0.792365191177828;-0.617664851784634;1.24742676567828e-11;0;7.44441155527093e-12;-0.00326591974530126;0.562378158030201;0.562378158030201;0.649488;0.0105658585547981;0.659033;0.0193520801982629;0.6375512;0.0160978196101211;0.6018242;0.0195055534835595;0.5997694;0.026553992765684;0.5582192;0.0153289774675286;0.551387;0.0256696867238383;0.537786;0.0489828207538112;0.5368378;0.0466464256744287;0.5691906;0.0526759889162036;0.5475962;0.0517359126255641;0.35544;0.0233054427977672
"111";"total_evaporation_km3";"Liechtenstein";"Other";"LIE";0.0451038;0.0457193;0.0480015;0.0462418;0.0419522;0.0487638;0.0448104;0.0478378;0.0519795;0.0497934;0.0495121;0.0474899;0.0497221;0.047497;0.0448304;0.0476659;0.0521691;0.0501861;0.0412175;0.0476079;0.0460934;0.0524203;0.0505945;0.0498745;0.0530107;0.0559931;0.0484676;0.0485879;0.0496782;0.0529999;0.0548036;0.050928;0.0527265;0.0484648;0.0499053;0.055743;0.0554815;0.0521607;0.0470129;0.0472033;0.0469485;0.0535203;0.0547976;0.0502114;0.0537018;0.0492711;0.0452912;0.0465049;0.0503742;0.047942;0.0483712;0.0502867;0.0469506;0.0506853;0.0529136;0.051878;0.0481189;0.0532873;0.0495052724137931;0.003285940220532;0.349636628395205;0.348549632409487;0.237749546279492;0.00713934768662017;0.00761606517274486;0.00838307944020489;6.80341874557818e-05;0.122245771915569;0.122245771915569;0.04540372;0.00221095975019899;0.04863698;0.00263662822786983;0.0478103;0.0019768484729488;0.0477693;0.00412801365792314;0.05039868;0.00272755118778732;0.05114534;0.00327121768046701;0.05136564;0.00247034933217956;0.05152028;0.00426865191389507;0.05183592;0.00322552833145208;0.04787668;0.0020465072188976;0.04984148;0.00228402521811822;0.0510947333333333;0.00267174468153926
"112";"total_evaporation_km3";"Sri Lanka";"SOA";"LKA";75.3377;73.9218;75.9874;75.134;75.8025;78.8599;76.1489;73.3389;75.1349;74.2201;73.8833;69.3031;76.5358;76.8988;72.4124;74.3976;74.2844;74.102;63.2295;76.8891;68.1523;69.5306;69.9455;78.6618;66.1847;62.3904;78.1594;76.9613;79.0375;68.6618;79.4246;76.4865;75.7888;75.2007;66.94;69.0384;73.3398;79.5584;74.1238;70.9874;68.8876;75.7622;76.6736;75.4941;70.8827;79.0193;75.2061;72.4979;72.0608;75.99;78.48;77.713;72.2198;79.7249;79.0117;83.7907;71.0996;87.4271;74.4196017241379;4.55343977236147;0.201980223825271;0.175059214371405;0.117967332123412;0.128393206620329;0.188234407437803;0.1908538900165;0.0544626872558358;0.0407960108165058;0.0407960108165058;75.23668;0.811386225542431;75.54054;2.12976389489539;73.80668;3.13214871246561;72.58052;5.35082528279517;70.49498;4.7957160369438;73.04208;7.24805922416477;74.76812;4.66754784838892;73.40956;3.97797490540099;73.54004;3.43810258907438;74.95482;2.83136648051784;77.42988;3.00404368593401;80.7724666666667;8.57199588213465
"113";"total_evaporation_km3";"Lesotho";"AFR";"LSO";21.9572;21.6013;23.083;21.1398;19.3704;22.7232;22.3492;16.847;17.7313;20.6022;16.5328;19.2372;16.8237;19.07;19.3952;17.7494;22.0764;21.0573;23.7974;21.1292;21.5401;21.5901;16.1155;22.0374;17.9161;17.906;18.6073;17.5292;21.5704;20.4397;22.7122;21.5095;18.0217;21.2612;14.7622;18.8521;16.7354;17.6277;22.5633;21.8481;21.2379;17.4383;22.3488;20.2067;20.8358;16.5748;21.0075;17.7872;21.2913;17.2697;20.7142;21.9266;21.5621;25.1189;21.3991;19.2121;21.1815;16.3473;19.9806586206897;2.29838429214918;-0.0224351005978049;-0.0762558060844689;-0.0526315789473684;0.86724242979324;0.568446220178754;0.559492975944418;-0.00305352363960791;0.000503333738833808;0.000503333738833808;21.43034;1.35700590934601;20.05058;2.66330718881619;18.21178;1.40839008871832;21.16194;2.20450318620772;19.83984;2.66247291591858;19.21052;1.73005786232715;19.65336;3.2393158155697;19.52532;2.57208426417176;20.4135;1.83697713785447;18.7861;2.20214457177543;22.14418;1.72010931832834;18.9136333333333;2.4308813573133
"114";"total_evaporation_km3";"Lithuania";"ECA";"LTU";28.5523;30.2948;29.5632;29.1992;27.4004;30.5452;28.118;28.4654;29.2992;29.2561;29.2087;28.3945;27.6748;29.5501;31.1704;30.0463;28.7188;30.9635;26.8669;27.4863;27.7974;29.3161;27.1127;29.585;29.7709;30.9213;29.3076;29.4956;29.8181;29.1978;30.3295;31.026;30.0438;29.4742;31.0394;30.4286;30.5443;30.7243;28.572;30.076;29.2901;30.7629;29.5533;31.034;32.5603;30.5815;28.8651;30.383;30.5014;31.4886;30.4608;30.5911;32.4899;35.007;33.0966;33.7301;33.6973;32.8088;30.0389051724138;1.66262112566773;0.659348668063745;0.642499000276846;0.468844525105868;1.8216702146745e-08;1.30451192184135e-07;2.00698891283935e-07;0.0649170906518189;0.434740666077433;0.434740666077433;29.00198;1.09459099301977;29.13678;0.937140358751026;29.1997;1.3210021479922;28.81636;1.71040451589675;28.71642;1.18769640354764;29.74808;0.696764814697182;30.38258;0.668607771417593;30.06904;0.869726728921217;30.64012;1.30967928593225;30.36392;0.945776446629963;32.32908;1.89058523928439;33.4120666666667;0.522701600660773
"115";"total_evaporation_km3";"Luxembourg";"Other";"LUX";0.935964;0.923425;0.926837;0.963337;0.854609;0.8885;0.837035;0.902606;0.977305;0.957064;0.894564;0.956591;0.94555;0.978544;0.991169;0.990702;0.990292;0.919179;0.82221;0.932496;0.879569;0.915422;0.935821;0.935926;0.975091;0.982993;0.915598;0.975518;1.00154;0.975468;0.97783;1.06582;1.09469;0.918576;1.07459;1.03153;0.993248;0.978351;0.882355;1.05261;0.938642;1.02122;1.01799;0.994534;0.999453;1.07542;1.04572;1.06612;1.0741;1.08625;1.07862;1.1298;1.06106;1.09898;1.14583;1.12931;1.12894;1.04779;0.987763862068965;0.0778721419519918;0.764032474509108;0.764680550001538;0.575317604355717;3.01758618093118e-12;0;1.77905468135009e-10;0.00352325891291638;0.583745622104506;0.583745622104506;0.9208344;0.0401992593936754;0.912502;0.0560234226953334;0.9532836;0.0373902735654608;0.9309758;0.0690237373966377;0.9283658;0.034801762149351;0.9702234;0.032339082636958;1.0263012;0.0750412347792865;0.9876188;0.0658598837738118;0.9943678;0.033205047224782;1.069522;0.0151135641064575;1.102858;0.0350786846959803;1.10201333333333;0.0469591485584368
