"FID";"total_groundwater_recharge_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"total_groundwater_recharge_km3";"Lebanon";"MENA";"LBN";0.326963;0.659287;0.219701;1.01444;1.2921;1.52032;2.30858;1.78209;1.37198;3.15205;2.95953;3.6413;1.87207;2.00708;1.08493;0.461939;1.7792;1.37244;1.92881;1.98061;2.65186;0.964874;3.17663;2.87196;1.39717;2.00794;1.16185;1.18906;1.04452;2.28749;3.18361;0.600363;0.815896;1.65764;3.47254;1.72713;1.59291;1.05545;1.24763;1.19819;1.33515;0.376794;1.25248;1.49259;1.97787;4.14698;3.4116;1.23726;1.29023;1.04896;0.487069;1.56642;1.26726;1.68274;2.82716;2.0315;0.169442;0.923081;1.66490894827586;0.92383362883321;-0.0187425480201514;-0.042295979574887;-0.0163339382940109;0.888941310654541;0.751999441074021;0.856276824354022;-0.00102535208711393;0.000351283106287409;0.000351283106287409;0.7024982;0.453024557756751;2.027004;0.722976750960914;2.312982;0.997314414500262;1.5045998;0.629792233740779;2.2124988;0.97195743256441;1.538172;0.567747561042758;1.9460098;1.32599286945715;1.364262;0.283063984498205;1.2869768;0.581281691102687;2.227006;1.44347687046935;1.5661298;0.845205678477257;1.041341;0.936645113979142
"108";"total_groundwater_recharge_km3";"Liberia";"AFR";"LBR";49.2771;83.1306;70.9709;65.5795;86.5285;95.4003;58.1452;78.1136;70.3402;50.665;84.7486;69.3377;62.7545;55.5908;67.8605;60.9813;50.5554;49.5237;55.1035;54.3505;63.3006;83.4426;64.9053;64.5819;65.8118;45.1451;72.4519;57.7904;52.0806;62.2507;59.2739;64.8219;54.4314;73.8926;66.2642;64.1466;68.9496;61.5409;70.4919;53.416;70.425;78.073;67.8872;53.5188;55.8313;73.916;66.0914;49.5092;59.5145;37.8194;52.0367;35.9402;54.1982;23.5136;40.8628;41.9071;68.6429;46.9375;61.4581396551724;13.3567017990896;-0.459680603023076;-0.383862930265465;-0.263157894736842;0.000283358538693027;0.00312182099623604;0.00352313862953536;-0.363585059521969;0.211306256795651;0.211306256795651;71.09732;14.912289094636;70.53286;17.4934294110103;68.05842;10.7681353296195;54.10288;4.52572429474001;68.40844;8.45240992102252;57.94374;10.3349131671727;63.7368;7.36908087857638;63.709;6.7880339778908;65.14706;10.3010285621388;57.3701;14.1284283552701;41.3103;12.5191292081358;52.4958333333333;14.2081685129834
"109";"total_groundwater_recharge_km3";"Libya";"MENA";"LBY";7.09067;12.0057;7.78056;21.699;19.5508;22.0717;14.1472;12.2767;11.7649;14.2513;11.0845;18.3952;9.7042;11.724;13.946;14.7871;12.7223;16.5684;40.0598;13.9304;32.3779;20.1594;21.277;31.4746;17.3379;26.3676;22.4142;20.0483;21.67;22.3262;28.3125;25.8835;18.7094;20.4088;27.0545;20.8544;25.9882;26.3331;21.794;13.0278;16.229;18.1314;13.9343;10.658;15.2802;12.4317;9.66057;14.7531;20.2405;16.1987;17.2254;11.7321;8.67015;17.4632;14.7105;14.2827;12.8837;15.0342;17.7396405172414;6.56837814147301;-0.0122562098609674;0.0362668799409394;0.00423472474289171;0.927244688179972;0.786466151310395;0.962548374249489;-0.0047672173859515;0.00015021468015588;0.00015021468015588;13.625346;6.70413419081689;14.90236;4.1572625449928;12.97078;3.3970002902561;19.6136;11.5152531198841;24.52536;6.9142489051957;22.56526;2.3277852345094;24.07374;4.25250445655263;21.5995;5.37900320226713;14.84658;2.79578303020817;14.656914;3.98364842662853;13.96027;3.75647935965313;14.0668666666667;1.09137554642448
"11";"total_groundwater_recharge_km3";"Australia";"Other";"AUS";115.641;105.284;149.124;67.3563;153.85;195.958;170.84;93.0209;95.9976;182.065;214.638;155.379;95.5406;168.881;131.016;198.203;686.588;218.678;349.772;220.538;166.382;199.09;144.366;249.589;146.524;142.469;229.932;116.999;99.3475;123.655;119.195;225.854;130.556;293.377;92.5626;179.24;88.418;175.397;134.123;180.116;217.794;237.348;336.804;220.18;68.4146;118.822;188.374;65.7404;174.93;114.286;143.761;257.532;240.697;321.324;91.0535;48.695;95.7745;45.725;172.289956896552;97.906627890292;-0.0536897146626428;-0.0378664369866806;-0.0175438596491228;0.688952790573001;0.777278840005163;0.845759661445291;-0.311281857331793;0.00288258546055565;0.00288258546055565;118.25106;35.3045910862596;147.5763;49.2648785219247;153.09092;44.2773825393056;334.7558;205.656152288717;181.1902;44.0903861312191;142.4805;51.2638443886137;172.30892;84.3333059457057;151.4588;40.1271106323393;216.10812;95.9836264676012;132.43048;49.7440104007709;210.8735;92.3670528124071;63.3981666666667;28.0780242375302
"110";"total_groundwater_recharge_km3";"Saint Lucia";"LCR";"LCA";0.766845;0.361021;0.523034;0.569242;0.646036;0.575866;0.588597;0.549392;0.744598;0.608822;0.442778;0.561659;0.704903;0.318776;0.550692;0.354831;0.408738;0.435622;0.363852;0.487044;0.526546;0.266006;0.196121;0.228516;0.267805;0.185281;0.280251;0.240948;0.242614;0.234579;0.366492;0.143516;0.0995432;0.210327;0.298413;0.17541;0.104174;0.260747;0.324133;0.103487;0.295974;0.197238;0.160358;0.108467;0.122405;0.127294;0.377004;0.363063;0.153129;0.151593;0.256466;0.107321;0.356043;0.146984;0.0757583;0.0722077;0.0607871;0.0375571;0.318739765517241;0.191367879173653;-0.803047186195574;-0.794518441047095;-0.607985480943739;3.36878262360714e-14;0;1.56731836460784e-11;-0.00910040518010395;0.644884783256637;0.644884783256637;0.5732356;0.150296111015222;0.613455;0.0764115046835226;0.5157616;0.144249008524496;0.4100174;0.0542381609551799;0.2969988;0.131691849659347;0.2367346;0.0339047073324634;0.22365824;0.109538578688917;0.1935902;0.0974625845681305;0.1768884;0.0750311090901634;0.2344166;0.124321897641968;0.18851446;0.115881763206546;0.0568506333333333;0.0176575153250205
"111";"total_groundwater_recharge_km3";"Liechtenstein";"Other";"LIE";0.0154388;0.00846638;0.0140096;0.01166;0.0164901;0.0187803;0.0113297;0.0338258;0.0308487;0.0255233;0.0226692;0.0126638;0.0343235;0.00827515;0.00659211;0.0146161;0.0273816;0.0207622;0.00631966;0.0191325;0.017788;0.0239343;0.0292879;0.0235971;0.0284163;0.0240781;0.0164671;0.0121899;0.0134362;0.0302036;0.0259178;0.00974845;0.0104947;0.00774703;0.00823697;0.0116222;0.0182404;0.0200273;0.00554104;0.00572786;0.00533821;0.031987;0.0288244;0.027913;0.0208247;0.0083305;0.00410422;0.00559461;0.012826;0.00606611;0.00784891;0.00786695;0.00692112;0.00481662;0.0122439;0.0170244;0.00475054;0.00595565;0.015880130862069;0.00891308072753537;-0.354339691958738;-0.406564336030023;-0.271627344222626;0.00635295344631362;0.00167364261283235;0.00259630353251447;-0.000187024397243837;0.125556617297411;0.125556617297411;0.013212976;0.00321210024872824;0.02406156;0.00913146075707496;0.016904752;0.0115698739426698;0.017642412;0.00781294597906065;0.02460472;0.00459327632545659;0.01927498;0.0076596115669791;0.01242899;0.0076218198094976;0.01223176;0.006788081674214;0.022977462;0.0106711713233234;0.007384288;0.0033987840953744;0.0079395;0.00270789617274186;0.00924353;0.00676531787839271
"112";"total_groundwater_recharge_km3";"Sri Lanka";"SOA";"LKA";19.8475;28.5011;28.8801;49.3997;28.2026;57.2332;20.0434;28.5357;29.5849;39.4352;13.4114;28.8986;39.084;22.9505;30.2577;23.2035;17.917;30.1028;16.331;31.982;19.6543;28.9218;19.7311;20.4982;24.2354;11.7352;45.1521;21.005;21.4418;18.103;27.0276;20.2442;29.2623;31.5482;21.9115;31.2843;44.2372;28.2401;24.752;38.4493;19.2696;38.3022;29.5413;16.8026;30.1684;28.4533;32.0748;33.8206;44.4126;26.2882;37.8574;21.0492;30.6275;27.6286;22.842;26.6396;23.2408;40.4354;28.2877689655172;9.06209930504287;0.0209414183582521;0.0872681411301486;0.073200241984271;0.876009096487922;0.513781895247618;0.416983138265501;0.0112379095019864;0.00043854300285552;0.00043854300285552;30.9662;10.9713881086214;34.96648;14.2196249017687;26.92044;9.50338358812271;23.90726;7.02432115139961;22.60816;3.99889529782914;23.48742;12.7162492839673;25.99876;4.80432473121874;33.39258;7.88715280611451;26.81682;8.77232816087041;33.0099;7.02668250741415;28.00094;6.69194682420594;30.1052666666667;9.10613536981157
"113";"total_groundwater_recharge_km3";"Lesotho";"AFR";"LSO";0.237462;0.112553;0.297926;0.454714;0.195573;0.245751;0.224114;0.0101574;0.0729704;0.423316;0.0295687;0.0501784;0.0233464;0.164995;0.385691;0.0155822;0.683925;0.255589;1.78215;0.157123;0.390397;0.0146842;0.0578207;0.0261969;0.00820294;0.00253704;0.088562;0.0965054;0.173468;0.188784;0.895637;0.417966;0.0318721;0.321413;0.00511669;0.0126737;0.49237;0.0349424;0.364156;0.499507;0.197627;0.0460563;0.619882;0.476086;0.245702;0.00625812;0.162072;0.0880837;0.517814;0.016908;0.145762;0.207935;0.600981;0.498866;0.00185075;0.00265386;0.00334496;-1.22025e-05;0.237644276853448;0.295366745230948;-0.0460385324410184;-0.118274939247593;-0.0780399274047187;0.731471681176411;0.375559722462223;0.386857588138434;-0.000805255480097804;0.00211954646932267;0.00211954646932267;0.2596456;0.128209509063486;0.19526176;0.161716690783939;0.1307559;0.153649442580473;0.57887384;0.717389990512502;0.099460348;0.163753197190145;0.109971288;0.0748750315579681;0.334400958;0.361278817955183;0.28072982;0.240769852290672;0.31707066;0.229013996765761;0.158227164;0.210536978568024;0.29107895;0.250448409256303;0.00199553916666667;0.00177275907910581
"114";"total_groundwater_recharge_km3";"Lithuania";"ECA";"LTU";12.4306;8.04075;12.8408;9.95482;13.6277;8.20486;4.75491;6.69796;10.4468;11.9259;9.40183;5.18892;11.11;6.85632;8.17916;6.56756;13.7148;8.15971;2.83551;8.8394;14.6588;11.3236;18.6601;16.9649;9.33227;12.0533;8.24478;12.4472;12.6695;11.7691;10.3838;10.604;16.6748;10.4378;9.20112;10.1721;13.2523;11.9714;4.03482;8.88674;15.9744;10.9453;7.55052;10.7175;10.6181;5.16252;9.40684;9.30186;6.33213;13.7019;11.626;9.84697;15.8723;11.7338;10.504;9.82378;6.69198;5.87726;10.2622051724138;3.30746777576338;0.0297657315837751;0.0160878525946661;0.00544464609800363;0.824466916674712;0.904467595301267;0.951859459608662;0.00582992279061115;0.000885998776717145;0.000885998776717145;11.378934;2.31687155465727;8.406086;2.86543525237964;8.147246;2.27876575368773;8.023396;3.94049943324828;14.187934;3.8637871910575;11.436776;1.81796209170598;11.460304;2.96784908276685;9.663472;3.56195018375047;11.161164;3.03077318542315;8.78105;3.31544074860342;11.916614;2.34756436471505;7.46434;2.0835450570602
"115";"total_groundwater_recharge_km3";"Luxembourg";"Other";"LUX";1.20799;0.464718;1.0019;1.055;0.824924;0.574107;0.480403;1.34099;1.40187;1.00651;1.05094;0.706785;1.06642;0.443349;0.611866;0.489992;1.1384;0.746559;0.41302;1.04935;0.805738;1.26811;1.28994;1.46752;1.10981;1.15617;1.27276;0.815449;1.15499;1.42579;1.52148;0.783117;0.85248;0.713907;0.727709;0.897033;1.07013;1.08256;0.4798;0.780897;1.14117;0.889573;1.43335;1.41559;1.15669;0.626381;0.684421;0.573374;0.855909;1.20959;1.09026;0.735088;0.940998;0.528744;0.921729;0.987288;0.82718;0.606383;0.937486224137931;0.299360773013189;-0.0205690912243292;-0.0159648097449937;-0.00665456745311555;0.878196694487522;0.905196245635281;0.941179198791115;-0.000364636900550684;0.000423087513794947;0.000423087513794947;0.9109064;0.284507700948147;0.960776;0.424702641879586;0.775872;0.27491956644717;0.7674642;0.324080048767585;1.1882236;0.248585231288586;1.1650318;0.224715212683076;0.9197386;0.340779953991282;0.862084;0.247914613787691;1.2072746;0.224926831938299;0.789935;0.257509548140452;0.8433638;0.216414268575803;0.806950333333333;0.191256592870242
