"FID";"domestic_water_withdrawal_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"domestic_water_withdrawal_km3";"Lebanon";"MENA";"LBN";0.062562;0.0705203;0.0682791;0.0724722;0.0748399;0.0769755;0.0825637;0.0844522;0.0859812;0.0877482;0.0910118;0.0954989;0.100437;0.0947889;0.0987431;0.107835;0.118878;0.122264;0.125583;0.129589;0.134445;0.141189;0.148901;0.153252;0.153195;0.15398;0.155101;0.154697;0.155788;0.155982;0.170768;0.159911;0.160863;0.191514;0.207879;0.233273;0.262545;0.282289;0.287698;0.286983;0.292672;0.210509;0.305409;0.309213;0.363747;0.373537;0.386913;0.391215;0.370773;0.362497;0.312054;0.422265;0.414189;0.466097;0.48964;0.468039;0.303268;0.372226;0.21061274137931;0.124136412615853;0.939760198619312;0.985542465163493;0.935874168179069;0;0;0;0.00690823111753661;0.883149230909005;0.883149230909005;0.0697347;0.00468349595120995;0.08354416;0.00413963310366993;0.09609594;0.003666249713672;0.1208298;0.00827719419247851;0.1461964;0.00820436181552227;0.1551096;0.000816642088065515;0.178187;0.0209069277154727;0.2705576;0.0232139827431658;0.29631;0.0551635632097855;0.376987;0.0118473399546058;0.420849;0.0683050068918817;0.381177666666667;0.0827494402538974
"108";"domestic_water_withdrawal_km3";"Liberia";"AFR";"LBR";0.00989926;0.00989926;0.00992923;0.0101079;0.0104737;0.0108581;0.0116549;0.0120865;0.0125703;0.0131072;0.0136624;0.0143708;0.0149057;0.0154502;0.0161375;0.0167492;0.0182691;0.0195238;0.0202416;0.0215743;0.0226366;0.0240729;0.0250521;0.0254957;0.0263596;0.0265966;0.0273615;0.0276927;0.0274453;0.0280568;0.0286766;0.0263359;0.021321;0.020329;0.0175354;0.0156275;0.0146034;0.0150123;0.0163095;0.0202765;0.022775;0.0255289;0.028437;0.0292048;0.0302967;0.0285152;0.0301554;0.032231;0.0345;0.0375311;0.0401961;0.0417918;0.0442035;0.0442035;0.0443417;0.0442035;0.0442035;0.0442035;0.0238756905172414;0.0104676862421746;0.867084614766543;0.876963597936332;0.774511144448391;0;1.81305029183008e-19;0;0.000537480605063208;0.751835729164842;0.751835729164842;0.01006187;0.000246069148614775;0.0120554;0.000861147490270975;0.01490532;0.000954688911111887;0.0192716;0.00184894835920315;0.02472338;0.0014282441937568;0.02743058;0.000538834331682753;0.02283958;0.00455627256230353;0.01636584;0.00227924587703916;0.02724848;0.0030618781649504;0.03258654;0.00356099222661325;0.04294732;0.00187114336222535;0.0442035;0
"109";"domestic_water_withdrawal_km3";"Libya";"MENA";"LBY";0.0334644;0.0334641;0.0335513;0.0351508;0.037005;0.0389858;0.0413362;0.0435549;0.0457669;0.0474238;0.0503283;0.0534679;0.0566255;0.0526913;0.057462;0.0641077;0.0695674;0.0752769;0.0797879;0.0861599;0.0941535;0.102676;0.11102;0.116809;0.12188;0.121236;0.127238;0.133916;0.14439;0.147297;0.155475;0.160879;0.182543;0.192099;0.198111;0.19546;0.194737;0.19094;0.198651;0.207568;0.204033;0.214071;0.23386;0.216285;0.197162;0.212112;0.237873;0.263868;0.289132;0.315388;0.346261;0.312051;0.318175;0.318177;0.319038;0.318175;0.318177;0.318184;0.15662549137931;0.0981636362061539;0.978405329778366;0.993755383760452;0.957021967103865;0;4.93749937683617e-55;0;0.00568748242332886;0.957276989338709;0.957276989338709;0.03452712;0.00156048678526927;0.04341352;0.00337493311741137;0.054115;0.00292787364139916;0.07497996;0.00859792652434294;0.1093077;0.011078057397396;0.1348154;0.0110689805221619;0.1778214;0.0188694047812855;0.1974712;0.00627524196346245;0.2130822;0.0139489552906302;0.2636746;0.0407640056888427;0.3227404;0.0134430015175183;0.318178666666667;4.725815626273e-06
"11";"domestic_water_withdrawal_km3";"Australia";"Other";"AUS";0.99723;0.997657;0.99998;1.03695;1.08599;1.13553;1.1904;1.34978;1.39399;1.46766;1.52234;1.59578;1.67582;1.73686;1.83016;1.96804;2.1896;2.28078;2.3643;2.42961;2.5125;2.64567;2.75241;2.93423;3.05051;2.98607;3.11797;3.09953;3.12179;3.21644;3.48565;3.78658;3.87734;3.95633;3.99142;3.97289;4.02588;4.23153;4.38943;4.51954;4.42632;4.47531;4.58365;4.46452;4.4314;4.74636;5.27139;5.48621;5.57436;5.78912;6.41558;5.9698;6.02551;6.0422;6.05637;6.01362;5.96617;6.01264;3.42539132758621;1.68575079102358;0.992032522350482;0.994647636039251;0.962492437991531;0;0;0;0.0990307122642951;0.984128525401056;0.984128525401056;1.0235614;0.0387203037798001;1.307472;0.139826169832403;1.672192;0.119836781999518;2.246466;0.179832426386344;2.779064;0.216402506639826;3.10836;0.0821383229680276;3.819464;0.202585749326057;4.227854;0.232916925812617;4.47624;0.0635959185011113;5.373488;0.396711261208955;6.101892;0.178408278311294;5.99747666666667;0.0271167961480213
"110";"domestic_water_withdrawal_km3";"Saint Lucia";"LCR";"LCA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"domestic_water_withdrawal_km3";"Liechtenstein";"Other";"LIE";0.000971389;0.000971092;0.000973942;0.00100909;0.00100802;0.00106488;0.00110418;0.00129544;0.00133652;0.00136925;0.00140913;0.00145667;0.00151767;0.0015962;0.00170165;0.00187272;0.0019785;0.00221522;0.00211079;0.00239805;0.00253516;0.00267758;0.00276053;0.00263846;0.00263917;0.00265476;0.00261325;0.00266931;0.0030274;0.00333652;0.00343542;0.00344356;0.0034755;0.0032653;0.00297415;0.0038406;0.00384902;0.00434717;0.00332933;0.00342516;0.00328252;0.00423401;0.00412093;0.00413238;0.00421583;0.00329518;0.00310966;0.00365855;0.00421855;0.00388109;0.00425338;0.00430602;0.00414837;0.00336864;0.00455446;0.00461154;0.00336604;0.00368543;0.00280586781034483;0.00112943437195196;0.933629344583324;0.922729090405734;0.808832425892317;0;0;0;6.24433384908789e-05;0.871663753067087;0.871663753067087;0.0009867066;1.99790967713759e-05;0.001234054;0.000139671560025654;0.001536264;0.000115962115279086;0.002115056;0.000204640482138799;0.00265018;8.12650930596897e-05;0.002860248;0.000314032426303399;0.003318786;0.000209383645206592;0.003758256;0.000405206365979114;0.003997134;0.000402563125149336;0.003632606;0.000445274237105629;0.004126174;0.000448972513501662;0.00388767;0.000646910601010681
"112";"domestic_water_withdrawal_km3";"Sri Lanka";"SOA";"LKA";0.0536153;0.0536577;0.0538518;0.0549278;0.0556478;0.0539831;0.0555549;0.0612205;0.0626281;0.0647953;0.0649405;0.0678808;0.0721488;0.0676371;0.0705359;0.0741043;0.0800402;0.0832639;0.0829654;0.0875977;0.078643;0.0850259;0.0905643;0.094148;0.0975068;0.100883;0.107942;0.108739;0.112315;0.114821;0.117671;0.118648;0.125056;0.130678;0.134877;0.139088;0.145679;0.15314;0.157198;0.162466;0.165631;0.166381;0.169899;0.168407;0.173142;0.18003;0.186227;0.197152;0.20728;0.217308;0.233509;0.237832;0.251232;0.251233;0.251593;0.251066;0.250713;0.251269;0.129413618965517;0.0648541058992547;0.969881113806709;0.997354578732044;0.97459165154265;0;0;0;0.00372483122519914;0.940669374918937;0.940669374918937;0.05434008;0.000906216346685491;0.05963638;0.00465543590998738;0.06862862;0.00279168228976723;0.0815943;0.00498055262345455;0.0891776;0.00748695191216025;0.10894;0.00528981190591877;0.125386;0.00746851916379679;0.1515142;0.00926486288079862;0.168692;0.00300212491412332;0.1975994;0.0151687045854285;0.2450798;0.00872564076157162;0.251016;0.000281352092581519
"113";"domestic_water_withdrawal_km3";"Lesotho";"AFR";"LSO";0.00373178;0.00373178;0.00374335;0.00384043;0.00405704;0.00427515;0.0044838;0.00461535;0.00477931;0.00496839;0.00513527;0.00536623;0.00557504;0.00613864;0.0063516;0.00725147;0.00792393;0.00809832;0.00819259;0.00881867;0.0096775;0.0102786;0.0115725;0.0120859;0.0120423;0.0125049;0.0124524;0.0114095;0.0121769;0.0130417;0.0137188;0.0141832;0.0145288;0.0151515;0.0157442;0.016042;0.0165191;0.0177662;0.0178465;0.0183549;0.0181372;0.0182203;0.0182355;0.0179009;0.0177898;0.0203875;0.0216868;0.0220147;0.0225027;0.0230018;0.0230749;0.0233078;0.0243593;0.0243593;0.0244374;0.0242442;0.0242196;0.024359;0.0134554179310345;0.00700486742785073;0.992850752221975;0.994616710203582;0.960653929028358;0;7.82658495499433e-57;0;0.000411845675351437;0.985752616187739;0.985752616187739;0.003820876;0.000139680232065958;0.0046244;0.000266529573030836;0.005713356;0.00051527494682936;0.008056996;0.000562765356325352;0.01113136;0.00109275698487816;0.01231708;0.000596241119011428;0.0146653;0.000798017944660394;0.01730574;0.000977371829448752;0.01805674;0.000200451921916453;0.0219187;0.000990167745889554;0.02390774;0.00065990587434876;0.0242742666666667;7.44049281521941e-05
"114";"domestic_water_withdrawal_km3";"Lithuania";"ECA";"LTU";0.465562;0.465562;0.466774;0.477154;0.500274;0.502914;0.522144;0.532308;0.549749;0.555212;0.569601;0.590861;0.607538;0.630678;0.655302;0.714091;0.775165;0.784501;0.80949;0.83214;0.867801;0.913884;0.961271;1.00277;0.981677;0.946154;0.942639;0.953652;0.962736;0.981428;1.02519;1.05927;1.13712;1.13243;1.05006;0.99286;0.967858;1.01419;1.03297;1.08489;1.11617;1.09896;1.10632;1.12705;1.17953;1.27745;1.35722;1.41137;1.47053;1.58557;1.66603;1.53113;1.51232;1.51232;1.51638;1.51231;1.50911;1.47626;0.982481034482759;0.346331787526089;0.970705776070791;0.976221238311034;0.894067960412656;0;7.12336049771928e-39;0;0.0199081355316987;0.942269703697195;0.942269703697195;0.4750652;0.0149098314946883;0.5324654;0.0211894546602786;0.610796;0.0334706019291557;0.7830774;0.0445211192952289;0.9454806;0.0544840730057876;0.9573218;0.0155257386684177;1.080814;0.0508393521791928;1.0185536;0.0443215424460837;1.125606;0.0319408833628627;1.420428;0.116514052457204;1.547636;0.0666351343511813;1.49922666666667;0.0199539678593841
"115";"domestic_water_withdrawal_km3";"Luxembourg";"Other";"LUX";0.00507638;0.00506591;0.00508907;0.00517296;0.00531522;0.00549082;0.00577999;0.0058675;0.00600333;0.00608292;0.00627255;0.00655735;0.00685709;0.00707;0.00760328;0.00836308;0.00887609;0.00913931;0.00940047;0.00976521;0.0104279;0.0109478;0.0112393;0.0106447;0.010313;0.0101738;0.0100962;0.0103979;0.0116015;0.0124256;0.0128179;0.0130536;0.0141189;0.014523;0.0151511;0.0152129;0.0157833;0.0171793;0.0172161;0.0167952;0.0170503;0.0173855;0.0171112;0.0171225;0.0177533;0.0191766;0.0203434;0.0211421;0.0218929;0.0231168;0.0240791;0.0234541;0.0236803;0.0236803;0.0237448;0.0236803;0.0236803;0.0236803;0.0133920970689655;0.00634392368971908;0.984163405933298;0.991076695430024;0.945999499621842;0;1.04435582149221e-50;0;0.000369722416869171;0.968577609578226;0.968577609578226;0.005143908;0.000104693296203721;0.005844912;0.000230135991904787;0.006872054;0.000508070284734307;0.009108832;0.000530831563323056;0.01071454;0.000380150553070754;0.010939;0.00102926161640275;0.0139329;0.000985294212405614;0.01643736;0.000896110650533739;0.01728456;0.000292019242516653;0.02113436;0.00149699308047833;0.02372772;0.000225346870402054;0.0236803;0
