"FID";"total_runoff_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"total_runoff_km3";"Lebanon";"MENA";"LBN";1.59653;2.08149;1.56346;3.10662;2.88245;3.56709;4.19133;4.08062;3.22817;5.58192;5.02628;6.72974;3.98961;4.41254;2.43603;2.10974;3.60606;3.14555;3.66223;4.07833;4.48109;2.76452;4.95796;4.57358;3.18857;3.75746;3.14745;2.46581;2.69699;4.00209;4.6594;1.93336;1.6569;3.7269;5.35602;3.01262;3.49633;2.26657;2.56545;2.54998;2.48688;1.24904;2.8831;3.02086;3.98172;6.25092;5.52146;3.02356;2.61793;2.56715;1.6385;3.1922;2.4697;3.34103;4.75888;3.705;1.57513;1.88836;3.35355620689655;1.22549217935593;-0.139911609126091;-0.152357808606847;-0.102238354506957;0.29486776232505;0.252820730999289;0.256941549549112;-0.0101534799593952;0.0195752583682497;0.0195752583682497;2.24611;0.717717040169731;4.129826;0.900615942746963;4.51884;1.56325427734902;3.320382;0.753189455894067;3.993144;0.95691214561735;3.21396;0.661050514408695;3.466516;1.6344934091883;2.77819;0.482124366890951;2.72432;0.990836849839569;3.996204;1.7534267172397;3.080062;1.15647653197979;2.38949666666667;1.14997392284927
"108";"total_runoff_km3";"Liberia";"AFR";"LBR";123.887;166.348;168.781;170.066;196.449;227.933;164.149;176.408;183.722;149.757;198.356;187.776;161.823;143.869;162.697;170.988;152.315;131.772;142.013;142.364;151.898;156.552;132.798;132.766;128.997;114.732;143.959;136.104;110.222;130.779;123.702;142.748;123.105;141.112;136.531;118.29;149.912;135.735;152.897;123.884;148.37;159.891;142.402;121.26;118.075;135.966;133.96;111.372;126.773;93.7088;105.743;91.2356;107.896;88.1927;92.4879;103.633;131.763;112.819;140.236965517241;28.2267166573297;-0.745494388324441;-0.749361715217325;-0.565638233514822;1.90944480026154e-11;0;3.56515517937835e-10;-1.2461070780399;0.555761883023219;0.555761883023219;165.1062;26.0817915354755;180.3938;29.5357668547813;170.9042;21.9031237658011;147.8904;14.8152282905124;140.6022;12.6390610094263;127.1592;14.2885419375106;133.4396;9.4431668046265;136.1436;15.3253142643144;137.9996;17.9120323330436;120.35596;17.7531992105085;97.11104;9.03129424074977;116.071666666667;14.3443056762373
"109";"total_runoff_km3";"Libya";"MENA";"LBY";11.8163;15.1526;12.0921;26.2792;24.2778;27.1805;22.0847;18.0655;16.4081;17.9763;15.838;20.9541;14.7588;16.2852;17.4227;18.2086;18.3911;21.0611;39.8646;22.7441;34.6571;28.6358;26.7558;34.7219;25.3078;30.3517;27.868;27.0688;26.6818;27.1182;33.0741;31.3465;25.8834;25.3841;30.5807;26.8655;28.7358;30.1995;27.9552;20.3472;20.7471;22.5859;19.2153;15.3532;17.7372;16.5061;14.1536;17.1006;21.0218;19.7007;21.252;15.7469;13.4338;18.3483;18.5012;18.1194;16.3915;18.2078;22.2503913793103;6.362286403054;-0.0754118611492072;-0.0424190224245594;-0.0477918935269208;0.573693983415862;0.751300806292951;0.596159849332312;-0.0284121104924754;0.005686948801986;0.005686948801986;17.9236;6.87706070098265;20.34302;4.36052285534659;17.05176;2.38140436990445;24.0539;9.0399875317945;30.01568;4.42680208581771;27.8177;1.48021167067416;29.25376;3.43033975110338;26.82064;3.81704063942212;19.12774;2.77351842665593;17.69656;2.71102965181128;17.45644;2.9747845725363;17.5729;1.02407671099386
"11";"total_runoff_km3";"Australia";"Other";"AUS";434.736;449.478;510.277;339.614;487.822;628.688;549.438;365.488;356.614;496.547;607.041;489.666;393.343;561.572;459.731;678.711;1333.29;742.955;879.737;687.001;583.473;592.776;439.647;659.524;429.542;493.657;634.17;434.886;382.433;401.677;437.993;614.935;448.386;671.129;389.397;519.344;326.01;517.262;490.488;492.868;680.885;636.638;803.868;578.479;300.167;386.668;502.243;330.814;478.127;395.843;468.354;595.91;726.829;741.417;435.35;309.272;339.582;278.658;524.145689655172;173.461258431498;-0.130337804619153;-0.124488603156049;-0.0780399274047187;0.329469485424148;0.350851806319702;0.386857588138434;-1.33882407948563;0.0169879433129395;0.0169879433129395;444.3854;65.8113457604386;479.355;117.833127145977;502.2706;84.1534436449276;864.3388;274.222872354222;540.9924;101.523352689418;469.3646;101.339070324826;512.368;122.955528952544;469.1944;81.1497160980863;600.0074;186.955789392305;418.739;70.3267979542649;593.572;141.716960105345;309.170666666667;30.4621264085968
"110";"total_runoff_km3";"Saint Lucia";"LCR";"LCA";0.879454;0.494301;0.624026;0.65464;0.789368;0.678614;0.695194;0.627163;0.856946;0.758817;0.552276;0.647362;0.796304;0.491753;0.61289;0.485125;0.499936;0.483464;0.481944;0.59597;0.62976;0.396833;0.272932;0.328084;0.328698;0.286867;0.331187;0.331884;0.321295;0.319022;0.442784;0.251148;0.167581;0.241505;0.389093;0.292127;0.163163;0.324699;0.365253;0.216543;0.318401;0.298709;0.230967;0.166507;0.202968;0.166974;0.458431;0.495396;0.266932;0.219499;0.309577;0.219078;0.399092;0.239576;0.120776;0.0879572;0.0772283;0.0809552;0.404569460344828;0.207412136136189;-0.829118291962791;-0.829893260327909;-0.649122807017544;9.16630878302622e-16;0;6.12506554419078e-13;-0.0101835988034082;0.687437142067302;0.687437142067302;0.6883578;0.149711664803381;0.7233468;0.0882493742963654;0.620117;0.115017494647554;0.5092878;0.048988909226477;0.3912614;0.140374530028777;0.318051;0.018356297407157;0.2984222;0.113639078369635;0.272357;0.0818515988115077;0.2435104;0.0640039727345108;0.3214464;0.146841801365619;0.2576198;0.103984624667304;0.0820469;0.00544712589077947
"111";"total_runoff_km3";"Liechtenstein";"Other";"LIE";0.236387;0.171638;0.234416;0.186168;0.196047;0.223184;0.205764;0.278272;0.285414;0.234107;0.219988;0.174221;0.306722;0.163636;0.17801;0.208639;0.258356;0.226679;0.193917;0.249004;0.228628;0.232884;0.21534;0.257518;0.244219;0.221994;0.189722;0.190147;0.195935;0.243636;0.226222;0.183732;0.195595;0.203089;0.20826;0.221199;0.22869;0.224148;0.169896;0.188876;0.190721;0.274188;0.254438;0.228009;0.233445;0.16092;0.169109;0.173431;0.212353;0.205233;0.19293;0.182989;0.19481;0.237039;0.26242;0.220647;0.197548;0.176728;0.214952706896552;0.0327060530547689;-0.189128956500975;-0.176166600018456;-0.119177253478524;0.155061918780519;0.185421882125262;0.186343623629076;-0.000366299886185363;0.0357697621871482;0.0357697621871482;0.2049312;0.0291472324363738;0.2453482;0.0349061963152676;0.2085154;0.0589427745342888;0.227319;0.0269192319634123;0.2357178;0.0159770893844905;0.2082868;0.0237893063097687;0.2033796;0.0157504458127381;0.2065618;0.0258377035589466;0.2361602;0.0312998674709654;0.1842092;0.0230252367892276;0.2140376;0.0340924037477559;0.198307666666667;0.0219693527518071
"112";"total_runoff_km3";"Sri Lanka";"SOA";"LKA";34.8031;37.4564;46.5126;66.8791;50.3027;77.8939;43.5705;46.9828;45.1876;60.077;38.2338;51.3615;54.0309;45.7102;45.8249;46.3537;34.9067;40.6488;35.8297;47.0581;44.7805;39.1488;34.0278;32.9763;33.5141;29.2025;48.9603;36.0415;37.2574;28.5348;34.4154;31.8887;38.5904;43.0323;32.5342;44.0196;56.058;43.275;36.1484;47.5892;40.7468;44.4775;43.8642;33.8478;41.221;41.0528;42.0897;49.4166;62.8604;45.2506;50.2176;37.2037;45.5283;46.3815;38.1685;38.5081;37.8424;45.5016;43.2034189655172;9.11213267471254;-0.183167627266583;-0.123627303208342;-0.0756200846944949;0.168737470276868;0.354215039600218;0.401750935308055;-0.0988369589959662;0.0335503796784677;0.0335503796784677;47.19078;12.708134091872;54.74236;14.4979899832011;47.03226;6.089781195002;40.9594;5.68634517770422;36.8895;5.0563846713833;35.9993;8.23843686538897;36.0922;4.67831234902075;45.41804;7.25253688635914;40.83146;4.22556313738181;48.13402;8.85300614492049;43.49992;5.60382634473982;40.6173666666667;4.24294597695202
"113";"total_runoff_km3";"Lesotho";"AFR";"LSO";5.84701;4.39713;5.13074;5.81382;3.62158;5.67977;4.76357;1.76456;3.16615;6.43495;1.86724;3.42098;2.48589;3.20603;4.64486;2.88472;6.97745;6.03561;11.4898;5.41444;5.98966;2.32566;1.47395;3.29021;1.84579;1.78684;1.81351;3.7712;4.05477;4.21716;7.07377;5.01607;2.5214;5.14247;0.980407;3.09305;3.87266;3.01781;5.98119;5.43149;5.48682;3.14458;6.20617;7.71125;3.36291;1.13901;4.65656;2.31297;6.19348;2.74361;3.49117;4.41655;7.30631;5.7855;2.27351;1.93381;2.36366;0.87606;4.12326374137931;2.03485070640652;-0.134719080541172;-0.131255959888031;-0.0828796128251664;0.313329155966674;0.325120551147392;0.358098672906202;-0.016233504352641;0.0181492306618597;0.0181492306618597;4.962056;0.955656459942588;4.3618;1.89549792379206;3.125;1.04816103850983;6.560404;3.1453206271587;2.985054;1.81224554126366;3.128696;1.22326101692566;4.1468234;2.39698311687897;4.27924;1.3590321484792;5.182346;1.93643442115399;3.409126;2.00665237134637;4.654608;1.96152539425825;1.72451;0.765567310887815
"114";"total_runoff_km3";"Lithuania";"ECA";"LTU";14.5084;10.193;12.7153;12.9823;13.9122;10.8394;6.18734;7.78917;11.7758;13.4968;11.4076;6.0484;11.8747;8.52786;7.91137;7.77756;12.3626;11.3435;2.63008;8.61673;14.5246;13.0551;16.4942;19.3261;11.6218;12.411;7.86725;11.722;13.5214;12.5464;11.1368;10.2939;15.3602;12.1888;9.38868;10.4151;14.5407;12.5288;3.90833;7.75719;16.1719;11.693;7.61136;10.0156;11.7087;4.22274;8.40288;9.47507;5.17032;12.6405;11.0419;8.60886;15.3062;12.6712;9.73808;9.45226;6.08581;4.59501;10.6572387931034;3.39319272505847;-0.17749634433007;-0.193761727521609;-0.130066545674531;0.182545744478987;0.144740303588443;0.14924117352281;-0.0356655200098439;0.0315049522505402;0.0315049522505402;12.86224;1.65628399527376;10.017702;2.97943983831189;9.153986;2.45264415608543;8.546094;3.80742872483255;15.00436;3.01531740501726;11.61361;2.19046526575977;11.673676;2.30591827194287;9.830024;4.1587039694513;11.440112;3.13107353182898;7.982302;3.39652763728193;11.473248;2.6233660499671;6.71102666666667;2.48825065072499
"115";"total_runoff_km3";"Luxembourg";"Other";"LUX";1.73993;0.901205;1.22147;1.62642;1.30413;0.891575;0.793251;1.69944;1.94976;1.53858;1.51232;1.08272;1.51848;0.837744;0.892364;0.822754;1.32905;1.33651;0.687163;1.41985;1.27011;1.62208;1.78552;1.94406;1.60213;1.69164;1.67873;1.2936;1.59119;1.95746;2.08257;1.34823;1.28228;1.16301;0.967295;1.35291;1.50458;1.53962;0.649197;1.23689;1.46013;1.33285;1.71188;2.00704;1.58868;1.11036;0.935964;0.917359;1.17852;1.67908;1.56881;1.18433;1.4043;1.01561;1.32176;1.47462;1.26216;0.99796;1.35895225862069;0.34929021083573;-0.0122119576553059;-0.0341751514965087;-0.0344827586206897;0.927506672377528;0.798524239035309;0.702197917259815;-0.00025259358946763;0.00014913190977511;0.00014913190977511;1.358631;0.334709545845349;1.3745212;0.508551686404342;1.1687256;0.329282086042955;1.1190654;0.337708154624374;1.64478;0.251041922495029;1.642524;0.23837526996314;1.368677;0.42453862064599;1.2566394;0.360623383062996;1.620116;0.258474520272308;1.1642566;0.308718058007302;1.298962;0.210868820288823;1.24491333333333;0.238797559730692
