"FID";"evaporation_from_irrigation_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"150";"evaporation_from_irrigation_km3";"Panama";"LCR";"PAN";0.145054;0.139288;0.134147;0.13825;0.134339;0.139524;0.131308;0.180933;0.180209;0.180849;0.17079;0.192924;0.198021;0.201532;0.206882;0.189557;0.222789;0.20582;0.215556;0.230774;0.237936;0.268201;0.267436;0.260123;0.288867;0.272203;0.288379;0.280606;0.290566;0.297562;0.285508;0.295216;0.299581;0.298363;0.319388;0.317271;0.313706;0.309824;0.32347;0.358202;0.363469;0.385152;0.424113;0.40894;0.426963;0.402021;0.414654;0.419028;0.42569;0.407339;0.415491;0.427932;0.411453;0.457062;0.461394;0.456333;0.453734;0.45296;0.293529;0.104252493429898;0.98720159622772;0.985973115137347;0.901996370235935;0;0;0;0.0060945679042726;0.974566991594557;0.974566991594557;0.1382156;0.00445803973737337;0.1625646;0.0249543911226061;0.1940298;0.0139526236314179;0.2128992;0.0159636194110233;0.2645126;0.0183089569418905;0.2858632;0.0097409793501475;0.2996112;0.0123581831876696;0.3244946;0.0195002526342609;0.4017274;0.0270574446742482;0.4137464;0.00935291929292667;0.4346664;0.0232800212048873;0.454342333333333;0.00176687134034522
"151";"evaporation_from_irrigation_km3";"Peru";"LCR";"PER";5.50695;5.43375;5.06981;5.01475;4.8149;5.60829;5.45978;6.34092;5.24122;5.66172;5.14575;5.18885;5.58064;5.86921;6.92303;6.7135;6.20937;6.60567;6.69767;7.09209;6.33768;6.01546;6.36551;6.54262;6.739;6.94498;6.93197;6.38822;6.96509;6.76418;6.58851;6.59323;6.55009;6.6888;6.50464;7.34905;7.2967;6.6623;6.73068;6.85963;7.58195;7.32812;7.15015;7.41113;7.84706;8.05716;7.60044;6.97154;7.39075;7.34776;7.36452;7.44434;7.30769;8.26353;8.31674;8.36847;7.91245;8.46616;6.69183051724138;0.915405563625911;0.899250380918104;0.89916638469347;0.722928009679371;0;0;1.11022302462516e-15;0.0487466526192742;0.808651247581353;0.808651247581353;5.168032;0.292966127939733;5.662386;0.41284537078669;5.741496;0.724316748653515;6.66366;0.315013973817036;6.400054;0.268424013419068;6.798888;0.243171568794545;6.585054;0.0680641537815609;6.979672;0.321744830525682;7.463682;0.264767395217009;7.47353;0.397301745025113;7.739364;0.505470738055132;8.24902666666667;0.295548174471326
"152";"evaporation_from_irrigation_km3";"Philippines";"EAP";"PHL";6.82765;6.99877;7.02539;6.8354;7.01684;6.78122;7.2485;7.32465;7.43342;7.47554;7.63047;7.88934;8.27893;8.66541;9.30015;9.45326;9.96819;10.677;10.7297;10.9369;10.903;12.7058;13.3115;13.5431;14.1412;14.1833;15.0219;15.6332;15.8053;15.3763;16.6496;16.768;16.2643;16.7638;16.2148;16.0511;16.907;15.3465;16.4532;16.087;14.5124;14.1938;14.7102;15.1275;15.1986;15.5588;15.566;15.317;16.1673;15.93;16.8508;16.7865;16.6402;18.2299;19.1504;19.2739;19.0957;19.6717;13.2173677586207;4.01903306424111;0.928607875608962;0.900888984588883;0.784633998790079;0;0;0;0.221006253345226;0.862312586642989;0.862312586642989;6.94081;0.100262346621252;7.252666;0.278300741608785;8.35286;0.659016235384228;10.35301;0.621576403831419;12.92092;1.23965939959329;15.204;0.642349305284906;16.5321;0.271816151102174;16.16896;0.575009628615034;14.7485;0.421643569854919;15.70782;0.337470727619449;17.53156;1.10921063509146;19.3471;0.294894353964263
"153";"evaporation_from_irrigation_km3";"Palau";"EAP";"PLW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"154";"evaporation_from_irrigation_km3";"Papua New Guinea";"EAP";"PNG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"155";"evaporation_from_irrigation_km3";"Poland";"ECA";"POL";1.42703;1.45395;1.42927;1.47814;1.3396;1.37789;1.34495;1.28163;1.32085;1.35977;1.30204;1.12971;0.974253;0.989669;0.857905;1.01431;0.978171;1.15535;0.906559;0.729173;0.685981;0.538121;0.458523;0.495028;0.492563;0.507295;0.474077;0.481676;0.502651;0.476088;0.497771;0.496277;0.482638;0.490164;0.522168;0.474678;0.50459;0.515873;0.468554;0.514053;0.493431;0.506833;0.494943;0.433782;0.474965;0.495328;0.547074;0.624684;0.616766;0.619144;0.592092;0.617194;0.595071;0.624798;0.623712;0.638831;0.64125;0.63024;0.762053913793103;0.345518146858709;-0.773102469956841;-0.563567012212003;-0.368421052631579;1.14959380309649e-12;6.1107442256464e-06;4.40458038522465e-05;-0.0158182539296809;0.597687429053373;0.597687429053373;1.425598;0.0523824586097293;1.337018;0.037350787408032;1.0507154;0.170406288989873;0.9567126;0.156144478974762;0.5340432;0.0895095203774436;0.4883574;0.0155084557677417;0.4978036;0.0148687126981457;0.4955496;0.0223692385722;0.4807908;0.0286444707788432;0.5805992;0.0572981788646027;0.6105734;0.0158167707766156;0.636773666666667;0.00578614641478534
"156";"evaporation_from_irrigation_km3";"Puerto Rico (U.S.)";"Other";"PRI";0.341651;0.349307;0.356044;0.348192;0.351337;0.351665;0.346446;0.336805;0.352168;0.344291;0.351597;0.365055;0.342796;0.361676;0.357112;0.35975;0.349108;0.358915;0.364016;0.351332;0.378037;0.455638;0.466304;0.484378;0.488386;0.493824;0.493311;0.494484;0.516448;0.517043;0.529473;0.506089;0.520211;0.512363;0.524264;0.536295;0.531402;0.551053;0.518888;0.522189;0.576998;0.55551;0.556393;0.386885;0.394088;0.406075;0.407687;0.40184;0.415159;0.404985;0.407155;0.415215;0.400781;0.43888;0.434258;0.449846;0.434371;0.413804;0.430677120689655;0.0743261825006877;0.496859878481565;0.592482081885017;0.462794918330309;7.27025191047392e-05;1.62248323715289e-06;2.87275427224287e-07;0.00218688716970684;0.246869738844717;0.246869738844717;0.3493062;0.00522890109870135;0.346275;0.00627347483457134;0.3556472;0.00878288436107411;0.3566242;0.0062080137886445;0.4545486;0.044800010879463;0.503022;0.0125364477225409;0.51848;0.00933075072006533;0.5319654;0.0127475067876036;0.4939748;0.0948960778256931;0.4071492;0.00496163775380671;0.4192578;0.0166901982522677;0.432673666666667;0.0180808502657738
"157";"evaporation_from_irrigation_km3";"Korea, Democratic People's Republic of";"Other";"PRK";3.47643;3.51888;3.59136;3.65191;3.50566;3.52564;3.51078;3.5639;3.64162;3.87417;3.47801;3.65305;3.54389;3.67371;4.38143;5.07645;5.32812;6.11088;6.3174;6.7554;7.03665;7.38605;7.13149;7.75441;7.56831;7.90245;8.02298;7.8008;8.03176;8.55838;8.53239;8.71065;8.65511;8.88955;9.24948;9.14832;9.90549;8.987;8.83132;9.54182;9.27767;9.47927;9.23559;9.36472;9.28223;9.19876;9.65646;9.46131;9.43106;9.25872;9.28758;9.3993;9.18232;9.47077;9.61923;10.4;9.44247;9.56175;7.27297086206897;2.41724779528528;0.929120232857409;0.951151988680058;0.837870538415003;0;0;0;0.132997571441753;0.863264407105006;0.863264407105006;3.548848;0.0714784881625233;3.623222;0.149162608317232;3.746018;0.364109846777041;5.91765;0.698950287717231;7.375382;0.298001644156538;8.063274;0.292619056761517;8.807436;0.278552799806428;9.28279;0.437107222772628;9.327896;0.0966934939900299;9.401262;0.180931605917816;9.39184;0.167899215751593;9.80140666666667;0.521816455885912
"158";"evaporation_from_irrigation_km3";"Portugal";"Other";"PRT";5.32624;5.67754;5.64919;5.78508;5.59995;5.49833;5.7762;5.20336;5.66867;5.5735;5.42194;5.72177;5.72877;5.61026;5.32714;5.65426;5.54581;5.40983;5.70179;5.57993;5.50895;5.82827;5.9429;5.96147;5.76933;5.57148;5.99983;6.11367;5.93166;6.04826;6.10755;6.25698;6.27326;6.14305;5.75692;5.806;5.43176;5.50856;5.73479;5.40469;5.66527;5.57006;5.17989;5.15377;4.74214;4.80864;4.58813;4.31786;4.36626;4.11184;4.07929;4.14255;4.41871;4.79874;4.50686;4.74603;4.48155;4.59967;5.3937275862069;0.585079169836465;-0.617748038466311;-0.491709988003322;-0.307924984875983;2.39322762185102e-07;0.000108786345112443;0.000639309053465967;-0.0214030976037401;0.381612639028968;0.381612639028968;5.6076;0.171276424384677;5.544012;0.217054749245438;5.561976;0.180584975648585;5.578324;0.11231662468219;5.802184;0.182290335673617;5.93298;0.212774099340122;6.107552;0.208561007789088;5.57716;0.182214148325535;5.262226;0.369539445025832;4.438546;0.267335056025206;4.38923;0.29125510871056;4.60908333333333;0.132491040200209
"159";"evaporation_from_irrigation_km3";"Paraguay";"LCR";"PRY";0.291185;0.300258;0.285144;0.290214;0.289791;0.287126;0.292492;0.288721;0.383224;0.386647;0.387694;0.38892;0.379981;0.471367;0.472013;0.467229;0.471487;0.518326;0.511277;0.506998;0.516505;0.531927;0.612384;0.573117;0.598192;0.588115;0.621306;0.646781;0.678568;0.64809;0.644318;0.631857;0.642479;0.654001;0.64527;0.645199;0.675665;0.655529;0.661751;0.67576;0.65376;0.666955;0.681299;0.667834;0.706497;0.688417;0.681077;0.645014;0.700042;0.674538;0.694821;0.66555;0.69141;0.764748;0.766643;0.749088;0.765361;0.771748;0.566408793103448;0.150594931068763;0.939102767204407;0.960318680980652;0.851179673321234;0;0;0;0.00837479325725178;0.881914007370977;0.881914007370977;0.2913184;0.0055138486830888;0.327642;0.0523518427230599;0.419995;0.0473156557864308;0.4950634;0.0238592986129098;0.566425;0.0413771471889979;0.636572;0.0338440675229795;0.643585;0.00791578786350419;0.6627808;0.0132025662732667;0.675269;0.0199911717140342;0.6778176;0.0206381132446743;0.7166344;0.0461992675190852;0.762065666666667;0.0116838913181069
"16";"evaporation_from_irrigation_km3";"Benin";"AFR";"BEN";0.0208255;0.0219509;0.0222405;0.0218057;0.0220582;0.022128;0.0290576;0.0298695;0.0300088;0.0293497;0.029395;0.0300963;0.0291736;0.0363803;0.036951;0.0369807;0.0375723;0.0454365;0.0590942;0.0607761;0.0781753;0.0824985;0.0985446;0.0993123;0.098699;0.10071;0.102909;0.101414;0.100334;0.10411;0.101631;0.103752;0.104518;0.101069;0.104371;0.104959;0.102769;0.10469;0.102323;0.124271;0.124135;0.121207;0.123859;0.125388;0.128123;0.130455;0.126296;0.127103;0.126792;0.127441;0.128618;0.128104;0.13017;0.134468;0.131999;0.138757;0.135003;0.137591;0.0861675706896552;0.0418069852559082;0.954755751551105;0.987080500784398;0.921355111917725;0;0;0;0.00236369673321232;0.911558545119915;0.911558545119915;0.02177616;0.000554598799133211;0.02808272;0.00335099561876765;0.03239924;0.00391475100906814;0.04797196;0.01143502848348;0.09144594;0.0102596788615921;0.1018954;0.00158167057252766;0.1030682;0.00160694856793862;0.1078024;0.00927827682277265;0.1245424;0.00251463909935402;0.1276174;0.00164127094046047;0.1306718;0.00260941031652747;0.137117;0.00192136305783159
"160";"evaporation_from_irrigation_km3";"French Polynesia (Fr.)";"Other";"PYF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"161";"evaporation_from_irrigation_km3";"Qatar";"MENA";"QAT";0.0149905;0.0145176;0.0149615;0.0145504;0.0148779;0.0150348;0.0148939;0.0154734;0.0156441;0.0149009;0.0152562;0.01628;0.0157404;0.0156995;0.0155113;0.0161249;0.0160892;0.0159683;0.0163443;0.0277613;0.0388019;0.0425983;0.0454119;0.0562251;0.0570034;0.0728869;0.079552;0.0787937;0.0895892;0.0951366;0.100142;0.0972985;0.100662;0.0974092;0.118138;0.179181;0.186899;0.181778;0.178241;0.186941;0.184162;0.192596;0.189902;0.190372;0.182946;0.185134;0.186026;0.184893;0.187458;0.185754;0.189886;0.189452;0.189269;0.216203;0.211085;0.212209;0.214264;0.218732;0.101959518965517;0.0790601089596057;0.9553238884986;0.976744901411917;0.892316999395039;0;0;0;0.00447258565627975;0.912643731936081;0.912643731936081;0.01477958;0.000228257501519665;0.01518942;0.000347081311798835;0.01569748;0.000377679357391955;0.0184576;0.00520269864877834;0.04800812;0.00820357879233204;0.08319168;0.00897757435764249;0.10272994;0.00874918477448042;0.182608;0.00414401640923392;0.1879956;0.00420238822575925;0.185853;0.00100676660651812;0.199179;0.0133299652100071;0.215068333333333;0.00333505567169925
"162";"evaporation_from_irrigation_km3";"Reunion (Fr.)";"Other";"REU";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"163";"evaporation_from_irrigation_km3";"Romania";"ECA";"ROU";1.42849;1.4077;1.46019;1.49575;1.344;1.43532;1.50411;1.50695;2.14648;2.68614;3.05157;3.65256;4.42561;5.69671;6.20539;6.77387;7.58127;8.79812;8.61522;10.4541;11.2608;12.5566;12.0022;12.8345;12.5288;13.0912;13.5173;14.8741;15.9493;16.7284;17.2443;16.0164;16.2571;16.128;16.8231;16.7327;16.4005;16.7409;16.004;15.9628;16.4046;17.129;16.8303;18.031;16.9399;17.1022;17.3643;17.1655;17.5521;18.5068;18.0372;18.0138;17.4399;17.7929;19.2952;19.0557;18.8077;18.7887;12.0961956896552;6.33941578838029;0.93717677715726;0.977729244209296;0.898366606170599;0;0;0;0.351820689962777;0.87830031164287;0.87830031164287;1.427226;0.0572092503883768;1.8558;0.546842067465553;4.606368;1.33281065887845;8.444516;1.390040935667;12.23658;0.622975570949616;14.83206;1.54961974142046;16.49378;0.521880261171084;16.36818;0.377425366132167;17.06696;0.600852530160271;17.53818;0.569565990031005;18.1158;0.701546780336137;18.8840333333333;0.148970914387117
"164";"evaporation_from_irrigation_km3";"Russian Federation";"ECA";"RUS";10.414;10.3279;10.3798;10.6049;11.0726;10.7134;10.6909;10.9397;11.8624;11.5526;11.6493;11.574;12.891;13.1807;13.7235;14.831;15.9083;17.2193;16.7061;18.7929;18.9929;20.0654;19.6029;21.7243;21.5744;22.5436;22.4564;22.3106;24.0995;22.9187;24.5373;24.712;24.3203;24.6132;27.7573;26.3696;26.2007;28.8678;25.7513;25.6601;24.7493;24.3751;24.5181;24.2658;24.5326;23.8341;24.2345;24.192;23.3683;24.2339;23.1393;22.2406;23.2344;24.0605;24.6249;25.069;24.686;24.6569;20.0711706896552;5.78452121150219;0.870682613146972;0.821649389399859;0.657592256503327;0;0;3.06421554796543e-13;0.298248254329568;0.75808821283644;0.75808821283644;10.55984;0.305136482577879;11.1518;0.528015809422407;12.6037;0.95401569431535;16.69152;1.48066964985442;20.39198;1.21036360528562;22.86576;0.725341700855534;25.18802;1.44348426628072;26.5699;1.31858021561071;24.48818;0.18254584903525;23.97256;0.37728185485125;23.45994;0.916279495023216;24.8039666666667;0.229986311186847
"165";"evaporation_from_irrigation_km3";"Rwanda";"AFR";"RWA";0.0381093;0.0370123;0.0360345;0.036039;0.0380074;0.0378512;0.0382644;0.0387492;0.037969;0.0382999;0.0386762;0.038033;0.037735;0.0389732;0.038278;0.0397421;0.0394339;0.0381019;0.0382921;0.0372934;0.0373549;0.0439947;0.0448734;0.0441558;0.0430414;0.0440853;0.0450048;0.0432571;0.0431369;0.0458411;0.0451074;0.0434136;0.0440445;0.0446727;0.048828;0.0501354;0.0544833;0.0569013;0.0746292;0.0743671;0.0882833;0.0877051;0.103071;0.0941079;0.0932811;0.0937111;0.090687;0.0964413;0.0895092;0.0888578;0.0913586;0.0935587;0.0990938;0.118329;0.119094;0.123662;0.115208;0.120367;0.0610094620689655;0.0284473560150246;0.891270538841187;0.948937217385955;0.813672111312765;0;0;0;0.00150141959457379;0.794363173406254;0.794363173406254;0.0370405;0.00101156593210724;0.03822674;0.000348996888238274;0.03833908;0.000494491265848044;0.03857268;0.00100575336042193;0.04268404;0.0030497804696404;0.04426504;0.00115673671939642;0.04521324;0.00211981914157789;0.06210326;0.011572108663204;0.09328968;0.00617647053356527;0.09184128;0.00317523712453102;0.10428682;0.0134687999328819;0.119745666666667;0.00426111139649426
"166";"evaporation_from_irrigation_km3";"Saudi Arabia";"MENA";"SAU";4.08376;3.97764;4.10016;3.99153;4.08106;4.15377;4.08172;4.21888;4.22516;4.23884;4.34429;4.43712;4.46345;4.56059;4.49144;4.62283;4.6629;4.69667;4.80812;4.81529;4.87128;6.17342;7.27871;7.28403;8.18766;10.4286;12.613;12.8953;13.3711;15.3169;16.0693;16.213;16.5409;16.604;16.8794;18.2541;18.2741;18.3327;19.2099;19.0863;20.0619;20.1877;19.8082;20.3269;20.2952;20.5694;20.8236;20.8391;20.6792;21.103;20.8221;20.9308;21.3547;23.7344;23.8629;24.0184;23.8857;24.3701;12.9071072413793;7.59201202058645;0.964113829734834;0.99741610015688;0.975801572897762;0;0;0;0.433446819034724;0.929515476685963;0.929515476685963;4.04683;0.0574998973912127;4.183674;0.0657508660019015;4.459378;0.0791029207425365;4.721162;0.0867255370118858;6.75902;1.27408939182068;12.92498;1.75003070458778;16.46132;0.322809521235047;18.63142;0.474562042308485;20.13598;0.210596763982735;20.80286;0.201011735975788;22.14098;1.52694237841511;24.0914;0.250314981573218
"167";"evaporation_from_irrigation_km3";"Senegal";"AFR";"SEN";1.03071;1.02554;1.03723;1.03438;1.08276;1.11369;1.1693;1.21435;1.30487;1.3543;1.12719;1.16659;1.20509;1.17206;1.16903;1.15438;1.12499;1.15634;1.15674;0.946439;1.05218;1.32932;1.2376;1.29282;1.30221;1.26246;1.66327;1.52069;1.66183;1.70507;1.63293;1.64127;1.79087;1.42955;1.40074;1.40666;1.36383;1.55637;1.61664;1.66918;1.61204;1.68998;1.94955;2.04347;2.09058;1.99328;2.17616;2.15521;2.19138;2.0411;2.14401;2.17544;2.26906;2.51369;2.39279;2.34178;2.50799;2.24718;1.56579584482759;0.452342153966143;0.921179942294942;0.925312990248854;0.7664851784634;0;0;0;0.0246752837368111;0.848572486086509;0.848572486086509;1.042124;0.0231328431023945;1.231302;0.09811340311089;1.167992;0.0276616000983313;1.1077778;0.0911781464452968;1.242826;0.111669467537013;1.562664;0.181741017604722;1.579072;0.16262441305044;1.522536;0.132400535233057;1.877124;0.214343407246409;2.111426;0.0886064262906478;2.298998;0.154170147467011;2.36565;0.132033316628796
"168";"evaporation_from_irrigation_km3";"Singapore";"Other";"SGP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"169";"evaporation_from_irrigation_km3";"Solomon Islands";"EAP";"SLB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";"evaporation_from_irrigation_km3";"Burkina Faso";"AFR";"BFA";0.0119307;0.0118117;0.0119581;0.0117415;0.0118216;0.0119999;0.0118152;0.0117784;0.0120666;0.0342029;0.0349687;0.0349038;0.0345694;0.0557212;0.0556442;0.0543479;0.0773639;0.0812772;0.0813985;0.0799738;0.103734;0.108692;0.110099;0.110635;0.130412;0.114025;0.10718;0.108372;0.157518;0.176792;0.160772;0.202247;0.225885;0.210057;0.250614;0.274752;0.280558;0.314813;0.302766;0.298787;0.274416;0.298196;0.314132;0.30625;0.293458;0.27957;0.31184;0.2982;0.287678;0.293193;0.367652;0.384411;0.376231;0.413738;0.387353;0.396403;0.392754;0.399438;0.181981348275862;0.134278969439357;0.977921610772904;0.9763757728629;0.882637628554144;0;0;0;0.00777611479897866;0.956330676816667;0.956330676816667;0.01185272;8.97312765985194e-05;0.0163726;0.009968178215953;0.04316146;0.0114313125549081;0.07487226;0.0115876917310136;0.1127144;0.0102615368390899;0.1327774;0.032217562148617;0.209915;0.033110807669098;0.2943352;0.0164586616011145;0.2972904;0.0150221461449422;0.2940962;0.0120903180355192;0.385877;0.0173620202885494;0.396198333333333;0.00334669692881405
"170";"evaporation_from_irrigation_km3";"Sierra Leone";"AFR";"SLE";0.00385223;0.0037976;0.00379118;0.00379309;0.00374867;0.00377979;0.00374557;0.0118725;0.012199;0.0324505;0.0325587;0.0555789;0.0559737;0.0777819;0.0780864;0.104126;0.134862;0.135236;0.145015;0.157678;0.181031;0.201571;0.21416;0.237578;0.24683;0.274288;0.286249;0.303044;0.297628;0.303858;0.301913;0.305705;0.302834;0.2969;0.303472;0.31263;0.308979;0.314561;0.314443;0.30767;0.313699;0.313838;0.316773;0.321062;0.326092;0.323466;0.327182;0.327512;0.324337;0.324094;0.320759;0.314574;0.326737;0.365608;0.361426;0.367449;0.351047;0.35087;0.218134409137931;0.129316350110096;0.932263519875533;0.985173336614476;0.906836055656382;0;0;0;0.00713908822633726;0.869115270490719;0.869115270490719;0.003796554;3.68600994301426e-05;0.012809472;0.0117336061163553;0.05999592;0.0189215215556783;0.1353834;0.019793531438326;0.216234;0.0266938092354763;0.2930134;0.0126086332645533;0.3021648;0.0032584942381413;0.3116566;0.00317055173432006;0.3182928;0.00528568876306579;0.3253182;0.00188272228435317;0.3378208;0.0238940541913674;0.356455333333333;0.00952120592852258
"171";"evaporation_from_irrigation_km3";"El Salvador";"LCR";"SLV";0.164992;0.16922;0.168229;0.187488;0.182863;0.170887;0.173093;0.182577;0.204524;0.198505;0.197751;0.197749;0.197361;0.186399;0.248381;0.284641;0.339887;0.371664;0.376862;0.392701;0.420465;0.404991;0.414787;0.40462;0.421048;0.42244;0.420083;0.431182;0.442897;0.475283;0.45297;0.454454;0.466462;0.463993;0.502316;0.499496;0.513039;0.476693;0.51089;0.543616;0.523212;0.516526;0.535824;0.555742;0.558772;0.545487;0.553372;0.529905;0.540858;0.538811;0.515776;0.554085;0.518325;0.593552;0.631668;0.615276;0.63831;0.636511;0.411026051724138;0.150015924794017;0.958584553624927;0.978405979882494;0.887477313974592;0;0;0;0.00851566190900974;0.918884346448301;0.918884346448301;0.1745584;0.00995259721379299;0.1859172;0.0150514921918061;0.2055282;0.0244437758376238;0.353151;0.0428331033956215;0.4131822;0.00802951422565525;0.438377;0.0224883840348745;0.468039;0.020033701355466;0.5087468;0.0242481998857647;0.5380152;0.0189129981018346;0.5416866;0.00864224168257288;0.5626812;0.0498839898835287;0.630032333333333;0.0128109769468739
"172";"evaporation_from_irrigation_km3";"San Marino";"Other";"SMR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"173";"evaporation_from_irrigation_km3";"Former Spanish Sahara";"Other";"ESH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"174";"evaporation_from_irrigation_km3";"Somalia";"AFR";"SOM";0.773263;0.73623;0.725784;0.791691;0.77283;0.809987;0.771588;0.737666;0.810575;0.872978;0.909415;0.86833;0.806241;0.851204;0.866962;0.82571;0.871682;0.848367;0.903729;1.16341;1.12923;1.15423;1.14694;1.30705;1.36478;1.41333;1.79253;1.75757;1.65294;1.72299;1.87738;1.83621;1.80838;1.7174;1.63003;1.90132;1.57783;1.77696;1.79753;1.7137;1.7735;1.77797;1.82801;1.85124;1.73932;1.83013;1.90016;1.90321;1.86227;1.89589;1.85001;1.79459;1.92781;2.1146;2.11094;2.13583;2.11953;1.99482;1.43458279310345;0.487417918215;0.941108318624625;0.940570303608232;0.801572897761646;0;0;0;0.0271638749884645;0.885684867384466;0.885684867384466;0.7599596;0.0277514636785161;0.8005588;0.0505681898301689;0.8604304;0.0371691203998696;0.9225796;0.137692067466866;1.220446;0.107750412667423;1.667872;0.151358792674889;1.77388;0.099587074713539;1.753468;0.119146704402598;1.794008;0.0450005852184169;1.878332;0.0315637469258642;1.95959;0.147629322460004;2.08339333333333;0.0771385055165922
"175";"evaporation_from_irrigation_km3";"Sao Tome and Principe";"AFR";"STP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
