"FID";"domesticNettoDemand_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"domesticNettoDemand_km3";"Lebanon";"MENA";"LBN";0.0626028;0.0626028;0.0627743;0.063369;0.0649199;0.066606;0.0694802;0.0712091;0.0716305;0.072413;0.0736045;0.0764433;0.0784535;0.0737226;0.07699;0.0832139;0.0904682;0.0918841;0.0932733;0.0947356;0.0970048;0.100514;0.10477;0.106873;0.105593;0.105288;0.105134;0.104057;0.103138;0.101942;0.109632;0.106857;0.145296;0.12225;0.13648;0.152207;0.170547;0.183704;0.195602;0.205504;0.212573;0.215239;0.218036;0.222719;0.230433;0.236026;0.245151;0.247792;0.252987;0.26425;0.283458;0.297739;0.309207;0.309207;0.310054;0.309207;0.309207;0.309207;0.152504851724138;0.0851641697343354;0.947455433578043;0.993522829830466;0.955392273794489;0;1.37029529231724e-54;0;0.00477822204927861;0.897671798616552;0.897671798616552;0.06325376;0.000983194092232048;0.07026776;0.00231159971729536;0.07584278;0.00212118230640367;0.09071502;0.00448342306469064;0.10295096;0.00409167668664082;0.1039118;0.00140424898077229;0.124103;0.0166778396682544;0.1815128;0.0209640363169882;0.2198;0.00703073957702886;0.2492412;0.0104015205955668;0.301933;0.0115183337987749;0.309207;0
"108";"domesticNettoDemand_km3";"Liberia";"AFR";"LBR";0.00876514;0.00876514;0.00878915;0.00890887;0.00919255;0.00948765;0.0101459;0.0104366;0.0107947;0.0111918;0.011592;0.0121337;0.012509;0.0138376;0.0143687;0.0148648;0.0161521;0.0171665;0.0177063;0.0187957;0.019626;0.0207792;0.0215056;0.0218057;0.0224435;0.0226079;0.0231417;0.0232573;0.0229297;0.0233312;0.0237271;0.0217916;0.0175708;0.0166881;0.0143335;0.0127341;0.0118583;0.0121251;0.0131075;0.0162235;0.0181387;0.0202434;0.0224361;0.0229724;0.0237408;0.0222716;0.0234515;0.02497;0.0266292;0.0288658;0.0307861;0.0319157;0.0336362;0.0336362;0.0337284;0.0336362;0.0336362;0.0336362;0.0194055517241379;0.00762545715382919;0.838478551544605;0.836038630032636;0.728380386628581;2.22044604925031e-16;3.17662170623578e-16;8.88178419700125e-16;0.00037862428250638;0.703046281400339;0.703046281400339;0.00888417;0.000182396132497375;0.01041133;0.000648147818402562;0.0128882;0.00117115732717684;0.01693708;0.00150077806886961;0.021232;0.00107888654871585;0.02305356;0.000291683369426507;0.01882222;0.00384526308683814;0.0132097;0.00175515453450686;0.02150628;0.00228815502468692;0.02523762;0.00260572949325136;0.03274052;0.00133045835973923;0.0336362;0
"109";"domesticNettoDemand_km3";"Libya";"MENA";"LBY";0.0449274;0.0449274;0.0450504;0.0467996;0.0489145;0.0511831;0.0538372;0.0558093;0.0576059;0.0591109;0.0608791;0.0630037;0.0649122;0.0587676;0.0622014;0.0673532;0.0720741;0.0768026;0.0802316;0.0856916;0.0924442;0.0993751;0.106286;0.110038;0.112937;0.11672;0.120915;0.126903;0.136955;0.146514;0.154033;0.159161;0.192328;0.202024;0.20814;0.205352;0.204366;0.200648;0.208659;0.217739;0.213963;0.224134;0.244378;0.225966;0.205882;0.221063;0.247303;0.273675;0.299098;0.325447;0.356433;0.320704;0.326292;0.326292;0.327186;0.326292;0.326292;0.326292;0.162729518965517;0.0993018927656458;0.971183869217845;0.992907416779282;0.952964339172394;0;1.72605675656512e-53;0;0.00571096643083448;0.943198107828941;0.943198107828941;0.04612386;0.00175068883528741;0.05550928;0.00312126492659627;0.0619528;0.002303398134279;0.07643062;0.00710159117747565;0.10421606;0.00831032509941699;0.1296014;0.0121323621484029;0.1831372;0.0249411038789385;0.2073528;0.00647027485505832;0.2228646;0.0145060644490503;0.2733172;0.0411993135161255;0.3313814;0.0142389860874993;0.326292;0
"11";"domesticNettoDemand_km3";"Australia";"Other";"AUS";0.400035;0.400035;0.401131;0.412901;0.428388;0.444848;0.463383;0.517526;0.529085;0.552562;0.568672;0.592148;0.617285;0.633222;0.665093;0.714395;0.793497;0.820912;0.848136;0.874589;0.9059;0.955648;0.999529;1.06435;1.10753;1.08961;1.1334;1.1259;1.60745;1.64673;1.78239;1.37975;1.98424;2.0307;2.04047;2.03116;2.06423;2.15454;2.22148;2.28918;2.24466;2.23933;2.29616;2.24901;2.29544;2.42856;1.83851;1.90865;1.95523;2.03762;2.15798;1.99573;2.00372;2.00372;2.00921;2.00372;2.00372;2.00372;1.39597793103448;0.703445565312947;0.923178218964458;0.877702093597752;0.776939079070487;0;1.54751547430556e-19;0;0.0384562263988431;0.852258023970387;0.852258023970387;0.408498;0.012374529647627;0.5014808;0.045517704508246;0.615284;0.0371303964630059;0.8103058;0.0615576206224704;1.0065914;0.0810995104411857;1.320618;0.280602925804419;1.84351;0.279484911310074;2.152118;0.107189182383298;2.26492;0.0283982913218384;2.033714;0.232284289460135;2.034072;0.0694332562249531;2.00372;0
"110";"domesticNettoDemand_km3";"Saint Lucia";"LCR";"LCA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"domesticNettoDemand_km3";"Liechtenstein";"Other";"LIE";0.000571694;0.000571694;0.00057326;0.000593052;0.000607696;0.00062657;0.000647763;0.000762181;0.000785918;0.000804726;0.000827709;0.000855254;0.000890572;0.000936236;0.00100145;0.0010982;0.00116009;0.00129979;0.00133245;0.0011779;0.00124511;0.00131482;0.00135533;0.0015472;0.00154681;0.00155535;0.00153018;0.00152567;0.00169947;0.00147011;0.00150459;0.00187025;0.00161539;0.00164377;0.00171407;0.00170478;0.00175153;0.00189868;0.00189765;0.00183204;0.00184863;0.00184797;0.00223389;0.0022425;0.00185069;0.00197269;0.00205812;0.0021163;0.00215624;0.00224935;0.00231265;0.00224943;0.00223998;0.00223998;0.00224612;0.00223998;0.00223998;0.00223998;0.0015160600862069;0.000566085110805269;0.979998219057993;0.977829797025289;0.894693908242107;0;1.02362692173139e-39;0;3.28516841797653e-05;0.960396509356839;0.960396509356839;0.0005834792;1.62811687909683e-05;0.0007254316;8.23145677222446e-05;0.0009022442;6.87332677980613e-05;0.001213686;9.87534451550933e-05;0.001401854;0.000138244152606901;0.001556156;8.59470987293929e-05;0.001669614;0.000135159364751393;0.001816936;8.70084411422249e-05;0.002004736;0.000213142034521584;0.00211054;0.000103851291036751;0.002257632;3.10240450296217e-05;0.00223998;0
"112";"domesticNettoDemand_km3";"Sri Lanka";"SOA";"LKA";0.0560611;0.0560611;0.0562146;0.0571743;0.0580648;0.0561336;0.0579858;0.0635799;0.0650919;0.067228;0.0675294;0.0703003;0.0746434;0.0699523;0.0727669;0.076548;0.0826761;0.0856057;0.0853703;0.0900505;0.0809821;0.0875044;0.0935262;0.0974112;0.101071;0.104694;0.110944;0.111909;0.11566;0.118446;0.121272;0.122478;0.129199;0.135084;0.139607;0.14402;0.150821;0.156962;0.161198;0.166693;0.170112;0.170868;0.174648;0.173341;0.178759;0.185615;0.192058;0.203108;0.213491;0.223922;0.240544;0.245024;0.258782;0.258782;0.259491;0.258782;0.258782;0.258782;0.133507084482759;0.0666499259853916;0.969351459753056;0.99746147335804;0.976029718082299;0;5.87025401198868e-66;0;0.00382588190654892;0.939642252525376;0.939642252525376;0.05671518;0.000885788765451446;0.06200384;0.00474121003784899;0.07103846;0.00273958131162409;0.08405012;0.0049582506987848;0.09209898;0.00799138547825094;0.1123306;0.00521778418488155;0.129528;0.00791245306463173;0.1559388;0.00884037062005887;0.1735456;0.0034422317324666;0.2036388;0.0155541641594783;0.2525246;0.00903651779171602;0.258782;0
"113";"domesticNettoDemand_km3";"Lesotho";"AFR";"LSO";0.00385228;0.00385228;0.00386284;0.00395706;0.00418261;0.00440086;0.00460478;0.00471816;0.00487251;0.00504889;0.00520251;0.00542517;0.00562127;0.00614239;0.00634232;0.00725002;0.00791159;0.00819574;0.00828026;0.00895651;0.00984154;0.0104259;0.0118642;0.0122355;0.0121879;0.0126492;0.0125516;0.0117181;0.0123389;0.0131352;0.0137862;0.0142217;0.0146174;0.0151931;0.0159388;0.0161075;0.0164689;0.0170058;0.017007;0.0174746;0.0172523;0.0172838;0.0172168;0.0168825;0.0167323;0.0191326;0.0201707;0.0201945;0.0204553;0.0208079;0.0207906;0.0209382;0.0216652;0.0216652;0.0217245;0.0216652;0.0216652;0.0216652;0.0128854670689655;0.00616425433408716;0.991502002210709;0.994138242881649;0.959034175727632;0;8.43914265553312e-56;0;0.000361930151957916;0.983076220387843;0.983076220387843;0.003941414;0.000141848441232183;0.00472904;0.000248066874955122;0.005746732;0.000481297916388592;0.008118824;0.000618761223922444;0.011311008;0.00110367554123483;0.0124786;0.00051561450231738;0.01475144;0.000841897673711004;0.01681276;0.000531191390178719;0.01707354;0.000249814357073408;0.0201522;0.000625205526207183;0.02135674;0.000453109476837552;0.0216652;0
"114";"domesticNettoDemand_km3";"Lithuania";"ECA";"LTU";0.339797;0.339797;0.340728;0.34578;0.360031;0.359579;0.371363;0.375237;0.385338;0.387135;0.395163;0.407832;0.417028;0.430704;0.444547;0.481538;0.519414;0.519838;0.535004;0.548568;0.566269;0.592877;0.619969;0.643478;0.627077;0.602043;0.59741;0.599861;0.603914;0.614146;0.640404;0.662026;0.70964;0.706176;0.592868;0.560875;0.547004;0.575531;0.58671;0.61641;0.634747;0.62626;0.630915;0.643241;0.672717;0.731542;0.775534;0.805423;0.838455;0.90309;0.947698;0.869885;0.857818;0.857818;0.860169;0.857818;0.857818;0.857818;0.599963362068966;0.170515886629801;0.940971087446756;0.928781376845973;0.817000000335059;0;8.26710416853963e-26;0;0.00950149069488441;0.885426587410729;0.885426587410729;0.3452266;0.008641108511065;0.3757304;0.0112088829416673;0.4190548;0.0192771457093627;0.5208724;0.0250855551822159;0.609934;0.0304850663604329;0.6034748;0.00644125001067338;0.6622228;0.0486478717232317;0.577306;0.0264995170805054;0.641576;0.0184892274311286;0.8108088;0.0648781091486181;0.8786776;0.0389035330310758;0.857818;0
"115";"domesticNettoDemand_km3";"Luxembourg";"Other";"LUX";0.00260362;0.00260362;0.00261075;0.00265381;0.00263998;0.00271541;0.00283338;0.00284118;0.00290283;0.00294303;0.00302284;0.00314422;0.00328598;0.0033897;0.0031436;0.00344373;0.00362977;0.00371445;0.00380827;0.00394577;0.00420443;0.00441185;0.00452904;0.00429284;0.00485791;0.00480498;0.00495056;0.00499194;0.00531671;0.00486366;0.00587095;0.00600312;0.0055091;0.00563151;0.00585492;0.00586527;0.00606365;0.00650629;0.00650908;0.00769196;0.00752958;0.0079078;0.00991703;0.00998231;0.0104206;0.00971522;0.0102795;0.0107757;0.0112105;0.0118522;0.012354;0.012019;0.0121795;0.0121795;0.0122129;0.0121795;0.0121795;0.0121795;0.0063393025862069;0.00341893935780365;0.953192948029258;0.994322866797004;0.956606241105537;0;3.45288161452058e-56;0;0.000192984682088035;0.908576796172703;0.908576796172703;0.002622356;2.31124107353603e-05;0.002847166;8.64203635146254e-05;0.003197268;0.000142319504355517;0.003708398;0.000188804145929055;0.004459214;0.000254299387396037;0.00498557;0.000198994203935692;0.00577392;0.000199323042697025;0.00652725;0.00070895368942548;0.009151464;0.00132893852537655;0.010766624;0.000824366983133119;0.01218898;0.000119244190634177;0.0121795;0
