"FID";"fossil_groundwater_abstraction_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"fossil_groundwater_abstraction_km3";"Lebanon";"MENA";"LBN";0.0268739;2.97277e-11;0.00802792;1.22473e-11;1.13962e-11;6.05311e-12;3.03467e-12;2.70478e-12;4.80489e-12;2.87174e-13;7.60549e-13;2.55536e-13;3.12716e-12;1.53817e-12;1.12502e-11;2.21993e-05;5.5103e-12;1.20575e-11;3.53389e-12;6.97604e-12;1.66194e-12;2.53796e-11;3.38767e-12;1.51929e-12;1.18333e-11;7.38895e-12;1.601e-11;7.92303e-06;0.000206074;9.46392e-12;1.84193e-12;0.000236039;0.000850489;4.18496e-05;6.24597e-12;3.07168e-11;2.90023e-11;2.2277e-06;0.00045654;0.00207092;0.002511;0.0894904;0.0044607;0.00829003;2.78717e-05;8.7011e-12;8.27929e-12;5.22409e-11;0.007561;0.0200753;0.0839072;0.0170025;0.00602199;0.0022379;2.66981e-11;0.000998803;0.169735;0.0969502;0.00944941339113166;0.0295456246345837;0.378994793024065;0.600602909963395;0.449485783424078;0.00334830154331933;1.09898676153436e-06;6.2272276846187e-07;0.000663096964292698;0.14363705313935;0.14363705313935;0.00698036401067424;0.0116514654886072;3.3769248e-12;2.19752865871533e-12;3.386323e-12;4.52824228541142e-12;4.439865615546e-06;9.92782563139707e-06;8.75636e-12;1.02143095397902e-11;4.2799412572574e-05;9.13377239939696e-05;0.00022567552161758;0.000362681034924397;0.00050593755194382;0.000896838802170262;0.02095600034;0.0384307503199982;0.00552726001384426;0.0087668890546589;0.0218339180053396;0.0353099699119832;0.089228001;0.0846327378297099
"108";"fossil_groundwater_abstraction_km3";"Liberia";"AFR";"LBR";3.33387e-13;3.60445e-13;3.27497e-13;2.7316e-13;0;9.52375e-13;1.76372e-14;3.85358e-14;0;0;0;7.89449e-14;4.76414e-14;2.629e-14;1.88697e-13;2.26448e-13;5.55577e-13;3.99054e-13;8.16405e-13;7.61489e-13;2.91879e-13;0;1.96939e-15;0;0;0;5.20907e-14;0;2.77329e-13;1.94428e-12;8.39423e-13;3.95213e-14;0;3.34507e-13;3.41327e-13;1.42036e-13;1.70696e-12;3.0822e-14;2.39069e-13;9.11545e-13;1.05191e-12;0;4.50434e-13;6.51057e-13;2.39472e-13;3.53234e-14;4.31728e-13;7.4767e-13;8.2331e-14;1.66087e-12;1.62885e-13;3.28019e-13;0;0;0;0;0;0;3.17207605e-13;4.48102014817441e-13;0.0793904002976097;-0.0319330488108604;-0.0170503990202294;0.553586967084649;0.811910990431466;0.854354017065747;2.1066651398074e-15;0.00630283565941456;0.00630283565941456;2.588978e-13;1.48153472941744e-13;2.017096e-13;4.19934639458833e-13;6.831466e-14;7.32551334112361e-14;5.517946e-13;2.46568860944159e-13;5.8769678e-14;1.30314862810093e-13;4.5473994e-13;8.40521782661144e-13;3.1095566e-13;3.3582914094466e-13;6.060864e-13;7.04663273315915e-13;4.785746e-13;4.01702394087713e-13;5.9158448e-13;6.63711873302001e-13;9.81808e-14;1.46569642271857e-13;0;0
"109";"fossil_groundwater_abstraction_km3";"Libya";"MENA";"LBY";0.147991;0.110555;0.131842;0.111338;0.0953471;0.107438;0.0891969;0.120572;0.115549;0.100378;0.119822;0.155308;0.203458;0.171603;0.129394;0.135648;0.160429;0.137085;0.136726;0.152378;0.152238;0.158128;0.169704;0.15205;0.186519;0.160661;0.192357;0.184758;0.243401;0.20971;0.2183;0.2077;0.26145;0.365887;0.225496;0.262252;0.353042;0.239356;0.220308;0.341542;0.40568;0.323276;0.411527;0.496677;0.548056;0.436963;0.430143;0.487449;0.310484;0.49095;0.36709;0.601283;0.753962;0.583557;0.367415;0.824213;0.442799;0.356355;0.27197924137931;0.169877960760517;0.846586002649804;0.936940539542896;0.782214156079855;0;0;0;0.0085164527853824;0.716707859882569;0.716707859882569;0.11941462;0.0205792337301951;0.10662678;0.0124255906979105;0.155917;0.0335890112685682;0.1444532;0.0112867198379334;0.1637278;0.0146193197584566;0.1981774;0.0308204983785143;0.2557666;0.0647866824802752;0.2833;0.0604114282069213;0.4370432;0.0872607220328826;0.4311978;0.0730422729499842;0.5346614;0.166563428501877;0.541122333333333;0.248944542919369
"11";"fossil_groundwater_abstraction_km3";"Australia";"Other";"AUS";0.162593;0.161694;0.160854;0.16948;0.151701;0.136548;0.190387;0.28695;0.227668;0.337732;0.230323;0.126638;0.181987;0.149754;0.230129;0.163701;0.125077;0.203802;0.204075;0.332898;0.252909;0.368408;0.52391;0.437117;0.625142;0.279355;0.207592;0.374351;0.490334;0.380687;0.391258;0.373266;0.410185;0.483258;0.248568;0.286531;0.706445;0.486695;0.402647;0.590307;0.535112;0.373659;0.456997;0.561085;0.991298;0.59226;0.704282;0.738768;1.03754;0.690672;0.673244;0.837469;0.349355;0.404257;0.827788;0.968583;1.01723;0.903507;0.429587275862069;0.255601845611407;0.820610467823233;0.85173336614476;0.663641863278887;3.10862446895044e-15;0;1.85851334322251e-13;0.012420859761912;0.673401539901063;0.673401539901063;0.1612644;0.00634572425338511;0.235857;0.0790345942862997;0.1837662;0.0467457789185291;0.2059106;0.0781814181906417;0.4414972;0.142691983533414;0.3464638;0.107745679336575;0.381307;0.0851634714651769;0.494525;0.162671953440044;0.5836302;0.239363326923111;0.7527044;0.168271131834311;0.6184226;0.230805578117818;0.963106666666667;0.0570589419138958
"110";"fossil_groundwater_abstraction_km3";"Saint Lucia";"LCR";"LCA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"fossil_groundwater_abstraction_km3";"Liechtenstein";"Other";"LIE";1.00611e-12;9.21169e-07;2.002e-12;2.19909e-12;8.23946e-05;8.23481e-06;3.90292e-12;8.64941e-12;9.02476e-12;5.64588e-12;6.61034e-12;3.78567e-12;4.61414e-12;2.37078e-12;1.69555e-05;1.09894e-11;8.73601e-13;2.56377e-12;0.000279702;7.76402e-12;1.47911e-11;1.59729e-11;1.15785e-11;6.49393e-12;1.1981e-11;1.4331e-11;1.68178e-11;0.000276932;0.000184474;3.43415e-05;1.17052e-11;1.32693e-11;0.000297354;0.000646573;0.00122603;7.3088e-05;0.000199637;4.52876e-06;0.0011158;0.000885921;0.00111736;6.73502e-07;3.41142e-12;6.43034e-06;5.11125e-05;0.00140203;0.00175525;0.00127286;0.000799434;0.00124634;0.000888284;0.00074157;0.000861486;0.00146087;0.000533533;0.000463912;0.00150909;0.00116273;0.000355273325402656;0.000520055438777718;0.701850930498137;0.767633578393676;0.572897761645493;8.35975288993041e-10;0;2.11894946033908e-10;2.16144974841454e-05;0.492594728641097;0.492594728641097;1.666315484144e-05;3.67471598056828e-05;1.646967444594e-06;3.68271594473905e-06;3.391103476186e-06;7.58272817525264e-06;5.59404044381582e-05;0.000125086534607523;1.2163486e-11;3.67203504047551e-12;9.914950622976e-05;0.000125247959059444;0.0004339914049949;0.000516692100892244;0.000455794952;0.000509003380165035;0.000235115269082284;0.000493647574529526;0.0012951828;0.000343412635133304;0.0008971486;0.000344801835962049;0.001045244;0.000532401618205655
"112";"fossil_groundwater_abstraction_km3";"Sri Lanka";"SOA";"LKA";1.85112e-11;1.49485e-11;2.19597e-11;2.01533e-11;1.97714e-11;1.73991e-11;1.2165e-11;1.82573e-11;2.12257e-11;1.97535e-11;1.80011e-11;2.20906e-11;2.06624e-11;1.82684e-11;2.40293e-11;2.78639e-11;2.30717e-11;1.87655e-11;1.79402e-07;2.62441e-11;2.78452e-11;2.32871e-11;3.13754e-11;2.41251e-11;1.67865e-07;5.83316e-08;1.67991e-11;2.40814e-11;2.22023e-11;3.06826e-11;2.48198e-11;2.21555e-11;1.90002e-11;3.01414e-11;2.9848e-11;2.98169e-11;3.35343e-11;2.08083e-11;1.92231e-11;1.73729e-11;2.8307e-11;3.52252e-11;2.5608e-11;2.84674e-11;1.97791e-11;3.45444e-11;1.47883e-11;4.03298e-11;3.05294e-11;3.89584e-11;2.59632e-11;2.75163e-11;3.26477e-11;4.42855e-11;3.35356e-11;3.17653e-11;1.73517e-07;4.37706e-11;1.00083083017241e-08;3.93064559837783e-08;0.0510804874723545;0.579747146943923;0.422867513611615;0.703353336908986;2.94439425148176e-06;2.74701508873321e-06;1.18896629016581e-10;0.00260921620041345;0.00260921620041345;1.906882e-11;2.61318195252455e-12;1.776012e-11;3.45205372814503e-12;2.061036e-11;2.55812351793263e-12;3.589958904e-08;8.0220286535565e-08;3.359432656e-08;7.50595883681438e-08;1.168507308e-08;2.60762017490228e-08;2.519298e-11;4.84438189782763e-12;2.41511e-11;7.09840163276213e-12;2.747734e-11;5.57797499617917e-12;3.183006e-11;1.02778858866014e-11;3.278966e-11;7.1961760375216e-12;5.78641786333333e-08;1.00158281502751e-07
"113";"fossil_groundwater_abstraction_km3";"Lesotho";"AFR";"LSO";1.05069e-13;1.40732e-14;0;1.13036e-15;9.18853e-16;1.06497e-13;0;0;2.28972e-05;3.42626e-13;1.96411e-13;2.07453e-06;1.77671e-21;1.03591e-05;4.45396e-07;6.64227e-06;0;0;3.86679e-14;0.000194166;7.13446e-07;0;0.00121244;5.78678e-06;1.60024e-05;8.86387e-05;3.0897e-05;0.00156772;0.00010889;1.26193e-05;9.94586e-21;5.77085e-05;0.000243422;1.91015e-05;0.00210567;0.000806983;0.000279961;0.000278912;0;0;4.9143e-05;7.39844e-05;8.94592e-14;0;2.01118e-21;0.000234018;4.20951e-21;0.000855148;0;0.000255661;2.24477e-21;0;0;1.90267e-21;1.67676e-21;0.000725628;0.000862557;1.04506e-06;0.000174641975567153;0.00041150746209239;0.197896024296911;0.15093146140571;0.142622186342859;0.136462725701634;0.258084277946567;0.119467522932306;4.82242414110252e-06;0.0391628364325239;0.0391628364325239;2.42382826e-14;4.5558204548736e-14;4.5794400898246e-06;1.02399390886682e-05;2.5758052392822e-06;4.43393566637327e-06;4.01616540077336e-05;8.61390780127817e-05;0.0002469885252;0.00053974164382864;0.000361753;0.000675323543928053;0.0004851804;0.00091101529275552;0.0002731712;0.000329499281109534;2.46254800178918e-05;3.48448509890703e-05;0.0002689654;0.000349890390395049;1.16484e-21;1.08240570621648e-21;0.000529743353333333;0.000462956587371251
"114";"fossil_groundwater_abstraction_km3";"Lithuania";"ECA";"LTU";1.45854e-11;3.41089e-05;2.74217e-12;7.59377e-05;1.09362e-05;8.34554e-06;0.000137915;9.92883e-12;9.19776e-07;5.00214e-07;8.0373e-12;4.76344e-05;9.7219e-12;0.00011134;7.84005e-12;5.22401e-06;4.0032e-12;0.000242672;0.0265949;0.0222515;1.19931e-05;5.01477e-07;1.84767e-11;6.05596e-05;8.2113e-05;0.000205058;5.92026e-05;3.99181e-12;2.95744e-05;8.27125e-12;3.79286e-06;9.08548e-12;1.50406e-06;0.000291144;0.000572848;2.21818e-05;0.000156117;0.000148237;0.00029989;0.000100534;1.30549e-11;0.000203682;0.000105417;4.66507e-05;0.000459461;0.0382214;3.21358e-05;0.000127337;0.00035437;9.32321e-05;0.000287674;9.48563e-05;1.1715e-05;0.000351613;0.000174589;0.000161177;0.0515126;0.0516443;0.00336981714908171;0.011337526755874;0.281801400384938;0.532990864068412;0.35632183908046;0.032108543169328;2.23387738550524e-05;7.78241176389027e-05;0.000189196061902409;0.0794120292589116;0.0794120292589116;2.4196563465514e-05;3.21021159475391e-05;2.9536107985766e-05;6.06823349297255e-05;3.179488511985e-05;4.90180019595809e-05;0.00981885920280064;0.0134203846352084;3.103343909534e-05;3.78771835592715e-05;5.8767002452612e-05;8.53823363755548e-05;0.000173857785817096;0.000255833764081946;0.00014539196;0.000101471357044774;0.00016304214261098;0.000182322583631728;0.00776569498;0.017025692666457;0.00018408946;0.000138347084740908;0.034439359;0.0296858494428127
"115";"fossil_groundwater_abstraction_km3";"Luxembourg";"Other";"LUX";1.56643e-14;1.75368e-14;1.88969e-14;1.80239e-14;3.18064e-14;4.25951e-15;1.91813e-15;1.66812e-15;4.04286e-15;3.19566e-15;2.48864e-15;2.91732e-16;3.88707e-15;1.01982e-14;3.1216e-15;2.547e-16;8.99536e-14;6.04057e-15;5.10324e-15;4.34853e-15;5.47018e-15;5.38429e-15;6.02218e-15;8.7987e-15;3.94354e-15;1.91583e-15;7.84478e-15;8.55164e-15;1.94355e-15;1.23828e-15;1.22649e-14;1.66987e-14;2.06282e-15;1.76417e-15;7.06618e-15;8.71038e-15;3.71281e-15;2.35456e-15;3.06631e-15;4.44518e-15;2.65689e-16;5.58882e-15;3.65606e-15;1.09956e-14;4.89018e-15;3.50626e-15;1.7157e-15;6.95707e-15;4.39047e-15;7.7493e-15;2.9848e-15;3.07662e-14;6.45135e-15;9.28797e-15;9.14239e-15;4.35293e-15;6.41224e-15;7.59406e-15;8.32183674137931e-15;1.26693132927608e-14;-0.151317747034393;-0.00236857485619367;0.0114942528735632;0.256853744061827;0.986059033813274;0.898582873350118;-1.13525536405303e-16;0.0228970605675651;0.0228970605675651;2.038566e-14;6.49297432483758e-15;3.016856e-15;1.18902603660727e-15;3.9974484e-15;3.71609509569559e-15;2.1140128e-14;3.85312575169546e-14;5.923778e-15;1.78136186975583e-15;4.298816e-15;3.57956538837189e-15;7.971354e-15;6.49731391936545e-15;4.457848e-15;2.49997344621298e-15;5.0792698e-15;3.88890876876666e-15;4.86376e-15;2.48421915727055e-15;1.1726542e-14;1.09473599048661e-14;6.11974333333333e-15;1.64024286135722e-15
